参数分类,字段名称,字段类型,是否必需,数据来源,临床意义,自动化解读用途,参考范围/格式,优先级
ADA核心指标,report_id,VARCHAR_32,必需,系统生成,报告唯一标识,数据关联,UUID格式,高
ADA核心指标,patient_id,VARCHAR_32,必需,HIS系统,患者标识,个性化分析,医院编码,高
ADA核心指标,time_in_range_70_180,DECIMAL_4_1,必需,CGM计算,血糖控制核心,控制质量评估,>70%为目标,高
ADA核心指标,time_below_range_54_69,DECIMAL_4_1,必需,CGM计算,轻度低血糖,安全性评估,<4%为目标,高
ADA核心指标,time_below_range_under_54,DECIMAL_4_1,必需,CGM计算,严重低血糖,紧急风险,<1%为目标,高
ADA核心指标,time_above_range_181_250,DECIMAL_4_1,必需,CGM计算,轻度高血糖,控制评估,<25%为目标,高
ADA核心指标,time_above_range_over_250,DECIMAL_4_1,必需,CGM计算,严重高血糖,急性风险,<5%为目标,高
ADA核心指标,average_glucose,DECIMAL_4_1,必需,CGM计算,整体控制水平,基础评估,4.4-10.0mmol/L,高
ADA核心指标,coefficient_of_variation,DECIMAL_4_1,必需,CGM计算,血糖稳定性,变异性分析,<36%为目标,高
ADA核心指标,glucose_management_indicator,DECIMAL_4_2,必需,CGM计算,估算HbA1c,长期控制,<7.0%为目标,高
基础临床信息,patient_age,INT,必需,HIS系统,年龄相关性,个性化目标,0-120岁,高
基础临床信息,diabetes_type,TINYINT,必需,HIS系统,疾病类型,治疗策略,1:T1DM;2:T2DM;3:GDM,高
基础临床信息,diabetes_duration_years,INT,必需,病史资料,病程影响,并发症风险,0-80年,中
基础临床信息,current_hba1c,DECIMAL_4_2,必需,检验结果,长期控制,目标对比,4.0-15.0%,中
基础临床信息,bmi,DECIMAL_4_1,非必需,体检数据,体重影响,胰岛素敏感性,15.0-50.0,中
治疗方案信息,insulin_regimen_type,TINYINT,必需,用药记录,治疗方案,方案优化,1:基础;2:基础+餐时;3:混合;4:泵,高
治疗方案信息,basal_insulin_dose,DECIMAL_5_2,非必需,用药记录,基础剂量,剂量充足性,单位数,中
治疗方案信息,total_daily_insulin,DECIMAL_5_2,非必需,用药记录,总剂量,整体评估,单位数,中
治疗方案信息,insulin_carb_ratio,VARCHAR_100,非必需,医嘱记录,餐时比例,餐后控制,比值范围,中
治疗方案信息,correction_factor,DECIMAL_4_1,非必需,医嘱记录,纠正因子,高血糖处理,mmol/L per unit,中
时间模式分析,meal_timing_breakfast,TIME,非必需,患者记录,早餐时间,饮食规律性,HH:MM格式,中
时间模式分析,meal_timing_lunch,TIME,非必需,患者记录,午餐时间,饮食规律性,HH:MM格式,中
时间模式分析,meal_timing_dinner,TIME,非必需,患者记录,晚餐时间,饮食规律性,HH:MM格式,中
时间模式分析,sleep_bedtime,TIME,非必需,可穿戴设备,睡眠时间,昼夜节律,HH:MM格式,低
时间模式分析,wake_time,TIME,非必需,可穿戴设备,起床时间,昼夜节律,HH:MM格式,低
时间模式分析,exercise_timing,JSON,非必需,患者记录/可穿戴,运动时间,运动血糖反应,时间戳数组,中
餐食成分分析,carb_intake_breakfast,DECIMAL_5_1,非必需,患者记录,早餐碳水,餐后血糖分析,克数,中
餐食成分分析,carb_intake_lunch,DECIMAL_5_1,非必需,患者记录,午餐碳水,餐后血糖分析,克数,中
餐食成分分析,carb_intake_dinner,DECIMAL_5_1,非必需,患者记录,晚餐碳水,餐后血糖分析,克数,中
餐食成分分析,meal_composition_carb_pct,DECIMAL_4_1,非必需,患者记录,碳水比例,餐后反应,百分比,低
餐食成分分析,meal_composition_protein_pct,DECIMAL_4_1,非必需,患者记录,蛋白比例,延迟血糖,百分比,低
餐食成分分析,meal_composition_fat_pct,DECIMAL_4_1,非必需,患者记录,脂肪比例,延迟峰值,百分比,低
用药依从性,medication_adherence_basal,TINYINT,非必需,患者报告,基础胰岛素依从,治疗效果,1:差;2:一般;3:好;4:优,中
用药依从性,medication_adherence_bolus,TINYINT,非必需,患者报告,餐时胰岛素依从,餐后控制,1:差;2:一般;3:好;4:优,中
用药依从性,missed_bolus_frequency,INT,非必需,胰岛素笔数据,漏打餐时胰岛素,餐后高血糖原因,次数/周,中
用药依从性,injection_site_rotation,BOOLEAN,非必需,患者报告,注射部位轮换,胰岛素吸收,0:否;1:是,低
运动模式,exercise_frequency_weekly,INT,非必需,患者记录,运动频率,血糖模式影响,次数/周,中
运动模式,exercise_duration_avg,INT,非必需,可穿戴设备,运动时长,血糖持续影响,分钟,中
运动模式,exercise_intensity,TINYINT,非必需,可穿戴设备,运动强度,血糖反应类型,1:轻;2:中;3:高,中
运动模式,post_exercise_hypo_history,INT,非必需,患者报告,运动后低血糖史,延迟低血糖风险,次数,中
生理状态,menstrual_cycle_phase,TINYINT,非必需,患者记录,月经周期,激素血糖影响,1:月经期;2:卵泡期;3:排卵期;4:黄体期,低
生理状态,pregnancy_status,BOOLEAN,非必需,HIS系统,妊娠状态,血糖目标调整,0:否;1:是,高
生理状态,gestational_week,INT,非必需,HIS系统,孕周,孕期血糖目标,4-42周,中
生理状态,illness_fever_status,BOOLEAN,非必需,患者报告,发热状态,应激性高血糖,0:否;1:是,中
生理状态,stress_level_perceived,TINYINT,非必需,患者报告,主观压力,应激血糖,1:低;2:中;3:高,低
并发症评估,hypoglycemia_unawareness,BOOLEAN,非必需,临床评估,低血糖无感知,安全性评估,0:否;1:是,高
并发症评估,ckd_stage,TINYINT,非必需,检验结果,肾病分期,用药安全性,0:无;1-5:CKD分期,中
并发症评估,cardiovascular_disease,BOOLEAN,非必需,病史,心血管疾病,血糖目标,0:否;1:是,中
并发症评估,neuropathy_present,BOOLEAN,非必需,临床检查,神经病变,低血糖感知,0:否;1:是,中
并发症评估,retinopathy_stage,TINYINT,非必需,眼科检查,视网膜病变,血糖控制紧迫性,0:无;1:轻;2:中;3:重,低
设备相关,cgm_device_type,VARCHAR_50,必需,设备信息,CGM类型,数据准确性评估,设备型号,中
设备相关,cgm_sensor_age_days,INT,非必需,设备数据,传感器使用天数,准确性衰减,天数,中
设备相关,pump_infusion_site_age_days,INT,非必需,胰岛素泵数据,输注部位天数,吸收效果,天数,中
设备相关,calibration_frequency,INT,非必需,CGM数据,校准频率,数据可靠性,次数/天,低
环境因素,ambient_temperature_avg,DECIMAL_4_1,非必需,天气API,平均温度,CGM准确性,摄氏度,低
环境因素,humidity_avg,DECIMAL_4_1,非必需,天气API,湿度,CGM准确性,百分比,低
环境因素,travel_timezone_change,BOOLEAN,非必需,患者记录,时区变化,生物钟影响,0:否;1:是,低
环境因素,altitude_change,BOOLEAN,非必需,位置数据,海拔变化,血糖影响,0:否;1:是,低
生活方式,alcohol_consumption_frequency,TINYINT,非必需,患者报告,饮酒频率,延迟低血糖,1:无;2:偶尔;3:规律;4:频繁,中
生活方式,smoking_status,TINYINT,非必需,患者报告,吸烟状态,血管并发症,1:无;2:戒烟;3:吸烟,低
生活方式,shift_work,BOOLEAN,非必需,患者报告,倒班工作,昼夜节律,0:否;1:是,中
生活方式,sleep_quality_score,TINYINT,非必需,可穿戴设备,睡眠质量,血糖稳定性,1:差;2:一般;3:好;4:优,低
高级计算指标,glucose_entropy,DECIMAL_6_3,非必需,算法计算,血糖混乱度,模式复杂性,熵值,低
高级计算指标,meal_response_auc,DECIMAL_8_2,非必需,算法计算,餐后血糖曲线下面积,胰岛素效果,面积值,中
高级计算指标,correction_effectiveness_ratio,DECIMAL_4_2,非必需,算法计算,纠正剂量有效性,纠正因子准确性,比值,中
高级计算指标,basal_drift_slope,DECIMAL_6_3,非必需,算法计算,基础血糖漂移,基础胰岛素充足性,斜率,中
高级计算指标,glucose_prediction_accuracy,DECIMAL_4_1,非必需,算法计算,血糖预测准确性,模型可靠性,百分比,低
数据质量指标,data_completeness_pct,DECIMAL_4_1,必需,系统计算,数据完整性,报告可靠性,百分比,高
数据质量指标,sensor_signal_loss_episodes,INT,必需,CGM数据,信号丢失次数,数据可信度,次数,中
数据质量指标,calibration_error_frequency,INT,非必需,CGM数据,校准错误频率,数据准确性,次数,低
数据质量指标,data_collection_period_days,INT,必需,系统计算,数据收集天数,统计有效性,天数,高
