复杂度类型,指标名称,计算公式,Python实现,数学原理,临床意义,正常范围,异常阈值,解读示例
分形复杂度,分形维数,FD = log(N)/log(1/r) 其中N为盒子数量,box_counting_dimension(glucose_curve),盒子计数法测量曲线填充空间能力,血糖模式几何复杂性,1.0-1.5,>1.8为过度复杂,"分形维数1.7，血糖模式几何结构复杂"
分形复杂度,Hurst指数,H = slope(log(R/S vs log(n))),hurst_exponent(glucose),重标极差分析长程相关性,血糖长期记忆特征,0.5-0.7,<0.3或>0.9异常,"Hurst指数0.3，血糖缺乏长程相关性"
分形复杂度,去趋势波动分析,DFA_α = slope(log(F(n)) vs log(n)),detrended_fluctuation_analysis(glucose),去除趋势后的标度不变性,血糖自相似性,0.5-1.0,>1.2为反持续性,"DFA指数1.3，血糖呈反持续性波动"
熵复杂度,近似熵,ApEn(m,r) = φ(m) - φ(m+1),approximate_entropy(glucose, m=2, r=0.2*std),模板匹配概率的对数,血糖模式可预测性,0.1-0.4,>0.8为高度不规律,"近似熵0.9，血糖模式高度不规律"
熵复杂度,样本熵,SampEn(m,r) = -ln(A/B),sample_entropy(glucose, m=2, r=0.2*std),排除自匹配的模板匹配,血糖复杂性更稳健评估,0.1-0.6,>1.0为极度复杂,"样本熵1.2，血糖极度复杂多变"
熵复杂度,多尺度熵,MSE = [SampEn(coarse_grain_i) for i in scales],multiscale_entropy(glucose, scales=20),多时间尺度熵值分析,血糖多尺度复杂性,尺度依赖,异常尺度模式,"多尺度熵异常，存在特定尺度复杂性"
熵复杂度,排列熵,PE = -sum(p_i * log(p_i)),permutation_entropy(glucose, order=3),序列排列模式的熵值,血糖变化方向复杂性,0.3-0.7,>0.9为方向混乱,"排列熵0.95，血糖变化方向极度混乱"
频域复杂度,频谱熵,SE = -sum(P(f) * log(P(f)))/log(N),spectral_entropy(glucose),频域功率谱的熵值,血糖频率成分复杂性,0.4-0.8,>0.9为频域复杂,"频谱熵0.92，频率成分过度复杂"
频域复杂度,频率复杂度,FC = sum(f^2 * P(f))/sum(P(f)),frequency_complexity(glucose),频率加权的功率分布,血糖高频成分占比,0.2-0.6,>0.8为高频占主导,"频率复杂度0.85，高频成分占主导"
频域复杂度,谱边缘频率,SEF95 = freq where cumsum(P) = 0.95*total,spectral_edge_frequency(glucose, 0.95),95%功率所在频率,血糖主要变化频率,低频为主,高频为主异常,"谱边缘频率偏高，快速变化占主导"
时域复杂度,Lempel-Ziv复杂度,LZC = length(compressed)/length(original),lempel_ziv_complexity(glucose),序列压缩复杂度,血糖模式重复性,0.3-0.7,>0.9为高复杂,"LZ复杂度0.92，血糖模式几乎不重复"
时域复杂度,Fisher信息,FI = sum((d_log_p/dx)^2 * p(x)),fisher_information(glucose),概率密度函数梯度平方,血糖分布局部化程度,适中值,极值异常,"Fisher信息过高，血糖分布过度集中"
时域复杂度,Hjorth复杂度,HC = sqrt(var(d2x)/var(dx))/sqrt(var(dx)/var(x)),hjorth_complexity(glucose),二阶导数与一阶导数方差比,血糖变化复杂程度,1.2-2.0,>3.0为过度复杂,"Hjorth复杂度3.2，血糖变化极为复杂"
图论复杂度,可见性图复杂度,VG_complexity = avg_degree + clustering_coeff,visibility_graph_complexity(glucose),时间序列转换为图的复杂性,血糖网络结构复杂性,中等连接度,过度连接异常,"可见性图过度连接，血糖关联复杂"
图论复杂度,递归图复杂度,RQA_DET + RQA_LAM + RQA_ENTR,recurrence_plot_analysis(glucose),递归结构的定量分析,血糖重现模式复杂性,平衡的递归结构,极值异常,"递归图显示混沌特征，缺乏重现性"
图论复杂度,转换网络复杂度,TN_complexity = network_entropy(transition_matrix),transition_network_complexity(glucose),状态转换网络的复杂性,血糖状态切换复杂性,简单转换模式,复杂转换异常,"状态转换网络复杂，血糖切换无规律"
信息理论复杂度,互信息,MI(X,Y) = sum(p(x,y) * log(p(x,y)/(p(x)*p(y)))),mutual_information(glucose_t, glucose_t+lag),时间滞后的相关信息量,血糖时间依赖复杂性,中等互信息,过高或过低异常,"互信息过低，血糖时间关联弱"
信息理论复杂度,传递熵,TE(X→Y) = H(Y|Y_past) - H(Y|Y_past,X_past),transfer_entropy(glucose_cause, glucose_effect),信息传递的方向性量化,血糖因果复杂性,单向传递为主,双向传递复杂,"传递熵显示复杂因果关系"
信息理论复杂度,条件熵,CE = H(Y|X) = H(X,Y) - H(X),conditional_entropy(glucose_present, glucose_past),给定历史的不确定性,血糖可预测性,低条件熵,高条件熵异常,"条件熵高，基于历史预测困难"
非线性复杂度,李雅普诺夫指数,LE = lim(t→∞) (1/t)*log(d(t)/d(0)),lyapunov_exponent(glucose),相空间轨道发散速率,血糖混沌特征,接近0,>0为混沌特征,"李雅普诺夫指数>0，血糖呈混沌特征"
非线性复杂度,关联维数,CD = lim(r→0) log(C(r))/log(r),correlation_dimension(glucose),相空间点分布维数,血糖吸引子复杂性,低维吸引子,高维异常,"关联维数过高，血糖吸引子复杂"
非线性复杂度,Kolmogorov熵,KE = lim(ε→0,n→∞) K(n,ε)/n,kolmogorov_entropy(glucose),信息生成率,血糖信息产生复杂性,适中信息率,过高异常,"K熵过高，血糖信息产生过快"
模式复杂度,模体复杂度,Motif_complexity = diversity(motif_patterns),motif_complexity(glucose, motif_length=3),短模式的多样性,血糖局部模式复杂性,中等模式多样性,过度多样化异常,"模体过度多样化，缺乏重复模式"
