section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,alternate_names,Male Hypogonadism; 睾酮缺乏综合征; 迟发性性腺功能减退
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,icd10,E29.1
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,definition,由于下丘脑-垂体-性腺轴功能异常导致的睾酮分泌不足和/或精子生成障碍
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.primary_hypogonadism.definition,原发性性腺功能减退，睾丸本身病变
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.primary_hypogonadism.characteristics,低睾酮，高LH/FSH
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.primary_hypogonadism.etiology,克氏综合征; 睾丸炎; 放疗; 化疗; 外伤
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.secondary_hypogonadism.definition,继发性性腺功能减退，下丘脑-垂体病变
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.secondary_hypogonadism.characteristics,低睾酮，低/正常LH/FSH
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.secondary_hypogonadism.etiology,垂体肿瘤; 头部外伤; 感染; 药物; 系统性疾病
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.late_onset_hypogonadism.definition,迟发性性腺功能减退
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.late_onset_hypogonadism.age_related,年龄相关的睾酮水平下降
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,classification.late_onset_hypogonadism.prevalence,>40岁男性中患病率20-30%
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,pathophysiology.testosterone_deficiency.production_sites.leydig_cells,间质细胞分泌睾酮95%
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,pathophysiology.testosterone_deficiency.production_sites.adrenal_glands,肾上腺分泌5%
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,pathophysiology.testosterone_deficiency.regulation.hpg_axis,下丘脑GnRH-垂体LH/FSH-睾丸睾酮轴
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,pathophysiology.testosterone_deficiency.regulation.negative_feedback,睾酮对下丘脑垂体负反馈调节
REPRO_002,REPRO_002,男性性腺功能减退症,,生殖内分泌疾病,生殖内分泌疾病,pathophysiology.consequences.reproductive,性功能减退、不育
