entity_id,entity_name,entity_name_en,category,subcategory,specialty_integration,evidence_level,guideline_source,clinical_application,cross_disciplinary_tags,pathophysiology,diagnostic_criteria,treatment_approach,monitoring_parameters,prognosis_factors,clinical_pearls
CE001,糖尿病性心肌病,Diabetic Cardiomyopathy,心血管内分泌学,糖尿病心脏病,心内科+内分泌科,A级,ADA 2025/ESC 2024,心功能评估与血糖管理,diabetes;cardiomyopathy;heart_failure,高血糖引起心肌纤维化和舒张功能障碍,超声心动图LVEF<50%或舒张功能异常,ACE抑制剂+SGLT2抑制剂+胰岛素优化,HbA1c<7%；NT-proBNP；LVEF,糖化血红蛋白控制质量,SGLT2抑制剂具有心肾保护作用
CE002,甲状腺功能亢进性心房颤动,Hyperthyroid Atrial Fibrillation,心血管内分泌学,甲状腺心脏病,心内科+内分泌科,A级,AHA/ACC 2023,心律失常管理,hyperthyroidism;atrial_fibrillation;thyrotoxicosis,甲状腺激素过多导致心房重构,ECG示房颤+TSH抑制+FT4升高,抗甲状腺药物+β受体阻滞剂+抗凝,心率<100次/分；游离T4正常化,年龄>65岁和心血管并发症,β受体阻滞剂是首选心率控制药物
CE003,库欣综合征高血压,Cushing Syndrome Hypertension,心血管内分泌学,肾上腺高血压,心内科+内分泌科,B级,Endocrine Society 2024,难治性高血压评估,cushing;hypertension;adrenal,皮质醇过多激活矿皮质激素受体,24小时尿皮质醇>300μg+血压>140/90mmHg,螺内酯+ACE抑制剂+皮质醇抑制治疗,24小时动态血压；血钾；皮质醇节律,肾上腺肿瘤类型和大小,螺内酯可对抗皮质醇的矿皮质激素效应
CE004,胰岛素抵抗综合征,Metabolic Syndrome with CVD,心血管内分泌学,代谢综合征,心内科+内分泌科,A级,AACE 2025,心血管风险评估,metabolic_syndrome;insulin_resistance;cardiovascular,胰岛素抵抗导致动脉粥样硬化加速,腰围+血压+血糖+血脂异常≥3项,生活方式+二甲双胍+他汀类,HOMA-IR；颈动脉内膜厚度,腹型肥胖和炎症标志物,二甲双胍是胰岛素抵抗的一线治疗
CE005,甲状腺功能减退性心包积液,Hypothyroid Pericardial Effusion,心血管内分泌学,甲状腺心脏病,心内科+内分泌科,B级,ATA 2024,心包疾病评估,hypothyroidism;pericardial_effusion;thyroid,甲状腺激素不足导致黏液性水肿,超声心动图积液+TSH>10mIU/L,左甲状腺素替代治疗,TSH目标0.5-2.5mIU/L；心包积液量,治疗反应时间通常需要3-6个月,甲状腺激素替代后积液通常完全消退
CE006,肾上腺皮质功能减退症低血压,Adrenal Insufficiency Hypotension,心血管内分泌学,肾上腺危象,急诊科+内分泌科,A级,Endocrine Society 2024,急性低血压处理,adrenal_insufficiency;hypotension;crisis,皮质醇缺乏导致血管反应性下降,晨皮质醇<3μg/dl+低血压+低钠,氢化可的松100mg静脉+生理盐水,血压；血钠；皮质醇,感染或应激史,氢化可的松是救命性治疗
CE007,糖尿病自主神经病变,Diabetic Cardiac Autonomic Neuropathy,心血管内分泌学,糖尿病并发症,心内科+内分泌科,A级,ADA 2025,心律变异性评估,diabetes;autonomic_neuropathy;cardiac,高血糖损害心脏自主神经,心率变异性分析+体位性低血压,严格血糖控制+ACE抑制剂,HbA1c<7%；心率变异性,糖尿病病程和血糖控制质量,早期识别可预防心源性猝死
CE008,甲状旁腺功能亢进性心律失常,Hyperparathyroid Arrhythmias,心血管内分泌学,钙代谢紊乱,心内科+内分泌科,B级,AACE 2024,电解质紊乱性心律失常,hyperparathyroidism;arrhythmia;hypercalcemia,高钙血症影响心脏传导系统,血钙>2.6mmol/L+QT间期缩短+心律失常,手术切除甲状旁腺腺瘤,血钙正常化；ECG QT间期,腺瘤大小和PTH水平,手术是根治性治疗
CE009,胰岛素瘤低血糖心律失常,Insulinoma Hypoglycemic Arrhythmia,心血管内分泌学,低血糖症,急诊科+内分泌科,B级,Endocrine Society 2024,低血糖性心律失常,insulinoma;hypoglycemia;arrhythmia,严重低血糖引起交感神经兴奋,血糖<2.8mmol/L+心律失常+Whipple三联征,静脉葡萄糖+胰岛素瘤切除,血糖稳定；心律监测,肿瘤大小和恶性潜能,快速血糖纠正是首要措施
CE010,生长激素缺乏性心功能不全,Growth Hormone Deficiency Cardiomyopathy,心血管内分泌学,垂体疾病,心内科+内分泌科,B级,GH Research Society 2024,心功能评估,growth_hormone;cardiomyopathy;pituitary,生长激素缺乏导致心肌收缩力下降,IGF-1低下+LVEF<45%+GH刺激试验异常,生长激素替代治疗,IGF-1正常化；LVEF改善,年龄和治疗时机,生长激素替代可改善心功能
CE011,糖尿病冠心病,Diabetic Coronary Artery Disease,心血管内分泌学,糖尿病大血管病变,心内科+内分泌科,A级,ADA/ESC 2025,冠心病综合管理,diabetes;coronary_artery_disease;atherosclerosis,高血糖加速动脉粥样硬化进程,冠脉造影+HbA1c>7%+糖尿病史,双联抗血小板+他汀+血糖控制,HbA1c<7%；LDL-C<1.4mmol/L,多支血管病变和左主干病变,糖尿病患者冠心病预后较差
CE012,甲状腺功能亢进性高血压,Hyperthyroid Hypertension,心血管内分泌学,甲状腺高血压,心内科+内分泌科,A级,ATA 2024,甲状腺毒症高血压,hyperthyroidism;hypertension;thyrotoxicosis,甲状腺激素增加心输出量和外周阻力,收缩压>140mmHg+TSH抑制+FT4升高,抗甲状腺药物+β受体阻滞剂,甲状腺功能正常化；血压<130/80,Graves病和毒性结节性甲状腺肿,甲状腺功能纠正后血压通常恢复正常
CE013,肾上腺嗜铬细胞瘤高血压危象,Pheochromocytoma Hypertensive Crisis,心血管内分泌学,肾上腺高血压,急诊科+内分泌科,A级,Endocrine Society 2024,高血压危象处理,pheochromocytoma;hypertensive_crisis;catecholamines,儿茶酚胺过量释放导致血管痉挛,血压>180/120mmHg+24小时尿VMA升高,α受体阻滞剂+手术切除,血压控制；儿茶酚胺水平,肿瘤大小和恶性潜能,术前必须充分α受体阻滞
CE014,糖尿病心脏移植,Diabetes in Heart Transplant,心血管内分泌学,器官移植,移植科+内分泌科,B级,ISHLT 2024,移植后糖尿病管理,diabetes;heart_transplant;immunosuppression,免疫抑制剂诱发或加重糖尿病,移植后新发糖尿病+免疫抑制治疗,胰岛素治疗+免疫抑制剂调整,HbA1c<7%；移植物功能,排斥反应和感染风险,移植后糖尿病发生率高达40%
CE015,甲状腺功能异常与房室传导阻滞,Thyroid Dysfunction AV Block,心血管内分泌学,传导系统疾病,心内科+内分泌科,B级,AHA/ACC 2024,传导系统评估,thyroid;av_block;conduction,甲状腺激素影响心脏传导系统,PR间期>200ms+甲状腺功能异常,甲状腺激素纠正+必要时起搏器,甲状腺功能；心电图PR间期,传导阻滞程度和症状,甲状腺功能纠正后传导可能恢复
CE016,胰岛素使用者的围手术期心血管管理,Perioperative CV Management in Insulin Users,心血管内分泌学,围手术期管理,麻醉科+内分泌科,A级,ASA/ADA 2025,围手术期血糖心血管管理,insulin;perioperative;cardiovascular,手术应激影响血糖和心血管功能,择期手术+胰岛素依赖+心血管疾病,持续胰岛素输注+心血管监测,血糖6-10mmol/L；血流动力学稳定,手术类型和心血管风险,术中血糖控制目标相对宽松
CE017,甲状腺癌术后甲减性心衰,Post-thyroidectomy Hypothyroid Heart Failure,心血管内分泌学,术后并发症,外科+内分泌科+心内科,B级,ATA 2024,术后甲状腺功能管理,thyroidectomy;hypothyroidism;heart_failure,甲状腺全切后甲减导致心功能下降,甲状腺全切术后+TSH>10mIU/L+心衰症状,左甲状腺素替代+心衰标准治疗,TSH 0.1-0.5mIU/L；LVEF,癌症分期和复发风险,甲状腺癌患者TSH抑制目标更严格
CE018,糖尿病足溃疡合并心血管疾病,Diabetic Foot with CVD,心血管内分泌学,糖尿病足病,血管外科+内分泌科,A级,ADA/SVS 2025,糖尿病足综合管理,diabetic_foot;peripheral_artery_disease;cardiovascular,外周动脉疾病加重足部缺血,足溃疡+ABI<0.9+糖尿病+冠心病,血管重建+创面护理+心血管保护,创面愈合；ABI改善；心血管事件,感染和截肢风险,多学科团队协作是关键
CE019,多腺体内分泌肿瘤综合征心血管表现,MEN Cardiovascular Manifestations,心血管内分泌学,遗传性内分泌肿瘤,遗传科+内分泌科+心内科,B级,NCCN 2024,遗传性肿瘤综合征筛查,MEN;cardiovascular;genetic_syndrome,多发内分泌肿瘤导致多种心血管表现,家族史+多发内分泌肿瘤+心血管症状,针对性肿瘤治疗+心血管并发症处理,肿瘤标志物；心血管功能,遗传突变类型和家族史,基因检测有助于家系筛查
CE020,肾上腺皮质激素过量使用心血管风险,Corticosteroid-induced CVD,心血管内分泌学,药物性心血管病,心内科+内分泌科,A级,ACP/Endocrine Society 2024,激素治疗心血管风险评估,corticosteroids;cardiovascular_risk;iatrogenic,长期激素使用导致代谢综合征,长期激素治疗+高血压+糖尿病+血脂异常,最小有效剂量+心血管保护治疗,血压；血糖；血脂；骨密度,激素剂量和使用时间,激素减量应逐渐进行避免停药反应
