section,entity_id,entity_name,entity_name_en,entity_type,category,attribute_path,value,evidence_source
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,name_en,Osteoporosis,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,description,以骨量减少、骨组织微结构破坏为特征的全身性骨病,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,icd_10,M80-M81,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,epidemiology.prevalence_postmenopausal,50岁以上女性19.2%,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,epidemiology.prevalence_elderly_men,65岁以上男性13.0%,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,epidemiology.fracture_risk,髋部骨折终生风险女性13%，男性4%,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,epidemiology.economic_burden,年医疗费用超过190亿元,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.primary.postmenopausal.type,I型骨质疏松,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.primary.postmenopausal.mechanism,雌激素缺乏,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.primary.postmenopausal.onset,绝经后5-10年,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.primary.postmenopausal.bone_loss_rate,每年2-5%,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.primary.senile.type,II型骨质疏松,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.primary.senile.mechanism,年龄相关骨丢失,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.primary.senile.onset,70岁以后,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.primary.senile.characteristics,皮质骨和松质骨均受累,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.secondary.endocrine,甲状腺功能亢进; 甲状旁腺功能亢进; 库欣综合征; 性腺功能减退,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.secondary.medications,糖皮质激素; 抗癫痫药物; 芳香化酶抑制剂; GnRH激动剂,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,classification.secondary.diseases,类风湿关节炎; 炎症性肠病; 慢性肾病; 恶性肿瘤,Endocrine Society Growth Hormone Guidelines 2024
bone_metabolism_entities,BONE_001,骨质疏松症,,metabolic_bone_disease,bone_metabolism_disorder,pathophysiology.bone_remodeling_imbalance.normal_remodeling,骨形成与骨吸收平衡,Endocrine Society Growth Hormone Guidelines 2024
