sourceFile,drugCode,genericName,specification,unit,series,category,metadata.englishName,metadata.chineseAcronym,metadata.brandName,metadata.commonDosage,metadata.recommendedDosages,metadata.recommendedFrequency,metadata.form,metadata.route,metadata.indications,metadata.contraindications,metadata.sideEffects,metadata.drugInteractions,metadata.specialInstructions,metadata.pregnancyCategory,metadata.renalAdjustment,metadata.hepaticAdjustment,metadata.frequency1,metadata.frequency2,metadata.frequency3,metadata.frequency4
general-drug-database.ts,apatinib,阿帕替尼,250mg;425mg,mg,VEGFR-2 TKI/血管生成抑制剂,国产VEGFR-2 TKI,Apatinib,APA,艾坦,850mg,,每日1次,口服,口服,晚期胃癌,严重肝肾功能不全,高血压;手足综合征;蛋白尿,CYP3A4;CYP2C9底物,餐后30分钟服用,D,正常剂量,Child-Pugh C禁用,QD,,,
general-drug-database.ts,ceftazidime-avibactam,头孢他啶阿维巴坦,2.5g,g,β-内酰胺类/酶抑制剂复方,抗耐药菌,Ceftazidime/Avibactam,CAZ-AVI,赛欣,2.5g,,每日3次,静脉注射,静脉注射,耐药革兰阴性菌感染;复杂腹腔感染,头孢过敏,过敏反应;腹泻,丙磺舒,覆盖产ESBL;KPC菌,C,肌酐清除率<50减量,正常剂量,TID,,,
general-drug-database.ts,aspirin,阿司匹林,25mg;50mg;75mg;100mg,mg,抗血小板药/环氧酶抑制剂,抗血小板一线药,Aspirin,ASP,拜阿司匹林,75-100mg,,每日1次,口服,口服,心血管疾病预防;急性冠脉综合征,活动性出血;血友病;严重肝功能不全,出血;胃肠道反应;过敏反应,华法林;氯吡格雷;NSAIDs,餐后服用,D,正常剂量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,clopidogrel,氯吡格雷,75mg,mg,抗血小板药/P2Y12受体拮抗剂,需基因检测,Clopidogrel,CLP,波立维,75mg,,每日1次,口服,口服,急性冠脉综合征;PCI术后;卒中,活动性出血;严重肝功能不全,出血;血栓性血小板减少性紫癜,质子泵抑制剂;CYP2C19抑制剂,CYP2C19基因检测,B,正常剂量,肝功能损害时谨慎,QD,,,
general-drug-database.ts,ticagrelor,替格瑞洛,90mg,mg,抗血小板药/P2Y12受体拮抗剂,无需代谢激活,Ticagrelor,TIC,倍林达,90mg,,每日2次,口服,口服,急性冠脉综合征;心肌梗死病史,活动性出血;颅内出血史;严重肝功能不全,呼吸困难;出血;心动过缓,CYP3A4抑制剂;地高辛,无需负荷剂量,C,正常剂量,肝功能损害时禁用,BID,,,
general-drug-database.ts,warfarin,华法林,1mg;2.5mg;3mg;5mg,mg,抗凝药/维生素K拮抗剂,需监测INR,Warfarin,WAR,华法林,2-5mg,,每日1次,口服,口服,房颤;深静脉血栓;肺栓塞;心脏瓣膜置换,活动性出血;妊娠;严重肝功能不全,出血;皮肤坏死,阿司匹林;抗生素;胺碘酮,监测INR,X,正常剂量,肝功能损害时减量,QD,,,
general-drug-database.ts,rivaroxaban,利伐沙班,10mg;15mg;20mg,mg,抗凝药/Xa因子抑制剂,新型口服抗凝药,Rivaroxaban,RIV,拜瑞妥,10-20mg,,每日1次,口服,口服,房颤;深静脉血栓;肺栓塞,活动性出血;严重肾功能不全,出血;肝酶升高,CYP3A4抑制剂;P-gp抑制剂,与食物同服提高吸收,C,肌酐清除率<15禁用,Child-Pugh C禁用,QD,,,
general-drug-database.ts,dabigatran-etexilate,达比加群酯,75mg;110mg;150mg,mg,抗凝药/凝血酶抑制剂,可逆性抗凝,Dabigatran Etexilate,DAB,泰毕全,110-150mg,,每日2次,口服,口服,房颤;深静脉血栓;肺栓塞,活动性出血;机械心脏瓣膜,出血;消化不良,P-gp抑制剂;维拉帕米,整粒吞服不可掰开,C,肌酐清除率<30禁用,正常剂量,BID,,,
general-drug-database.ts,heparin-sodium,肝素钠,12500IU/ml,IU,抗凝药/肝素类,需监测aPTT,Heparin Sodium,UFH,肝素钠注射液,按aPTT调整,,必要时,静脉注射,静脉注射;皮下注射,深静脉血栓;肺栓塞;急性冠脉综合征,活动性出血;血小板减少症,出血;肝素诱导血小板减少,华法林;抗血小板药,监测aPTT,C,肾功能不全时谨慎,正常剂量,continuous,,,
general-drug-database.ts,enoxaparin-sodium,依诺肝素钠,4000IU;6000IU,mg,抗凝药/低分子肝素,低分子肝素,Enoxaparin Sodium,LMWH,克赛,40mg,,每日1次;每日2次,皮下注射,皮下注射,深静脉血栓预防;不稳定心绞痛,活动性出血;肝素过敏;严重肾功能不全,出血;血小板减少,抗血小板药;华法林,无需监测aPTT,B,肌酐清除率<30减量,正常剂量,QD,,,
general-drug-database.ts,iron-dextran,右旋糖酐铁,50mg/ml,mg,铁剂/注射用铁剂,需做过敏试验,Iron Dextran,FD,右旋糖酐铁注射液,100-200mg,,每周1-2次,静脉注射,静脉注射;肌肉注射,缺铁性贫血;慢性肾病贫血,铁负荷过重;急性感染,过敏反应;注射部位疼痛,口服铁剂,需做过敏试验,C,正常剂量,正常剂量,QW,,,
general-drug-database.ts,recombinant-human-erythropoietin,重组人促红素,3000IU;10000IU,IU,造血刺激因子,监测血红蛋白,Recombinant Human Erythropoietin,EPO,益比奥,50-150IU/kg,,每周3次,皮下注射,皮下注射;静脉注射,肾性贫血;化疗相关贫血,未控制的高血压;纯红细胞再生障碍,高血压;血栓事件,铁剂,监测血红蛋白和血压,C,正常剂量,正常剂量,TIW,,,
general-drug-database.ts,epinephrine,肾上腺素,1mg/ml,mg,急救药物/儿茶酚胺类,心肺复苏首选,Epinephrine,EPI,肾上腺素注射液,1mg,,必要时,静脉注射,静脉注射;肌肉注射;气管内注射,心脏骤停;过敏性休克;支气管痉挛,高血压危象;心律失常,心律失常;高血压;心悸,β受体阻滞剂;三环抗抑郁药,心肺复苏首选,C,正常剂量,正常剂量,PRN,,,
general-drug-database.ts,dopamine,多巴胺,20mg/ml,mg,急救药物/儿茶酚胺类,休克首选,Dopamine,DOP,多巴胺注射液,2-20μg/kg/min,,必要时,静脉注射,静脉注射,休克;心力衰竭,嗜铬细胞瘤;室性心律失常,心律失常;高血压,β受体阻滞剂;MAO抑制剂,持续静脉滴注,C,正常剂量,正常剂量,continuous,,,
general-drug-database.ts,norepinephrine,去甲肾上腺素,2mg/ml,mg,急救药物/儿茶酚胺类,感染性休克首选,Norepinephrine,NE,去甲肾上腺素注射液,0.05-0.2μg/kg/min,,必要时,静脉注射,静脉注射,感染性休克;低血压,高血压;外周血管疾病,心律失常;组织缺血,β受体阻滞剂;三环抗抑郁药,持续静脉滴注,C,正常剂量,正常剂量,continuous,,,
general-drug-database.ts,isoprenaline,异丙肾上腺素,1mg/ml,mg,急救药物/β受体激动剂,心动过缓首选,Isoprenaline,ISO,异丙肾上腺素注射液,2-10μg/min,,必要时,静脉注射,静脉注射,心脏骤停;心动过缓,心律失常;心肌缺血,心律失常;心悸,β受体阻滞剂,持续静脉滴注,C,正常剂量,正常剂量,continuous,,,
general-drug-database.ts,dobutamine,多巴酚丁胺,20mg/ml,mg,急救药物/β1受体激动剂,心衰急救,Dobutamine,DOB,多巴酚丁胺注射液,2.5-10μg/kg/min,,必要时,静脉注射,静脉注射,心力衰竭;心源性休克,肥厚性心肌病;主动脉瓣狭窄,心律失常;心悸,β受体阻滞剂,持续静脉滴注,C,正常剂量,正常剂量,continuous,,,
general-drug-database.ts,protamine-sulfate,鱼精蛋白,50mg/ml,mg,急救药物/肝素拮抗剂,肝素拮抗剂,Protamine Sulfate,PRO,硫酸鱼精蛋白注射液,1mg拮抗100IU肝素,,必要时,静脉注射,静脉注射,肝素过量,鱼精蛋白过敏;血小板减少,低血压;过敏反应,肝素,缓慢静脉注射,C,正常剂量,正常剂量,PRN,,,
general-drug-database.ts,vitamin-b1,维生素B1,50mg;100mg,mg,急救药物/维生素类,Wernicke脑病必需,Vitamin B1,VB1,维生素B1注射液,100mg,,每日1次,静脉注射,静脉注射;肌肉注射,维生素B1缺乏;脚气病;Wernicke脑病,无禁忌症,过敏反应,无明显相互作用,缓慢静脉注射,A,正常剂量,正常剂量,QD,,,
general-drug-database.ts,vitamin-c-injection,维生素C注射液,500mg;2g,g,急救药物/维生素类,抗氧化剂,Vitamin C Injection,VitC,维生素C注射液,1-3g,,每日1次,静脉注射,静脉注射,维生素C缺乏;高铁血红蛋白血症,高草酸尿症,草酸盐结石,铁剂,缓慢静脉注射,A,正常剂量,正常剂量,QD,,,
general-drug-database.ts,busulfan,丁氨卡因,20mg,mg,急救药物/解毒剂,有机磷中毒,Busulfan,BUS,盐酸丁卡因,20mg,,必要时,静脉注射,口服;静脉注射,有机磷中毒,青光眼;前列腺增生,口干;视物模糊;尿潴留,抗胆碱药物,阿托品化指标,C,正常剂量,正常剂量,PRN,,,
general-drug-database.ts,naloxone,纳洛酮,0.4mg/ml,mg,急救药物/阿片受体拮抗剂,阿片拮抗剂,Naloxone,NAL,纳洛酮注射液,0.4-2mg,,必要时,静脉注射,静脉注射;肌肉注射,阿片类药物过量;阿片类呼吸抑制,纳洛酮过敏,撤药综合征;血压升高,阿片类药物,重复给药可能需要,B,正常剂量,正常剂量,PRN,,,
general-drug-database.ts,tislelizumab,替雷利珠单抗,100mg,mg,PD-1抑制剂/免疫检查点抑制剂,国产创新药,Tislelizumab,TIS,百泽安,200mg,,每3周1次,静脉注射,静脉注射,非小细胞肺癌;食管鳞癌;尿路上皮癌,活动性自身免疫性疾病,免疫相关不良反应;肺炎;肝炎,免疫抑制剂,国产PD-1单抗,D,正常剂量,正常剂量,Q3W,,,
general-drug-database.ts,camrelizumab,卡瑞利珠单抗,200mg,mg,PD-1抑制剂/免疫检查点抑制剂,国产创新药,Camrelizumab,CAM,艾瑞卡,200mg,,每2周1次;每3周1次,静脉注射,静脉注射,霍奇金淋巴瘤;肝细胞癌;食管鳞癌,活动性自身免疫性疾病,反应性毛细血管增生症;免疫相关不良反应,免疫抑制剂,特征性RCCEP,D,正常剂量,正常剂量,Q2-3W,,,
general-drug-database.ts,sintilimab,信迪利单抗,100mg,mg,PD-1抑制剂/免疫检查点抑制剂,国产创新药,Sintilimab,SIN,达伯舒,200mg,,每3周1次,静脉注射,静脉注射,霍奇金淋巴瘤;非小细胞肺癌;肝细胞癌,活动性自身免疫性疾病,免疫相关不良反应;肺炎;甲减,免疫抑制剂,国产PD-1单抗,D,正常剂量,正常剂量,Q3W,,,
general-drug-database.ts,toripalimab,特瑞普利单抗,240mg,mg,PD-1抑制剂/免疫检查点抑制剂,国产创新药,Toripalimab,TOR,拓益,240mg,,每3周1次,静脉注射,静脉注射,黑色素瘤;鼻咽癌;尿路上皮癌,活动性自身免疫性疾病,免疫相关不良反应;肺炎;甲减,免疫抑制剂,国产PD-1单抗,D,正常剂量,正常剂量,Q3W,,,
general-drug-database.ts,tirzepatide,替尔泊肽,2.5mg;5mg;7.5mg;10mg;12.5mg;15mg,mg,GIP/GLP-1受体双激动剂,2025年新批准,Tirzepatide,TZP,慕纳迪,5-15mg,,每周1次,皮下注射,皮下注射,2型糖尿病;肥胖症,甲状腺髓样癌家族史;MEN2综合征,恶心;腹泻;呕吐;便秘,胰岛素;磺脲类,固定周日注射,C,正常剂量,正常剂量,QW,,,
general-drug-database.ts,bempedoic-acid,苯丙酸,180mg,mg,ATP柠檬酸裂解酶抑制剂,2025年新批准,Bempedoic Acid,BEM,立必妥,180mg,,每日1次,口服,口服,杂合子家族性高胆固醇血症;动脉粥样硬化,严重肝功能不全,肌肉痛;痛风;肌腱断裂,他汀类;辛伐他汀,可与他汀联用,C,正常剂量,肝功能损害时禁用,QD,,,
general-drug-database.ts,anifrolumab,阿尼鲁单抗,300mg,mg,I型干扰素受体拮抗剂,2025年新批准,Anifrolumab,ANI,沙芙珠,300mg,,每4周1次,静脉注射,静脉注射,中重度系统性红斑狼疮,活动性感染;严重免疫缺陷,输注反应;感染风险增加,活疫苗;免疫抑制剂,输注期间监测,D,正常剂量,正常剂量,Q4W,,,
general-drug-database.ts,dostarlimab,度伐利尤单抗,500mg,mg,PD-1抑制剂/免疫检查点抑制剂,2025年新批准,Dostarlimab,DOS,捷恪卫,500mg,,每3周1次,静脉注射,静脉注射,错配修复缺陷实体瘤;子宫内膜癌,活动性自身免疫性疾病,免疫相关不良反应;疲劳;贫血,免疫抑制剂,dMMR/MSI-H检测,D,正常剂量,正常剂量,Q3W,,,
general-drug-database.ts,zanubrutinib,泽布替尼,80mg,mg,BTK抑制剂,国产创新药,Zanubrutinib,ZAN,百悦泽,160-320mg,,每日2次,口服,口服,套细胞淋巴瘤;慢性淋巴细胞白血病,严重出血;严重感染,出血;房颤;感染,CYP3A4抑制剂;华法林,可与或不与食物同服,D,正常剂量,肝功能损害时减量,BID,,,
general-drug-database.ts,adebrelimab,爱地希单抗,1200mg,mg,PD-L1抑制剂/免疫检查点抑制剂,国产创新药,Adebrelimab,ADE,爱地希,1200mg,,每3周1次,静脉注射,静脉注射,广泛期小细胞肺癌;鳞状非小细胞肺癌,活动性自身免疫性疾病,免疫相关不良反应;肺炎;肝炎,免疫抑制剂,PD-L1表达检测,D,正常剂量,正常剂量,Q3W,,,
