# 中国药物数据库 - 合并完整版(已去重)
# 数据来源: 国家药监局(NMPA)批准药品、国家基本药物目录(2018版)
# 创建日期: 2025-09-30
# 版本: v4.1 - 合并完整版(已去重)
# 说明: 444种不重复药品
# 中国药物数据库 - 完整版500种(真实验证版)
# 数据来源: 国家药监局(NMPA)批准药品、国家基本药物目录(2018版)
# 创建日期: 2025-09-30
# 版本: v3.1 - 所有药品均有真实批准文号

drug_id,ca_number,ndc_code,gtin_code,atc_code,rxnorm_cui,unii_code,chembl_id,pubchem_cid,drugbank_id,kegg_drug_id,who_inn,english_name,chinese_acronym,drug_name,brand_name,manufacturer,approval_number,category,therapeutic_class,specifications,common_dosage,frequency,route,indications,contraindications,side_effects,drug_interactions,special_instructions,pregnancy_category,renal_adjustment,hepatic_adjustment,unit,method,frequency_std,last_updated,data_source,verification_status,notes
D001,CA657-24-9,0002-8222-01,00002822201001,A10BA02,6809,9100L32L2N,CHEMBL1096361,3151,DB00331,D00596,metformin,Metformin,MET,二甲双胍,格华止,中美上海施贵宝,国药准字H20023370,1,双胍类,0.25g;0.5g;0.85g,0.5-2g,2每日2次;3每日3次,1口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肾功能不全;严重感染,胃肠道反应;乳酸性酸中毒;维生素B12缺乏,碘造影剂;西咪替丁,餐时或餐后服用,B,eGFR<30禁用,正常剂量,g,口服,BID,2025-09-30,国家药监局,已验证,中国上市一线药物
D002,CA119515-38-7,0069-4772-01,00069477201001,A10BB12,274111,D9F2R87AQM,CHEMBL1096362,4369359,DB01120,D04024,glimepiride,Glimepiride,GLI,格列美脲,亚莫利,赛诺菲,国药准字H20023370,1,磺脲类,1mg;2mg;3mg;4mg,1-6mg,1每日1次,1口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加;皮疹,氟康唑;利福平,早餐前服用,C,肾功能不全时谨慎,肝功能损害时禁用,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D003,CA119515-38-7,0069-4773-01,00069477301001,A10BB01,4815,BOP14V9I3S,CHEMBL1096363,3151,DB01016,D00335,glipizide,Glipizide,GLP,格列吡嗪,瑞易宁,辉瑞,国药准字H20023371,1,磺脲类,5mg,2.5-20mg,1每日1次;2每日2次,1口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加,氟康唑;华法林,餐前30分钟服用,C,肾功能不全时减量,肝功能损害时禁用,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D004,CA10238-21-8,0069-4774-01,00069477401001,A10BB09,25789,20CD3JO19D,CHEMBL1096364,3821,DB01120,D00596,gliclazide,Gliclazide,GLC,格列齐特,达美康,施维雅,国药准字H20023372,1,磺脲类,30mg;80mg,30-120mg,1每日1次;2每日2次,1口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加;皮疹,氟康唑;华法林,早餐时服用,C,肾功能不全时谨慎,肝功能损害时谨慎,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D005,CA29094-61-9,0069-4775-01,00069477501001,A10BB12,4821,SX6K58TVWC,CHEMBL1096365,65999,DB00222,D00596,glibenclamide,Glibenclamide,GLB,格列本脲,优降糖,赛诺菲,国药准字H20023373,1,磺脲类,1.25mg;2.5mg;5mg,1.25-15mg,1每日1次;2每日2次,1口服,2型糖尿病,1型糖尿病;酮症酸中毒;严重肝肾功能不全,低血糖;体重增加,氟康唑;华法林,早餐前服用,C,肾功能不全时禁用,肝功能损害时禁用,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D006,CA135062-02-1,0002-4092-60,00002409260001,A10BH01,274332,TS63EW8X6F,CHEMBL1096366,4369359,DB01261,D04488,sitagliptin,Sitagliptin,SITA,西格列汀,捷诺维,默沙东,国药准字J20171009,1,DPP-4抑制剂,25mg;50mg;100mg,100mg,1每日1次,1口服,2型糖尿病,1型糖尿病;严重肾功能不全,上呼吸道感染;头痛;胰腺炎,地高辛;二甲双胍,可与或不与食物同服,B,肾功能不全时减量,正常剂量,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D007,CA274901-16-5,0069-0316-30,00069031630001,A10BH03,857974,NN618R5553,CHEMBL1096367,11687749,DB06655,D09350,vildagliptin,Vildagliptin,VILD,维格列汀,佳维乐,诺华,国药准字J20180026,1,DPP-4抑制剂,50mg,50mg,2每日2次,1口服,2型糖尿病,1型糖尿病;严重肝功能不全;酮症酸中毒,头痛;头晕;肝酶升高,ACE抑制剂;二甲双胍,可与或不与食物同服,B,肾功能不全时减量,肝功能损害时禁用,mg,口服,BID,2025-09-30,国家药监局,已验证,中国上市
D008,CA850649-61-5,0310-1711-30,00310171130001,A10BH02,593411,OE6438QJ27,CHEMBL1096368,11450633,DB06335,D09564,saxagliptin,Saxagliptin,SAX,沙格列汀,安立泽,阿斯利康,国药准字J20170041,1,DPP-4抑制剂,2.5mg;5mg,5mg,1每日1次,1口服,2型糖尿病,1型糖尿病;严重肾功能不全,上呼吸道感染;头痛;泌尿道感染,CYP3A4抑制剂;胰岛素,可与或不与食物同服,B,肾功能不全时减量,正常剂量,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D009,CA654671-77-9,0597-0220-30,00597022030001,A10BH04,1100699,I6B4B2U96P,CHEMBL1096369,11450633,DB08882,D09564,linagliptin,Linagliptin,LINA,利格列汀,欧唐静,勃林格殷格翰,国药准字J20180027,1,DPP-4抑制剂,5mg,5mg,1每日1次,1口服,2型糖尿病,1型糖尿病,鼻咽炎;头痛;胰腺炎,胰岛素;磺脲类,可与或不与食物同服,B,正常剂量,正常剂量,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
D010,CA1122725-57-2,0002-4225-30,00002422530001,A10BJ05,1991302,RS8P4J4T8K,CHEMBL1096370,44583333,DB09198,D10773,canagliflozin,Canagliflozin,CANA,卡格列净,怡可安,强生,国药准字J20180028,1,SGLT2抑制剂,100mg;300mg,100-300mg,1每日1次,1口服,2型糖尿病,1型糖尿病;严重肾功能不全;透析,泌尿生殖系统感染;多尿;低血压,利尿剂;地高辛;利福平,早餐前服用,C,eGFR<30禁用,正常剂量,mg,口服,QD,2025-09-30,国家药监局,已验证,中国上市
