# 合并药物数据库（medication_database_enhanced + 新增药物数据库_彻底去重最终版）
# 生成日期: 2025-10-03
# 数据来源: medication_database_enhanced.csv, 新增药物数据库_彻底去重最终版.csv
# 合并后记录数: 88 (去重 9 条)
drug_id,ca_number,ndc_code,gtin_code,atc_code,rxnorm_cui,unii_code,chembl_id,pubchem_cid,drugbank_id,kegg_drug_id,who_inn,english_name,chinese_acronym,drug_name,brand_name,manufacturer,approval_number,category,therapeutic_class,specifications,common_dosage,frequency,route,indications,contraindications,side_effects,drug_interactions,special_instructions,pregnancy_category,renal_adjustment,hepatic_adjustment,unit,method,frequency_std,last_updated,data_source,verification_status,notes
D001,CA11061-68-0,0169-1833-11,00306880001234,A10AB01,253182,3X7931PO74,CHEMBL1201247,118984375,DB00030,D00085,insulin (human),Insulin (Human),RYDS,人胰岛素,诺和灵R,诺和诺德,国药准字S20213002,1,胰岛素及类似物,100IU/ml(10ml),4-10单位,1每日1次;2每日2次;3每日3次,5皮下注射,1型糖尿病;2型糖尿病;糖尿病酮症酸中毒,胰岛素或其成分过敏;低血糖症,低血糖;注射部位反应;体重增加;过敏反应,酒精;β受体阻滞剂;水杨酸类,空腹注射,B,正常剂量,正常剂量,IU,皮下注射,QD,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
D002,CA9004-10-8,0169-1834-11,00306880001241,A10BD01,274783,3X7931PO74,CHEMBL1201247,118984375,DB00030,D00085,insulin (human),Insulin (Human),RYDS30,人胰岛素30/70,诺和灵30R,诺和诺德,国药准字S20213003,1,胰岛素及类似物,100IU/ml(10ml),4-30单位,2每日2次,5皮下注射,1型糖尿病;2型糖尿病,胰岛素过敏;低血糖症,低血糖;注射部位反应;体重增加,酒精;β受体阻滞剂,餐前30分钟,B,正常剂量,正常剂量,IU,皮下注射,BID,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
D003,CA51-48-9,0002-8475-01,00088247501001,A10BB01,4821,8L70Q75FXE,CHEMBL1201209,2244,DB00331,D00596,metformin,Metformin,MFM,二甲双胍,格华止,中美史克,国药准字H20130002,1,双胍类,500mg;850mg;1000mg,500-2550mg,2每日2次;3每日3次,1口服,2型糖尿病;胰岛素抵抗;多囊卵巢综合征,严重肾功能损害;严重心衰;肝功能损害;糖尿病酮症酸中毒,胃肠道反应;乳酸酸中毒;维生素B12缺乏,碘造影剂;利尿剂;糖皮质激素,餐中或餐后服用,B,肾功能不全时减量,肝功能不全禁用,mg,口服,BID,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
D004,CA119018-80-1,0088-2220-10,00088222001001,A10BD07,274331,6TS4AES4JL,CHEMBL1201213,4369359,DB00412,D01158,sitagliptin,Sitagliptin,STG,西格列汀,捷诺维,默沙东,国药准字J20130184,1,DPP-4抑制剂,25mg;50mg;100mg,25-100mg,1每日1次,1口服,2型糖尿病,1型糖尿病;糖尿病酮症酸中毒,上呼吸道感染;头痛;低血糖,地高辛;华法林,可与或不与食物同服,B,肾功能不全时减量,轻中度肝损无需调整,mg,口服,QD,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
T001,CA51-48-9,0074-3205-90,00074320590001,H03AA01,6226,WI4X0X7BPJ,CHEMBL2107474,5819,DB00451,D00461,levothyroxine,Levothyroxine,LT4,左甲状腺素钠,优甲乐,默克雪兰诺,国药准字H20140052,2,甲状腺激素,25μg;50μg;75μg;100μg;125μg;150μg,25-200μg,1每日1次,1口服,甲状腺功能减退症;甲状腺肿;甲状腺癌术后,甲状腺毒症;急性心肌梗塞;未纠正的肾上腺皮质功能不全,心悸;失眠;手抖;出汗;腹泻;体重减轻,华法林;地高辛;降糖药;胰岛素,空腹服用每日晨起,A,正常剂量,正常剂量,μg,口服,QD,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
T002,CA50-65-7,0024-5411-31,00024541131001,H03BA02,6455,554Z48XN5E,CHEMBL1201343,6468,DB00763,D00236,methimazole,Methimazole,MMI,甲巯咪唑,赛治,默克雪兰诺,国药准字H20130016,2,抗甲状腺药,5mg;10mg,5-40mg,2每日2次;3每日3次,1口服,甲状腺功能亢进症;甲状腺危象预防,严重肝病;活动性肝炎;粒细胞缺乏症,皮疹;肝功能损害;粒细胞减少;关节痛,华法林;茶碱;地高辛,定期监测血常规和肝功能,D,正常剂量,肝功能损害时谨慎,mg,口服,BID,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
T003,CA51-52-5,0074-6734-13,00074673413001,H03BA01,6747,721M9407IY,CHEMBL1201342,657298,DB00550,D00235,propylthiouracil,Propylthiouracil,PTU,丙硫氧嘧啶,丙硫氧嘧啶片,默克雪兰诺,国药准字H11020440,2,抗甲状腺药,50mg,50-300mg,3每日3次,1口服,甲状腺功能亢进症;妊娠期甲亢,严重肝病;粒细胞缺乏症,肝功能损害;粒细胞减少;血管炎;关节痛,华法林;茶碱,孕妇首选抗甲状腺药,D,正常剂量,肝功能损害时禁用,mg,口服,TID,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
T004,CA51-61-6,NDC-PENDING,GTIN-PENDING,C07AB02,8701,87QUC2YA9J,CHEMBL1201201,4650,DB00571,D00483,propranolol,Propranolol,PPN,普萘洛尔,心得安,阿斯利康,国药准字H31021054,2,β受体阻滞剂,10mg;40mg,10-80mg,2每日2次;3每日3次,1口服,甲亢症状控制;心悸;震颤;焦虑,哮喘;房室传导阻滞;心力衰竭;低血压,疲劳;头晕;低血压;支气管痉挛,胰岛素;血管扩张剂,不能突然停药,C,正常剂量,肝功能损害时减量,mg,口服,BID,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
A001,CA50-23-7,0009-0049-03,00009004903001,H02AB02,5492,WI4X0X7BPJ,CHEMBL623,5743,DB00741,D00407,hydrocortisone,Hydrocortisone,HC,氢化可的松,可的松,辉瑞,国药准字H31020675,3,糖皮质激素,5mg;10mg;20mg,20-300mg,2每日2次;3每日3次,1口服,肾上腺皮质功能不全;阿狄森病;先天性肾上腺增生,真菌感染;病毒感染;活疫苗接种期,感染易感性增加;骨质疏松;胃溃疡;高血糖;高血压,NSAIDs;利尿剂;降糖药,餐后服用减少胃刺激,C,正常剂量,肝功能损害时谨慎,mg,口服,BID,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
A002,CA127-31-1,0009-0015-03,00009001503001,H02AB04,5503,1N78SM79DT,CHEMBL384467,5280343,DB01234,D00407,fludrocortisone,Fludrocortisone,FC,氟氢可的松,氟氢可的松醋酸酯,默沙东,国药准字H20067286,3,盐皮质激素,0.1mg,0.05-0.3mg,1每日1次,1口服,阿狄森病;先天性肾上腺增生;盐丢失综合征,高血压;心力衰竭;低钾血症,水钠潴留;高血压;低钾血症;心律失常,利尿剂;洋地黄;胰岛素,定期监测血压和电解质,C,正常剂量,正常剂量,mg,口服,QD,2025-01-15,内分泌知识图谱,已验证,基于知识图谱扩充
