字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,UTI20250328001
diagnosisDate,确诊日期,Date,尿路感染确诊日期,2025-03-28
age,年龄,Number,确诊时年龄(岁),35
gender,性别,String,患者性别,女

# 临床分类
classification.type,分类.类型,String,"**下尿路感染**: 膀胱炎、尿道炎<br>**上尿路感染**: 肾盂肾炎<br>**无症状菌尿**: 无症状,菌落计数≥10⁵",急性膀胱炎
classification.complicated,分类.复杂性,String,"**单纯性**: 健康非孕女性,无结构功能异常<br>**复杂性**: 男性、孕妇、结构异常、免疫抑制、导尿管相关",单纯性
classification.recurrence,分类.复发性,Boolean,"**复发性UTI**: 6月内≥2次或12月内≥3次<br>**女性**: 常见",false

# 症状 - 下尿路症状
symptoms.dysuria,症状.尿痛,Boolean,"**排尿痛**: 膀胱炎最典型症状<br>**灼烧感**: 排尿时或排尿后",true
symptoms.frequency,症状.尿频,Boolean,"**尿频**: 排尿次数增多<br>**日间>8次**: 异常<br>**夜间>2次**: 夜尿",true
symptoms.urgency,症状.尿急,Boolean,"**尿急**: 突发强烈排尿欲<br>**急迫性尿失禁**: 严重者",true
symptoms.suprapubicPain,症状.下腹痛,Boolean,"**耻骨上疼痛**: 膀胱区胀痛<br>**膀胱充盈时加重**: 排尿后缓解",true
symptoms.hematuria,症状.血尿,Boolean,"**肉眼血尿**: 可见<br>**镜下血尿**: 尿常规发现<br>**出血性膀胱炎**: 严重者",false

# 症状 - 上尿路症状(肾盂肾炎)
symptoms.fever,症状.发热,Boolean,"**发热**: 肾盂肾炎常见(>38.5°C)<br>**畏寒寒战**: 提示菌血症",false
symptoms.fever.temperature,症状.发热.体温,Number,体温(°C),36.8
symptoms.flankPain,症状.腰痛,Boolean,"**肋脊角叩痛**: 肾盂肾炎典型体征<br>**单侧或双侧**: 腰痛",false
symptoms.cvat,症状.CVAT,Boolean,"**CVAT**: 肋脊角压痛(Costovertebral Angle Tenderness)<br>**阳性**: 提示肾盂肾炎",false
symptoms.nausea,症状.恶心呕吐,Boolean,"**消化道症状**: 肾盂肾炎可伴随<br>**全身中毒症状**: 严重感染",false

# 尿液分析
urine.appearance,尿液.外观,String,"**清亮**: 正常<br>**混浊**: 白细胞、细菌<br>**血性**: 出血性膀胱炎",混浊
urine.color,尿液.颜色,String,"**淡黄**: 正常<br>**深黄**: 浓缩<br>**红色**: 血尿<br>**浑浊**: 脓尿",淡黄色混浊
urine.wbc,尿液.白细胞,String,"尿白细胞(个/HP)。<br>**<5**: 正常<br>**>10**: 脓尿<br>**白细胞酯酶阳性**: UTI敏感指标",30-50/HP
urine.rbc,尿液.红细胞,String,"尿红细胞(个/HP)。<br>**<3**: 正常<br>**>3**: 血尿",5-10/HP
urine.bacteria,尿液.细菌,String,"尿细菌。<br>**阴性**: 正常<br>**阳性**: 细菌感染<br>**每HP可见**: 提示菌尿",阳性,++++
urine.nitrite,尿液.亚硝酸盐,String,"亚硝酸盐试验。<br>**阳性**: 革兰阴性杆菌感染(大肠杆菌)<br>**特异性高**: >90%",阳性
urine.leukocyteEsterase,尿液.白细胞酯酶,String,"白细胞酯酶。<br>**阳性**: 脓尿(>10 WBC/HP)<br>**敏感性**: 75-96%",阳性(++)
urine.protein,尿液.蛋白,String,"尿蛋白。<br>**阴性/-**: 正常<br>**+/-/++**: 轻度蛋白尿(炎症)<br>**+++/++++**: 肾盂肾炎或肾病",+
urine.cast,尿液.管型,String,"尿管型。<br>**白细胞管型**: 肾盂肾炎特征性表现<br>**提示**: 肾实质感染",无

# 尿培养
culture.performed,尿培养.是否送检,Boolean,"**中段清洁尿**: 标准采集方法<br>**导尿采集**: 污染率低<br>**耻骨上穿刺**: 金标准(罕用)",true
culture.collection,尿培养.采集方法,String,"**中段尿**: 最常用<br>**导尿**: 老年、儿童<br>**耻骨上穿刺**: 特殊情况",中段清洁尿
culture.result,尿培养.结果,String,"**阳性**: 病原菌生长<br>**污染**: 多种菌、菌落数低<br>**阴性**: 无菌生长或污染",大肠杆菌生长
culture.colony,尿培养.菌落计数,Number,"菌落形成单位(CFU/mL)。<br>**≥10⁵**: 诊断标准(中段尿)<br>**≥10⁴**: 有症状女性可诊断<br>**≥10²**: 导尿标本可诊断",>10⁵ CFU/mL
culture.pathogen,尿培养.病原菌,String,"**大肠杆菌**: 75-95%(最常见)<br>**克雷伯菌**: 5-10%<br>**变形杆菌**: 5%<br>**粪肠球菌**: 5-10%<br>**金黄色葡萄球菌**: 2-5%",大肠杆菌
culture.sensitivity,尿培养.药敏试验,String,药物敏感性试验结果,敏感:头孢曲松、左氧氟沙星;耐药:氨苄西林

# 血液检查
blood.wbc,血液.白细胞,Number,"血白细胞(×10⁹/L)。<br>**正常**: 4-10<br>**升高**: 感染<br>**肾盂肾炎**: 常升高",12.5
blood.neutrophil,血液.中性粒细胞,Number,"中性粒细胞百分比(%)。<br>**正常**: 50-70%<br>**升高**: 细菌感染<br>**核左移**: 严重感染",82
blood.crp,血液.CRP,Number,"C反应蛋白(mg/L)。<br>**<10**: 正常<br>**升高**: 炎症<br>**肾盂肾炎**: 显著升高",45
blood.pct,血液.PCT,Number,"降钙素原(ng/mL)。<br>**<0.5**: 低风险<br>**>2**: 脓毒症风险<br>**肾盂肾炎**: 可升高",0.8
blood.creatinine,血液.肌酐,Number,"血肌酐(μmol/L)。<br>**正常**: 女44-80,男53-106<br>**升高**: 肾功能受损<br>**梗阻性肾盂肾炎**: 可升高",70

# 影像学检查
imaging.ultrasound.performed,影像学.超声.是否完成,Boolean,"**肾脏超声**: 评估结构异常<br>**膀胱超声**: 残余尿<br>**适应证**: 复杂性UTI、男性、儿童、复发性",false
imaging.ultrasound.findings,影像学.超声.发现,String,"**正常**: 无异常<br>**肾积水**: 梗阻<br>**结石**: 感染性结石<br>**残余尿**: 排尿功能障碍",未做

imaging.ct.performed,影像学.CT.是否完成,Boolean,"**增强CT**: 肾脓肿、肾周脓肿<br>**适应证**: 复杂性肾盂肾炎、治疗无效<br>**排除**: 泌尿系结石、肿瘤",false
imaging.ct.findings,影像学.CT.发现,String,"**肾周炎**: 肾周脂肪模糊<br>**肾脓肿**: 液化坏死<br>**气肿性肾盂肾炎**: 糖尿病患者,产气菌",未做

imaging.vcug,影像学.VCUG.是否完成,Boolean,"**排尿性膀胱尿道造影**: 儿童复发性UTI<br>**膀胱输尿管反流**: VUR<br>**适应证**: 儿童、复发性、上尿路异常",false

# 并发症
complications.pyelonephritis,并发症.肾盂肾炎,Boolean,"**上行感染**: 膀胱炎→肾盂肾炎<br>**严重**: 菌血症、脓毒症风险",false
complications.urosepsis,并发症.尿源性脓毒症,Boolean,"**脓毒症**: 尿路感染播散<br>**高危**: 老年、免疫抑制、梗阻<br>**死亡率**: 高",false
complications.abscess,并发症.脓肿,Boolean,"**肾脓肿**: 肾实质化脓性感染<br>**肾周脓肿**: 肾周筋膜内积脓<br>**需引流**: 手术或穿刺",false
