字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
assessmentDate,评估日期,Date,COPD评估日期,2025-01-15
assessmentType,评估类型,String,"评估类型。<br>**建议值**: `初诊评估`, `稳定期随访`, `急性加重期评估`, `术前评估`, `康复评估`",初诊评估

diagnosisInfo.diagnosisDate,诊断信息.诊断日期,Date,COPD诊断日期,2020-03-10
diagnosisInfo.goldStage,诊断信息.GOLD分级,String,"GOLD严重程度分级(基于FEV1% predicted)。<br>**GOLD 1**: FEV1 ≥80%<br>**GOLD 2**: 50% ≤ FEV1 < 80%<br>**GOLD 3**: 30% ≤ FEV1 < 50%<br>**GOLD 4**: FEV1 < 30%",GOLD 2
diagnosisInfo.goldGroup,诊断信息.GOLD综合评估组别,String,"GOLD 2023分组(基于症状+加重史)。<br>**A组**: 症状轻(CAT<10或mMRC 0-1)+加重低风险(0-1次/年,无住院)<br>**B组**: 症状重(CAT≥10或mMRC≥2)+加重低风险<br>**E组**: 任何症状+加重高风险(≥2次/年或≥1次住院)",B组
diagnosisInfo.phenotype,诊断信息.表型,String,"COPD临床表型。<br>**建议值**: `肺气肿型(粉红喷气者)`, `支气管炎型(蓝肿者)`, `混合型`, `频繁急性加重表型(≥2次/年)`, `ACOS(哮喘-COPD重叠)`",混合型
diagnosisInfo.smokingHistory,诊断信息.吸烟史,String,"吸烟状态。<br>**建议值**: `从不吸烟`, `已戒烟`, `现吸烟`",已戒烟
diagnosisInfo.packYears,诊断信息.吸烟包年数,Number,"包年数 = (每天支数/20) × 吸烟年数。<br>单位: 包年<br>**COPD风险**: >10包年",30

symptoms.cat.score,症状.CAT评分.总分,Number,"COPD评估测试总分(0-40分)。<br>**<10**: 症状轻微<br>**10-20**: 中等影响<br>**21-30**: 高度影响<br>**≥30**: 极高影响",15
symptoms.cat.q1Cough,症状.CAT评分.Q1咳嗽,Number,我从不咳嗽(0)-我总是咳嗽(5),3
symptoms.cat.q2Sputum,症状.CAT评分.Q2痰液,Number,我肺里完全没有痰(0)-我肺里充满了痰(5),2
symptoms.cat.q3ChestTightness,症状.CAT评分.Q3胸闷,Number,我胸部一点不闷(0)-我胸部非常闷(5),2
symptoms.cat.q4Breathlessness,症状.CAT评分.Q4气短爬坡,Number,当我爬坡或爬一段楼梯时不气短(0)-非常气短(5),3
symptoms.cat.q5Activities,症状.CAT评分.Q5家务活动受限,Number,我做家务活动不受限(0)-非常受限(5),2
symptoms.cat.q6Confidence,症状.CAT评分.Q6外出信心,Number,我外出很有信心(0)-完全没有信心(5),1
symptoms.cat.q7Sleep,症状.CAT评分.Q7睡眠,Number,我睡得很香(0)-我睡得不香(5),1
symptoms.cat.q8Energy,症状.CAT评分.Q8精力,Number,我精力很充沛(0)-完全没有精力(5),1

symptoms.mmrc.score,症状.mMRC呼吸困难分级,Number,"改良英国医学研究委员会呼吸困难量表。<br>**0级**: 仅剧烈活动时气短<br>**1级**: 平地快走或爬缓坡时气短<br>**2级**: 平地行走比同龄人慢或需停下休息<br>**3级**: 平地步行约100米或数分钟后需停下<br>**4级**: 穿脱衣服时即感气短,不能离开房间",2

symptoms.chronicBronchitis,症状.慢性支气管炎症状,String,"慢性咳嗽咳痰≥3个月,连续2年。<br>**建议值**: `是`, `否`",是
symptoms.dyspneaProgression,症状.呼吸困难进展,String,"**建议值**: `稳定`, `逐渐加重`, `快速恶化`",逐渐加重
symptoms.nighttimeSymptoms,症状.夜间症状,String,"夜间咳嗽、喘息。<br>**建议值**: `无`, `偶尔(1-2次/周)`, `频繁(≥3次/周)`",偶尔(1-2次/周)
symptoms.wheeze,症状.喘息,String,"**建议值**: `无`, `偶尔`, `频繁`, `持续性`",偶尔

exacerbationHistory.lastYearCount,急性加重史.过去1年次数,Number,"过去12个月急性加重次数。<br>**≥2次/年**: 加重高风险",2
exacerbationHistory.hospitalizationCount,急性加重史.过去1年住院次数,Number,因COPD急性加重住院次数,1
exacerbationHistory.icuAdmission,急性加重史.ICU入住史,String,"是否有ICU入住史。<br>**建议值**: `无`, `有`",无
exacerbationHistory.mechanicalVentilation,急性加重史.机械通气史,String,"是否有机械通气史。<br>**建议值**: `无`, `无创通气`, `有创通气`",无创通气
exacerbationHistory.lastExacerbationDate,急性加重史.最近一次加重日期,Date,最近一次急性加重日期,2024-11-20
exacerbationHistory.commonTriggers,急性加重史.常见诱因,String,"**建议值**: `呼吸道感染`, `空气污染`, `气温骤变`, `用药不规律`, `不明原因`",呼吸道感染

spirometry.date,肺功能.检查日期,Date,肺功能检查日期,2025-01-15
spirometry.prebronchodilator.fev1,肺功能.支扩前.FEV1,Number,"第1秒用力呼气容积(支扩前)。<br>单位: L",1.45
spirometry.prebronchodilator.fvc,肺功能.支扩前.FVC,Number,"用力肺活量(支扩前)。<br>单位: L",2.80
spirometry.prebronchodilator.fev1FvcRatio,肺功能.支扩前.FEV1/FVC,Number,"FEV1/FVC比值(支扩前)。<br>**COPD诊断标准**: <0.70(固定比值法)或<LLN(下限正常值法)",0.52

spirometry.postbronchodilator.fev1,肺功能.支扩后.FEV1,Number,"支气管扩张剂后FEV1。<br>单位: L<br>**用于确诊和分级**",1.58
spirometry.postbronchodilator.fvc,肺功能.支扩后.FVC,Number,"支气管扩张剂后FVC。<br>单位: L",3.05
spirometry.postbronchodilator.fev1FvcRatio,肺功能.支扩后.FEV1/FVC,Number,"支气管扩张剂后比值。<br>**COPD确诊**: <0.70",0.52
spirometry.postbronchodilator.fev1Predicted,肺功能.支扩后.FEV1预计值%,Number,"支扩后FEV1占预计值百分比。<br>单位: %<br>**用于GOLD分级**",65
spirometry.bronchodilatorResponse,肺功能.支气管扩张试验反应性,Number,"FEV1改善量(mL)或改善率(%)。<br>**阳性标准**: FEV1增加>200mL且>12%<br>**阳性提示**: ACOS可能",130

spirometry.dlco.value,肺功能.弥散功能.DLCO,Number,"一氧化碳弥散量。<br>单位: mmol/min/kPa<br>**降低**: 肺气肿表型",5.2
spirometry.dlco.predicted,肺功能.弥散功能.DLCO预计值%,Number,"DLCO占预计值百分比。<br>单位: %<br>**<40%**: 重度障碍",55
spirometry.rvTlc,肺功能.残气/肺总量比值,Number,"RV/TLC比值。<br>单位: %<br>**>40%**: 肺气肿/气体陷闭",48

imaging.chestXray.date,影像学.胸部X线.检查日期,Date,胸部X线检查日期,2025-01-10
imaging.chestXray.findings,影像学.胸部X线.主要发现,String,"胸片主要表现。<br>**示例**: `双肺透亮度增加`, `肋间隙增宽`, `膈肌低平`, `肺纹理稀疏`, `肺动脉段突出`, `心影垂直狭小(滴状心)`",双肺透亮度增加,膈肌低平

imaging.chestCT.date,影像学.胸部CT.检查日期,Date,胸部CT检查日期,2024-10-15
imaging.chestCT.emphysemaType,影像学.胸部CT.肺气肿类型,String,"肺气肿CT分型。<br>**建议值**: `无`, `小叶中央型(吸烟相关)`, `全小叶型`, `间隔旁型`, `混合型`",小叶中央型
imaging.chestCT.emphysemaDistribution,影像学.胸部CT.肺气肿分布,String,"**建议值**: `上叶为主`, `下叶为主`, `弥漫分布`",上叶为主
imaging.chestCT.emphysemaExtent,影像学.胸部CT.肺气肿程度,String,"**建议值**: `轻度(<25%)`, `中度(25-50%)`, `重度(>50%)`",中度(25-50%)
imaging.chestCT.bronchialWallThickening,影像学.胸部CT.支气管壁增厚,String,"**建议值**: `无`, `轻度`, `明显`",明显
imaging.chestCT.airTrapping,影像学.胸部CT.气体陷闭,String,"呼气相气体陷闭。<br>**建议值**: `无`, `局灶性`, `弥漫性`",弥漫性
