Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,胃镜检查日期,检查时间点
Basic_Info,exam_id,检查编号,string,,,,,N,胃镜报告编号,唯一检查标识
Basic_Info,age,年龄,integer,years,0-120,,,N,患者年龄,风险评估
Basic_Info,gender,性别,categorical,,,"Male,Female",,,N,患者性别,疾病差异

Procedure,indication,检查指征,categorical,,,"Screening,Dyspepsia,GERD,Abdominal_Pain,GI_Bleeding,Anemia,Weight_Loss,Surveillance,Follow_Up,Other",,,Y,检查适应证,临床目的
Procedure,endoscopist,内镜医师,string,,,,,N,操作医师姓名,质控
Procedure,sedation,镇静方式,categorical,,,"Conscious_Sedation,Deep_Sedation,General_Anesthesia,None",,,N,镇静类型,舒适化
Procedure,sedation_drug,镇静药物,categorical,,,"Propofol,Midazolam,Fentanyl,Combination,None,Other",,,N,镇静药物种类,麻醉方式
Procedure,scope_type,内镜类型,categorical,,,"Standard,Magnifying,NBI,Chromoendoscopy",,,N,内镜设备,检查技术
Procedure,procedure_completeness,检查完整性,categorical,,,"Complete,Incomplete",,,Y,是否完成,质量指标
Procedure,incomplete_reason,未完成原因,categorical,,,"Patient_Intolerance,Obstruction,Technical_Difficulty,Other,NA",,,N,未完成原因,质量分析
Procedure,bowel_preparation,准备质量,categorical,,,"Excellent,Good,Fair,Poor,NA",,,N,胃肠道准备,视野质量

Esophagus_Anatomy,esophagus_examined,食管检查,categorical,,,"Yes,No",,,Y,是否检查食管,部位完整性
Esophagus_Anatomy,esophagus_normal,食管正常,categorical,,,"Yes,No",,,N,食管是否正常,初步评估
Esophagus_Anatomy,z_line,Z线,categorical,,,"Clear,Irregular,Elevated,Not_Visualized",,,N,齿状线,食管胃交界

Esophagus_Findings,esophagitis,食管炎,categorical,,,"Yes,No",,,N,反流性食管炎,GERD表现
Esophagitis,la_classification,LA分级,categorical,,,"Grade_A,Grade_B,Grade_C,Grade_D,NA",,,N,洛杉矶分级,食管炎严重度
Esophagitis,esophagitis_location,食管炎部位,categorical,,,"Lower_Third,Middle_Third,Upper_Third,Diffuse,NA",,,N,炎症位置,病变范围
Esophagus_Findings,barretts_esophagus,Barrett食管,categorical,,,"Yes,No,Suspected",,,N,Barrett食管,癌前病变
Barretts,barretts_length,Barrett长度,categorical,,,"Short_Segment,Long_Segment,NA",,,N,Barrett长度,<3cm短段>=3cm长段
Barretts,prague_classification,Prague分级,string,,,,,N,Prague C&M,C环形M最大长度
Barretts,dysplasia,异型增生,categorical,,,"High_Grade,Low_Grade,No_Dysplasia,NA",,,N,异型增生,癌变风险
Esophagus_Findings,esophageal_varices,食管静脉曲张,categorical,,,"Yes,No",,,N,食管静脉曲张,门脉高压
Varices,varices_grade,曲张程度,categorical,,,"F1_Small,F2_Medium,F3_Large,NA",,,N,静脉曲张分级,出血风险
Varices,red_color_signs,红色征,categorical,,,"Present,Absent,NA",,,N,红色征,出血高危
Varices,varices_location,曲张部位,categorical,,,"Lower_Esophagus,Mid_Esophagus,Upper_Esophagus,Gastric,NA",,,N,曲张位置,治疗靶点
Esophagus_Findings,esophageal_ulcer,食管溃疡,categorical,,,"Yes,No",,,N,食管溃疡,黏膜损伤
Esophagus_Findings,esophageal_stricture,食管狭窄,categorical,,,"Yes,No",,,N,食管狭窄,梗阻症状
Esophagus_Findings,esophageal_mass,食管肿块,categorical,,,"Yes,No",,,N,食管占位,肿瘤可能
Esophagus_Findings,hiatal_hernia,食管裂孔疝,categorical,,,"Yes,No",,,N,裂孔疝,GERD病因
Hernia,hernia_size,疝囊大小,decimal,cm,0-20,,,N,裂孔疝大小,严重程度

Stomach_Anatomy,stomach_examined,胃检查,categorical,,,"Yes,No",,,Y,是否检查胃,部位完整性
Stomach_Anatomy,cardia,贲门,categorical,,,"Normal,Abnormal,Not_Visualized",,,N,贲门,解剖部位
Stomach_Anatomy,fundus,胃底,categorical,,,"Normal,Abnormal,Not_Visualized",,,N,胃底,解剖部位
Stomach_Anatomy,body,胃体,categorical,,,"Normal,Abnormal,Not_Visualized",,,N,胃体,解剖部位
Stomach_Anatomy,antrum,胃窦,categorical,,,"Normal,Abnormal,Not_Visualized",,,N,胃窦,解剖部位
Stomach_Anatomy,pylorus,幽门,categorical,,,"Normal,Abnormal,Not_Visualized",,,N,幽门,解剖部位
Stomach_Anatomy,incisura_angularis,胃角,categorical,,,"Normal,Abnormal,Not_Visualized",,,N,胃角切迹,解剖标志

Stomach_Findings,gastritis,胃炎,categorical,,,"Yes,No",,,N,胃炎,黏膜炎症
Gastritis,gastritis_type,胃炎类型,categorical,,,"Chronic,Acute,Chronic_Atrophic,Erosive,Hemorrhagic,NA",,,N,胃炎分型,病理类型
Gastritis,gastritis_location,胃炎部位,categorical,,,"Antrum,Body,Fundus,Pangastritis,NA",,,N,胃炎分布,病变范围
Gastritis,atrophy,萎缩,categorical,,,"Mild,Moderate,Severe,None,NA",,,N,黏膜萎缩,癌前病变
Gastritis,intestinal_metaplasia,肠化生,categorical,,,"Yes,No,NA",,,N,肠上皮化生,癌前病变
Gastritis,im_extent,肠化程度,categorical,,,"Focal,Extensive,NA",,,N,肠化范围,癌变风险
Stomach_Findings,gastric_erosion,胃糜烂,categorical,,,"Yes,No",,,N,胃黏膜糜烂,浅表损伤
Erosion,erosion_type,糜烂类型,categorical,,,"Flat,Raised,Complete,Incomplete,NA",,,N,糜烂形态,内镜分型
Erosion,erosion_location,糜烂部位,categorical,,,"Antrum,Body,Fundus,Multiple,NA",,,N,糜烂位置,病变分布
Stomach_Findings,gastric_ulcer,胃溃疡,categorical,,,"Yes,No",,,N,胃溃疡,深达肌层
Ulcer,ulcer_number,溃疡数量,integer,,0-20,,,N,溃疡个数,病变范围
