字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行胰岛素抵抗检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行胰岛素抵抗检查的临床指征。<br>**建议值**: `代谢综合征`, `多囊卵巢综合征`, `糖尿病前期`, `肥胖`, `高胰岛素血症`",代谢综合征
fastingGlucose,空腹血糖,Number,"空腹血糖浓度。<br>单位: mmol/L<br>**参考范围**: 3.9-6.1",5.8
fastingInsulin,空腹胰岛素,Number,"空腹胰岛素水平。<br>单位: mU/L<br>**参考范围**: 2.6-24.9",18.5
homaIR,HOMA-IR指数,Number,"胰岛素抵抗指数。<br>**计算公式**: (空腹胰岛素×空腹血糖)/22.5<br>**参考值**: <2.5",4.7
homaB,HOMA-β指数,Number,"β细胞功能指数。<br>**计算公式**: (20×空腹胰岛素)/(空腹血糖-3.5)<br>**参考值**: >100",120.5
quicki,QUICKI指数,Number,"胰岛素敏感性定量检查指数。<br>**计算公式**: 1/(log空腹胰岛素+log空腹血糖)<br>**参考值**: >0.357",0.325
matsudaIndex,Matsuda指数,Number,"Matsuda胰岛素敏感性指数（需OGTT）。<br>**参考值**: >2.5",1.8
oralGlucoseToleranceTest.glucose0min,OGTT.0分钟血糖,Number,"OGTT基础血糖值。<br>单位: mmol/L",5.8
oralGlucoseToleranceTest.glucose30min,OGTT.30分钟血糖,Number,"OGTT 30分钟血糖值。<br>单位: mmol/L",9.2
oralGlucoseToleranceTest.glucose60min,OGTT.60分钟血糖,Number,"OGTT 60分钟血糖值。<br>单位: mmol/L",10.8
oralGlucoseToleranceTest.glucose120min,OGTT.120分钟血糖,Number,"OGTT 120分钟血糖值。<br>单位: mmol/L",8.5
oralGlucoseToleranceTest.insulin0min,OGTT.0分钟胰岛素,Number,"OGTT基础胰岛素值。<br>单位: mU/L",18.5
oralGlucoseToleranceTest.insulin30min,OGTT.30分钟胰岛素,Number,"OGTT 30分钟胰岛素值。<br>单位: mU/L",85.2
oralGlucoseToleranceTest.insulin60min,OGTT.60分钟胰岛素,Number,"OGTT 60分钟胰岛素值。<br>单位: mU/L",95.8
oralGlucoseToleranceTest.insulin120min,OGTT.120分钟胰岛素,Number,"OGTT 120分钟胰岛素值。<br>单位: mU/L",65.3
insulinSecretionIndex,胰岛素分泌指数,Number,"早期胰岛素分泌指数。<br>**计算公式**: (30分钟胰岛素-基础胰岛素)/(30分钟血糖-基础血糖)",19.8
dispositionIndex,处置指数 (DI),Number,"胰岛素分泌和敏感性综合指数。<br>**计算公式**: 胰岛素分泌指数×胰岛素敏感性指数",950
glucoseEffectivenessIndex,葡萄糖效应指数,Number,"葡萄糖对自身产生抑制的效应",1.8
hyperinsulinemicEuglycemicClamp.glucoseInfusionRate,胰岛素钳夹试验.葡萄糖输注率,Number,"胰岛素钳夹试验的葡萄糖输注率（金标准，如果进行）。<br>单位: mg/kg/min",4.5
hyperinsulinemicEuglycemicClamp.m_value,胰岛素钳夹试验.M值,Number,"胰岛素钳夹试验M值，反映胰岛素敏感性。<br>单位: mg/kg/min",4.5
adiponectin,脂联素,Number,"血清脂联素水平。<br>单位: μg/mL<br>**参考范围**: 5-30",8.5
leptin,瘦素,Number,"血清瘦素水平。<br>单位: ng/mL<br>**参考范围**: 3.7-11.1",15.8
resistin,抵抗素,Number,"血清抵抗素水平。<br>单位: ng/mL<br>**参考范围**: 7-22",18.5
visfatin,内脂素,Number,"血清内脂素水平。<br>单位: ng/mL",12.3
retinolBindingProtein4,视黄醇结合蛋白4,Number,"血清RBP4水平。<br>单位: mg/L<br>**参考范围**: 10-70",35.2
cReactiveProtein,C反应蛋白,Number,"高敏C反应蛋白。<br>单位: mg/L<br>**参考范围**: <3.0",2.8
interleukin6,白介素-6,Number,"血清IL-6水平。<br>单位: pg/mL<br>**参考范围**: <7.0",4.2
tumorNecrosisFactorAlpha,肿瘤坏死因子-α,Number,"血清TNF-α水平。<br>单位: pg/mL<br>**参考范围**: <8.1",6.5
freeThyroxine,游离甲状腺素 (FT4),Number,"游离T4水平。<br>单位: pmol/L<br>**参考范围**: 12-22",16.8
thyroidStimulatingHormone,促甲状腺激素 (TSH),Number,"TSH水平。<br>单位: mU/L<br>**参考范围**: 0.27-4.2",2.8
cortisol,皮质醇,Number,"血清皮质醇水平。<br>单位: nmol/L<br>**参考范围**: 171-536",285
testosterone,睾酮,Number,"血清睾酮水平（男性）。<br>单位: nmol/L<br>**参考范围**: 8.64-29.0",15.2
sexHormoneBindingGlobulin,性激素结合球蛋白 (SHBG),Number,"SHBG水平。<br>单位: nmol/L<br>**参考范围**: 男性16-55，女性26-110",35.8
freeAndrogens,游离雄激素指数,Number,"游离雄激素指数。<br>**计算公式**: 总睾酮/SHBG×100",42.5
dheas,硫酸脱氢表雄酮 (DHEA-S),Number,"DHEA-S水平。<br>单位: μmol/L<br>**参考范围**: 年龄相关",4.5
androstenedione,雄烯二酮,Number,"血清雄烯二酮水平。<br>单位: nmol/L<br>**参考范围**: 性别年龄相关",8.2
luteinizingHormone,黄体生成素 (LH),Number,"LH水平。<br>单位: IU/L<br>**参考范围**: 周期相关",6.8
follicleStimulatingHormone,促卵泡刺激素 (FSH),Number,"FSH水平。<br>单位: IU/L<br>**参考范围**: 周期相关",5.2
prolactin,催乳素 (PRL),Number,"催乳素水平。<br>单位: μg/L<br>**参考范围**: 4.79-23.3",12.5
metabolicSyndrome.criteria,代谢综合征.诊断标准,String,"使用的代谢综合征诊断标准。<br>**建议值**: `IDF`, `NCEP ATP III`, `WHO`, `CDS`",IDF
metabolicSyndrome.components,代谢综合征.组分数量,Number,"符合代谢综合征的组分数量。<br>**范围**: 0-5",3
centralObesity,中心性肥胖,String,"是否存在中心性肥胖。<br>**建议值**: `否`, `是`",是
waistCircumference,腰围,Number,"腰围测量。<br>单位: cm<br>**标准**: 男性≥90，女性≥85",95
bodyMassIndex,体质指数 (BMI),Number,"体质指数。<br>单位: kg/m²",28.5
bodyFatPercentage,体脂百分比,Number,"体脂肪百分比。<br>单位: %",32.5
visceralFatArea,内脏脂肪面积,Number,"内脏脂肪面积（如果测量）。<br>单位: cm²",150
systolicBloodPressure,收缩压,Number,"收缩压。<br>单位: mmHg<br>**代谢综合征标准**: ≥130",135
diastolicBloodPressure,舒张压,Number,"舒张压。<br>单位: mmHg<br>**代谢综合征标准**: ≥85",88
totalCholesterol,总胆固醇,Number,"总胆固醇。<br>单位: mmol/L",5.8
