字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,PC20250312001
diagnosisDate,确诊日期,Date,胰腺癌确诊日期,2025-03-12
age,年龄,Number,确诊时年龄(岁),65
gender,性别,String,患者性别,男

# 临床表现
symptoms.jaundice,症状.黄疸,Boolean,"**胰头癌**: 70-80%出现黄疸<br>**胰体尾癌**: 少见(<10%)",true
symptoms.jaundice.onset,症状.黄疸.发生时间,String,"**进行性加重**: 提示胆管梗阻<br>**波动性**: 壶腹周围癌可能",进行性加重
symptoms.pain,症状.腹痛,Boolean,"**钝痛/绞痛**: 60-80%患者主诉<br>**夜间加重**: 提示后腹膜侵犯",true
symptoms.pain.location,症状.腹痛.部位,String,"**上腹部/左上腹**: 胰体尾癌<br>**右上腹**: 胰头癌<br>**腰背部**: 腹膜后侵犯",上腹部放射至腰背部
symptoms.pain.courvoisier,症状.Courvoisier征,Boolean,"**阳性**: 无痛性黄疸+胆囊肿大,提示胰头癌可能",true
symptoms.weightLoss,症状.体重下降,Boolean,"**>10%体重下降**: 80%患者出现<br>**提示**: 肿瘤消耗+食欲减退",true
symptoms.weightLoss.amount,症状.体重下降.数值,Number,3个月内体重下降百分比(%),15
symptoms.diabetes.newOnset,症状.新发糖尿病,Boolean,"**新发DM**: 40-50%胰腺癌患者<br>**血糖突然难控**: 警惕胰腺癌可能",true
symptoms.steatorrhea,症状.脂肪泻,Boolean,"**外分泌功能不全**: 胰酶分泌减少<br>**表现**: 大便油腻、恶臭",false
symptoms.thrombosis,症状.游走性血栓,Boolean,"**Trousseau综合征**: 胰腺癌相关高凝状态<br>**DVT/肺栓塞**: 提示预后不良",false

# 肿瘤部位与大小
tumor.location,肿瘤.部位,String,"**胰头**: 60-70%(最常见)<br>**胰体**: 15-20%<br>**胰尾**: 5-10%<br>**弥漫**: 5-10%",胰头
tumor.size,肿瘤.最大径,Number,肿瘤最大直径(cm),3.5
tumor.histology,肿瘤.组织学类型,String,"**导管腺癌**: 85-90%(最常见)<br>**腺泡细胞癌**: 1-2%<br>**神经内分泌肿瘤**: 5%<br>**囊腺癌**: 1-2%",导管腺癌
tumor.differentiation,肿瘤.分化程度,String,"**高分化**: 预后相对较好<br>**中分化**: 最常见<br>**低分化**: 预后差",中分化

# 肿瘤标志物
tumorMarkers.ca199,肿瘤标志物.CA19-9,Number,"CA19-9水平(U/mL)。<br>**正常值**: <37 U/mL<br>**>1000**: 提示不可切除/转移<br>**敏感性**: 79%,特异性82%",850
tumorMarkers.ca199.postTreatment,肿瘤标志物.CA19-9治疗后,Number,"**下降>50%**: 化疗有效<br>**持续升高**: 疾病进展",320
tumorMarkers.cea,肿瘤标志物.CEA,Number,"CEA水平(ng/mL)。<br>**正常值**: <5 ng/mL<br>**辅助指标**: 与CA19-9联合提高诊断率",12
tumorMarkers.ca125,肿瘤标志物.CA125,Number,CA125水平(U/mL),正常值<35,45

# 影像学检查
imaging.ct.performed,影像学.CT.是否完成,Boolean,"**增强CT**: 胰腺癌诊断金标准<br>**胰腺专用方案**: 动脉期+静脉期+延迟期",true
imaging.ct.tumorEnhancement,影像学.CT.肿瘤强化,String,"**低强化肿块**: 典型表现<br>**边界不清**: 侵犯周围组织",低强化结节,边界不清
imaging.ct.pancreaticDuct,影像学.CT.胰管扩张,Boolean,"**主胰管>3mm**: 异常扩张<br>**截断征**: 肿瘤阻塞胰管",true
imaging.ct.pancreaticDuct.diameter,影像学.CT.胰管直径,Number,主胰管最大直径(mm),6
imaging.ct.bileDuct,影像学.CT.胆管扩张,Boolean,"**胆总管>8mm**: 异常扩张<br>**双管征**: 胰管+胆管同时扩张",true
imaging.ct.bileDuct.diameter,影像学.CT.胆管直径,Number,胆总管直径(mm),12
imaging.ct.vascularInvolvement,影像学.CT.血管侵犯,String,"**门静脉/肠系膜上静脉**: 评估可切除性<br>**肝动脉/腹腔干**: 局部晚期<br>**包绕>180°**: 不可切除",肠系膜上静脉部分包绕<180°

imaging.mri.performed,影像学.MRI/MRCP.是否完成,Boolean,"**MRCP**: 评估胆胰管系统<br>**DWI**: 检出小病灶<br>**肝脏转移**: MRI优于CT",true
imaging.mri.findings,影像学.MRI.主要发现,String,MRI/MRCP关键影像学表现,T1低信号T2稍高信号肿块,DWI高信号

imaging.eus.performed,影像学.EUS.是否完成,Boolean,"**超声内镜**: 检出<2cm病灶<br>**敏感性**: 94%<br>**可行EUS-FNA活检**",true
imaging.eus.tumorSize,影像学.EUS.肿瘤大小,Number,EUS测量肿瘤直径(cm),2.8
imaging.eus.fna,影像学.EUS-FNA.活检,Boolean,"**细针穿刺活检**: 获取病理诊断<br>**准确率**: 85-95%",true
imaging.eus.fna.result,影像学.EUS-FNA.病理结果,String,穿刺活检病理诊断,腺癌

imaging.petct.performed,影像学.PET-CT.是否完成,Boolean,"**检测远处转移**: 敏感性高<br>**SUVmax**: 评估肿瘤活性<br>**不常规推荐**: 昂贵,假阳性率高",false
imaging.petct.suvmax,影像学.PET-CT.SUVmax,Number,"SUV最大值。<br>**>2.5**: 提示恶性<br>**>5**: 高度恶性",6.8

# TNM分期 (AJCC 8th Edition)
staging.t,分期.T分期,String,"**T1**: ≤2cm,局限胰腺内<br>**T2**: 2-4cm<br>**T3**: >4cm<br>**T4**: 侵犯腹腔干/肠系膜上动脉(不可切除)",T2
staging.n,分期.N分期,String,"**N0**: 无淋巴结转移<br>**N1**: 1-3个区域淋巴结<br>**N2**: ≥4个区域淋巴结",N1
staging.n.number,分期.淋巴结.转移数量,Number,区域淋巴结转移个数,2
staging.m,分期.M分期,String,"**M0**: 无远处转移<br>**M1**: 远处转移(肝、肺、腹膜)",M0
