字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行心律失常检查的日期,2025-08-15
diagnosisDate,初诊日期,String,首次诊断心律失常的日期,2024-10-20
arrhythmiaType,心律失常类型,String,"心律失常类型。<br>**建议值**: `心房颤动`, `心房扑动`, `室性早搏`, `房性早搏`, `室性心动过速`, `室上性心动过速`, `窦性心动过缓`, `窦性心动过速`, `房室传导阻滞`, `病态窦房结综合征`, `预激综合征`, `多种心律失常`",心房颤动

# 症状
symptoms.palpitations,症状.心悸,String,"心悸症状。<br>**建议值**: `无`, `偶发`, `频发`, `持续性`",频发
symptoms.dizziness,症状.头晕,String,"头晕症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度(晕厥前兆)`",轻度
symptoms.syncope,症状.晕厥,String,"晕厥史。<br>**建议值`: `无`, `1次`, `2-3次`, `>3次`, `近期发作`<br>**警示**: 恶性心律失常征象",无
symptoms.chestPain,症状.胸痛,String,"胸痛症状。<br>**建议值**: `无`, `轻度`, `心绞痛样`, `典型心绞痛`",无
symptoms.dyspnea,症状.呼吸困难,String,"呼吸困难。<br>**建议值**: `无`, `活动后`, `静息时`, `夜间阵发性`<br>**快速房颤**: 可致心功能不全",活动后
symptoms.fatigue,症状.乏力,String,"乏力症状。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
symptoms.asymptomatic,症状.无症状,String,"是否无症状(体检发现)。<br>**建议值**: `否`, `是`",否

# 心电图检查
ecg.heartRate,心电图.心率,Number,"心率。<br>单位: 次/分<br>**正常**: 60-100<br>**心动过缓**: <60<br>**心动过速**: >100",98
ecg.rhythm,心电图.心律,String,"心律。<br>**建议值**: `窦性心律`, `心房颤动`, `心房扑动`, `交界性心律`, `室性心律`, `心房起搏`, `心室起搏`, `其他`",心房颤动
ecg.prInterval,心电图.PR间期,Number,"PR间期。<br>单位: ms<br>**正常**: 120-200ms<br>**一度AVB**: >200ms<br>**预激综合征**: <120ms",未测(房颤无P波)
ecg.qrsDuration,心电图.QRS时限,Number,"QRS波时限。<br>单位: ms<br>**正常**: <120ms<br>**束支传导阻滞**: ≥120ms",95
ecg.qtInterval,心电图.QT间期,Number,"QT间期。<br>单位: ms",380
ecg.qtc,心电图.校正QT间期,Number,"校正QT间期(QTc)。<br>单位: ms<br>**正常**: 男<450ms, 女<470ms<br>**长QT综合征**: 男>450, 女>470<br>**短QT**: <340ms",425

# 房颤特异性评估
