字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,CRC20250318001
diagnosisDate,确诊日期,Date,结直肠癌确诊日期,2025-03-18
age,年龄,Number,确诊时年龄(岁),58
gender,性别,String,患者性别,男

# 临床表现
symptoms.rectalBleeding,症状.便血,Boolean,"**鲜血便**: 直肠癌、左半结肠癌<br>**暗红血便**: 右半结肠癌<br>**60-80%患者**: 出现便血",true
symptoms.changeInBowel,症状.排便习惯改变,Boolean,"**便秘/腹泻交替**: 左半结肠癌<br>**大便变细**: 直肠癌<br>**里急后重**: 直肠癌",true
symptoms.abdominalPain,症状.腹痛,Boolean,"**右下腹痛**: 盲肠癌<br>**左下腹痛**: 乙状结肠癌<br>**持续性疼痛**: 晚期浸润",true
symptoms.abdominalMass,症状.腹部包块,Boolean,"**右半结肠癌**: 可触及包块<br>**晚期**: 肿块固定",false
symptoms.weightLoss,症状.体重下降,Boolean,"**>5kg/3月**: 提示进展期<br>**50-60%患者**: 体重下降",true
symptoms.weightLoss.amount,症状.体重下降.数值,Number,3个月内体重下降(kg),7
symptoms.anemia,症状.贫血,Boolean,"**慢性失血**: 缺铁性贫血<br>**右半结肠癌**: 常见",true
symptoms.obstruction,症状.肠梗阻,Boolean,"**左半结肠癌**: 梗阻常见<br>**急性梗阻**: 需紧急处理",false
symptoms.tenesmus,症状.里急后重,Boolean,"**直肠癌**: 特征性症状<br>**肿瘤刺激**: 排便不尽感",false

# 肿瘤部位
tumor.location,肿瘤.部位,String,"**直肠**: 35-40%<br>**乙状结肠**: 25-30%<br>**升结肠**: 15-20%<br>**横结肠**: 5-10%<br>**降结肠**: 5%<br>**盲肠**: 5-10%",直肠
tumor.location.rectum,肿瘤.直肠癌.距肛缘距离,Number,"**低位直肠癌**: <5cm,需保肛评估<br>**中位直肠癌**: 5-10cm<br>**高位直肠癌**: >10cm",6
tumor.size,肿瘤.最大径,Number,肿瘤最大直径(cm),4.5
tumor.circumference,肿瘤.肠周浸润,String,"**<1/2周径**: 局部浸润<br>**≥1/2周径**: 环周浸润<br>**全周**: 狭窄梗阻",1/2周径

# 病理分型
pathology.histology,病理.组织学类型,String,"**腺癌**: 90-95%(最常见)<br>**黏液腺癌**: 10-15%<br>**印戒细胞癌**: 1-2%<br>**未分化癌**: <1%",中分化腺癌
pathology.differentiation,病理.分化程度,String,"**高分化**: 预后好<br>**中分化**: 最常见<br>**低分化**: 预后差",中分化
