Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Basic_Info,Patient_Info,patient_id,患者ID,String,,,,,Patient unique identifier,,,Low,,,"Unique patient identifier"
Basic_Info,Patient_Info,exam_date,检查日期,Date,,,,,Date of brain MRI examination,,,Low,,,"Format: YYYY-MM-DD"
Basic_Info,Patient_Info,patient_age,患者年龄,Integer,years,0-120,,,"Age at examination, affects interpretation",,,Low,,,"Age-related changes common in elderly"
Basic_Info,Patient_Info,patient_gender,患者性别,Categorical,,Male/Female,,,"Gender for reference",,,Low,,,"Male/Female"
Basic_Info,Exam_Info,indication,检查适应症,String,,,,,Reason for brain MRI,,,Low,,,Headache/stroke/tumor/seizure/dementia
Basic_Info,Exam_Info,contrast_used,使用对比剂,Boolean,,Yes/No,No,,"Whether gadolinium contrast was administered",,,Low,,,Enhances tumor/inflammation detection
Basic_Info,Exam_Info,mri_field_strength,磁场强度,Categorical,,"1.5T/3.0T/7.0T",,,"MRI scanner field strength","Higher field: better resolution, longer scan time",,Low,,,Most clinical scans 1.5T or 3.0T
Basic_Info,Exam_Info,sequences_performed,扫描序列,String,,,,,MRI sequences acquired,"T1, T2, FLAIR, DWI, SWI, MRA, etc.",,Low,,,Protocol varies by indication

Brain_Parenchyma,General,brain_volume,脑体积,Categorical,,"Normal/Mildly_decreased/Moderately_decreased/Severely_decreased",Normal,Decreased,"Overall brain volume assessment","Age-related atrophy expected >60 years",Cerebral_Atrophy,Low,Correlate with cognition if severe,,"Atrophy common in dementia"
Brain_Parenchyma,General,atrophy_pattern,萎萎缩模式,Categorical,,"None/Generalized/Focal/Cortical/Subcortical",None,Any,"Pattern of brain atrophy","Generalized: aging/AD; Focal: FTD/stroke; Subcortical: vascular",Dementia,Medium,Guides dementia subtype,,"Pattern helps differential diagnosis"
Brain_Parenchyma,General,cortical_atrophy,皮层萎缩,Categorical,,"None/Mild/Moderate/Severe",None,Moderate/Severe,"Cerebral cortex atrophy","Prominent in Alzheimer's disease, temporal/parietal",Alzheimers_Disease,Medium,Neuropsychological testing,,"Medial temporal atrophy typical of AD"
Brain_Parenchyma,General,white_matter_volume,白质体积,Categorical,,"Normal/Decreased",Normal,Decreased,"White matter volume reduction","Loss suggests demyelination or small vessel disease",Leukoencephalopathy,Medium,Correlate with symptoms,,

White_Matter,Hyperintensities,wmh_present,白质高信号存在,Boolean,,Yes/No,No,Yes,"White matter hyperintensities on T2/FLAIR","Common in elderly, vascular disease, hypertension",Small_Vessel_Disease,Medium,Risk factor control,,"Fazekas scale for grading"
White_Matter,Hyperintensities,wmh_severity,白质高信号严重程度,Categorical,,"None/Mild/Moderate/Severe",None/Mild,Moderate/Severe,"Severity of WMH burden (Fazekas scale)","Mild: dots; Moderate: coalescing; Severe: confluent",Cerebrovascular_Disease,Medium,Control vascular risk factors,,"Fazekas 0-3 scale widely used"
White_Matter,Hyperintensities,wmh_distribution,白质高信号分布,Categorical,,"None/Periventricular/Deep/Both",None,Both,"Distribution of WMH","Periventricular: more specific for SVD; Deep: nonspecific",Small_Vessel_Disease,Medium,,,
White_Matter,Hyperintensities,periventricular_wmh,脑室周围白质高信号,Categorical,,"None/Caps/Halo/Irregular/Confluent",None,Irregular/Confluent,"Periventricular WMH (Fazekas PV score 0-3)","Grade 3 (irregular/confluent): advanced SVD",Vascular_Dementia,Medium,Associated with cognitive decline,,"Strong association with dementia"
White_Matter,Hyperintensities,deep_wmh,深部白质高信号,Categorical,,"None/Punctate/Coalescing/Confluent",None,Coalescing/Confluent,"Deep WMH (Fazekas deep score 0-3)","Grade 3 (confluent): severe burden",Small_Vessel_Disease,Medium,,,
