字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行眼底检查的日期,2025-08-15
leftEye.opticDiscColor,左眼检查.视盘颜色,String,"左眼眼底检查的详细信息。视盘的颜色描述。<br>**建议值**: `正常`, `淡红`, `红黄`, `苍白`, `颞侧苍白`",红黄
leftEye.opticDiscMargin,左眼检查.视盘边界,String,"左眼眼底检查的详细信息。视盘的边界描述。<br>**建议值**: `清`, `模糊`",清
leftEye.cupDiscRatio.value,左眼检查.杯盘比.值,Number,左眼眼底检查的详细信息。视盘杯盘比。测量数值,0.3
leftEye.cupDiscRatio.unit,左眼检查.杯盘比.单位,String,左眼眼底检查的详细信息。视盘杯盘比。测量单位,比值
leftEye.opticDiscEdema,左眼检查.视盘水肿,String,"左眼眼底检查的详细信息。视盘是否存在水肿。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
leftEye.opticDiscHemorrhage,左眼检查.视盘出血,String,"左眼眼底检查的详细信息。视盘是否存在出血。<br>**建议值**: `无`, `有`",无
leftEye.macularEdema.present,左眼检查.黄斑水肿.是否存在,String,"左眼眼底检查的详细信息。黄斑水肿的详细信息。是否存在黄斑水肿。<br>**建议值**: `无`, `有`",有
leftEye.macularEdema.centralInvolvement,左眼检查.黄斑水肿.累及中心凹,String,"左眼眼底检查的详细信息。黄斑水肿的详细信息。黄斑水肿是否累及中心凹。<br>**建议值**: `否`, `是`",是
leftEye.macularEdema.hardExudates,左眼检查.黄斑水肿.硬性渗出,String,"左眼眼底检查的详细信息。黄斑水肿的详细信息。黄斑区是否存在硬性渗出。<br>**建议值**: `否`, `是`",是
leftEye.macularHemorrhage,左眼检查.黄斑出血,String,"左眼眼底检查的详细信息。黄斑是否存在出血。<br>**建议值**: `无`, `有`",无
leftEye.macularDrusen,左眼检查.黄斑玻璃膜疣,String,"左眼眼底检查的详细信息。黄斑是否存在玻璃膜疣。<br>**建议值**: `无`, `有`",无
leftEye.macularExudates.present,左眼检查.黄斑渗出.是否存在,String,"左眼眼底检查的详细信息。黄斑渗出的详细信息。是否存在视网膜渗出。<br>**建议值**: `无`, `有`",有
leftEye.macularExudates.type,左眼检查.黄斑渗出.类型,String,"左眼眼底检查的详细信息。黄斑渗出的详细信息。渗出类型。<br>**建议值**: `硬性渗出`, `软性渗出`",硬性渗出
leftEye.macularExudates.count,左眼检查.黄斑渗出.数量,Number,左眼眼底检查的详细信息。黄斑渗出的详细信息。渗出数量（如果可计数）,3
leftEye.macularExudates.location,左眼检查.黄斑渗出.位置,String,"左眼眼底检查的详细信息。黄斑渗出的详细信息。渗出位置。<br>**建议值**: `鼻上`, `鼻下`, `颞上`, `颞下`, `黄斑区`",颞下
leftEye.retinalVesselAVRatio,左眼检查.视网膜血管动脉/静脉比,String,左眼眼底检查的详细信息。视网膜动脉与静脉的直径比,2:3
leftEye.retinalVesselNarrowing,左眼检查.视网膜血管狭窄,String,"左眼眼底检查的详细信息。视网膜血管是否存在狭窄。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
