字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,GC20250315001
diagnosisDate,确诊日期,Date,胃癌确诊日期,2025-03-15
age,年龄,Number,确诊时年龄(岁),62
gender,性别,String,患者性别,男

# 临床表现
symptoms.epigastricPain,症状.上腹痛,Boolean,"**早期**: 隐痛或不适<br>**进展期**: 持续性疼痛<br>**60-80%患者**: 主要症状",true
symptoms.weightLoss,症状.体重下降,Boolean,"**显著体重下降**: >5kg/3月<br>**60%患者**: 出现营养不良",true
symptoms.weightLoss.amount,症状.体重下降.数值,Number,3个月内体重下降(kg),8
symptoms.anorexia,症状.食欲减退,Boolean,"**早期预警**: 食欲不振<br>**厌食肉类**: 胃癌特征表现",true
symptoms.nausea,症状.恶心,Boolean,"**幽门梗阻**: 餐后恶心<br>**贲门癌**: 进食困难",true
symptoms.vomiting,症状.呕吐,Boolean,"**幽门梗阻**: 呕吐宿食<br>**胃排空障碍**: 频繁呕吐",false
symptoms.dysphagia,症状.吞咽困难,Boolean,"**贲门癌**: 进行性吞咽困难<br>**食管胃交界癌**: 常见",false
symptoms.hematemesis,症状.呕血,Boolean,"**肿瘤出血**: 呕吐咖啡样物或鲜血<br>**急性出血**: 需紧急处理",false
symptoms.melena,症状.黑便,Boolean,"**慢性失血**: 柏油样便<br>**提示**: 肿瘤糜烂出血",true
symptoms.earlySatiety,症状.早饱,Boolean,"**胃容积减小**: 少量进食即饱胀<br>**弥漫浸润型**: 常见",true

# 肿瘤部位
tumor.location.primary,肿瘤.部位.主要部位,String,"**胃窦**: 40-50%(最常见)<br>**胃体**: 30-40%<br>**贲门/胃底**: 15-25%<br>**全胃**: 5-10%",胃窦部
tumor.location.borrmann,肿瘤.Borrmann分型,String,"**I型**: 息肉样,预后好<br>**II型**: 溃疡局限型<br>**III型**: 溃疡浸润型(最常见)<br>**IV型**: 弥漫浸润型(革囊胃),预后差",III型
tumor.size,肿瘤.最大径,Number,肿瘤最大直径(cm),5.5

# 病理分型
pathology.lauren,病理.Lauren分型,String,"**肠型**: 分化好,预后较好,与HP相关<br>**弥漫型**: 印戒细胞癌,侵袭性强,预后差<br>**混合型**: 两者兼有",肠型
pathology.histology,病理.组织学类型,String,"**腺癌**: 90-95%(最常见)<br>**印戒细胞癌**: 10-15%<br>**未分化癌**: 5%<br>**腺鳞癌**: 罕见",中分化腺癌
pathology.differentiation,病理.分化程度,String,"**高分化**: 预后好<br>**中分化**: 最常见<br>**低分化/未分化**: 预后差",中分化
pathology.signetRing,病理.印戒细胞成分,Boolean,"**>50%印戒细胞**: 印戒细胞癌<br>**年轻女性**: 多见<br>**预后**: 较差",false
pathology.her2,病理.HER2状态,String,"**HER2阳性**: IHC 3+或FISH阳性<br>**15-20%胃癌**: HER2阳性<br>**靶向治疗**: 曲妥珠单抗适应证",阴性

# 内镜检查
endoscopy.performed,内镜.胃镜检查,Boolean,"**确诊金标准**: 胃镜+活检<br>**早期诊断**: 内镜筛查",true
endoscopy.findings,内镜.内镜下表现,String,"**早期**: 平坦型、凹陷型、隆起型<br>**进展期**: 溃疡、肿块、狭窄",胃窦部不规则溃疡,边缘隆起
endoscopy.biopsy,内镜.活检,Boolean,"**多点活检**: 提高阳性率<br>**建议**: ≥6个活检点",true
endoscopy.biopsy.result,内镜.活检结果,String,活检病理诊断,中分化腺癌

# 影像学检查
imaging.ct.performed,影像学.增强CT.是否完成,Boolean,"**TNM分期**: CT评估<br>**三期扫描**: 动脉期+静脉期+延迟期",true
imaging.ct.wallThickness,影像学.CT.胃壁增厚,Number,胃壁最厚处(mm),正常<5mm,12
imaging.ct.lymphNodes,影像学.CT.淋巴结,String,"**>1cm**: 可疑转移<br>**位置**: 胃周、腹膜后、腹腔干周围",胃小弯侧多发肿大淋巴结
imaging.ct.metastasis,影像学.CT.远处转移,String,"**肝转移**: 最常见<br>**腹膜**: 种植转移<br>**肺**: 血行转移",无远处转移
imaging.ct.ascites,影像学.CT.腹水,Boolean,"**癌性腹水**: 腹膜转移<br>**预后**: 提示晚期",false

imaging.eus.performed,影像学.超声内镜.是否完成,Boolean,"**T分期**: 评估浸润深度<br>**N分期**: 胃周淋巴结<br>**准确率**: T分期85%,N分期75%",true
imaging.eus.tStage,影像学.EUS.T分期,String,"**T1a**: 黏膜层<br>**T1b**: 黏膜下层<br>**T2**: 固有肌层<br>**T3**: 浆膜下<br>**T4**: 穿透浆膜",T3
imaging.eus.lymphNodes,影像学.EUS.淋巴结,String,EUS评估淋巴结转移情况,胃周多个可疑淋巴结

imaging.petct.performed,影像学.PET-CT.是否完成,Boolean,"**检测转移**: 敏感性高<br>**弥漫型**: 假阴性率高<br>**不常规推荐**: 昂贵",false
imaging.petct.suvmax,影像学.PET-CT.SUVmax,Number,"SUV最大值。<br>**>2.5**: 提示恶性<br>**肠型>弥漫型**: SUV摄取",7.2

# TNM分期 (AJCC 8th Edition)
staging.t,分期.T分期,String,"**T1a**: 黏膜层<br>**T1b**: 黏膜下层<br>**T2**: 固有肌层<br>**T3**: 浆膜下<br>**T4a**: 穿透浆膜<br>**T4b**: 侵犯邻近器官",T3
staging.n,分期.N分期,String,"**N0**: 无淋巴结转移<br>**N1**: 1-2个<br>**N2**: 3-6个<br>**N3a**: 7-15个<br>**N3b**: ≥16个",N2
staging.n.number,分期.淋巴结.转移数量,Number,区域淋巴结转移个数,5
staging.m,分期.M分期,String,"**M0**: 无远处转移<br>**M1**: 远处转移(肝、肺、腹膜、远处淋巴结)",M0
staging.tnm,分期.TNM综合分期,String,"**IA**: T1N0M0,5年生存率>90%<br>**IB**: T2N0M0<br>**II**: T3N0-N1<br>**III**: T4或N2-N3<br>**IV**: M1,5年生存率<5%",IIIB期(T3N2M0)

# 治疗方案
treatment.surgery.performed,治疗.手术.是否实施,Boolean,"**根治性手术**: 唯一治愈手段<br>**可切除率**: 40-50%",true
treatment.surgery.type,治疗.手术.术式,String,"**远端胃大部切除**: 胃窦癌<br>**全胃切除**: 胃体/贲门癌<br>**近端胃切除**: 贲门癌<br>**D2淋巴结清扫**: 标准术式",远端胃大部切除+D2淋巴结清扫
treatment.surgery.date,治疗.手术.日期,Date,手术实施日期,2025-04-20
treatment.surgery.margin,治疗.手术.切缘状态,String,"**R0**: 切缘阴性,预后最好<br>**R1**: 镜下阳性<br>**R2**: 肉眼阳性",R0切除
treatment.surgery.lymphNodes,治疗.手术.淋巴结清扫数,Number,"**D2淋巴结清扫**: 建议≥15个<br>**清扫数量**: 影响分期准确性和预后",22
