Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,结肠镜检查日期,检查时间点
Basic_Info,exam_id,检查编号,string,,,,,N,肠镜报告编号,唯一检查标识
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,筛查年龄
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,结直肠癌风险

Procedure,indication,检查指征,categorical,,,"Screening,Diagnostic,Surveillance,Symptoms,GI_Bleeding,Anemia,Diarrhea,Constipation,Abdominal_Pain,IBD_Monitoring,Polyp_Follow_Up,Family_History,Other",,,Y,检查适应证,临床目的
Procedure,screening_category,筛查类别,categorical,,,"Average_Risk,High_Risk,Family_History,IBD,Previous_Polyp,NA",,,N,筛查风险分层,筛查策略
Procedure,endoscopist,内镜医师,string,,,,,N,操作医师姓名,质控
Procedure,fellows_involvement,进修医师参与,categorical,,,"Yes,No",,,N,是否有学员参与,教学因素
Procedure,sedation,镇静方式,categorical,,,"Conscious_Sedation,Deep_Sedation,General_Anesthesia,None",,,Y,镇静类型,舒适化
Procedure,sedation_drug,镇静药物,categorical,,,"Propofol,Midazolam,Fentanyl,Combination,None,Other",,,N,镇静药物种类,麻醉方式
Procedure,scope_type,内镜类型,categorical,,,"Standard,Pediatric,Magnifying,NBI,Chromoendoscopy",,,N,肠镜设备,检查技术

Cecal_Intubation,cecum_reached,到达回盲部,categorical,,,"Yes,No",,,Y,是否到盲肠,完整性核心
Cecal_Intubation,cecal_landmark,盲肠标志,categorical,,,"Ileocecal_Valve,Appendiceal_Orifice,Both,None",,,N,盲肠解剖标志,到盲证据
Cecal_Intubation,cecal_intubation_time,进镜时间,integer,minutes,0-120,,,N,到达盲肠时间,操作难度
Cecal_Intubation,incomplete_reason,未到盲原因,categorical,,,"Poor_Preparation,Severe_Diverticulosis,Stricture,Obstructing_Mass,Angulation,Patient_Intolerance,Technical_Difficulty,Other,NA",,,N,未完成原因,质量分析

Bowel_Preparation,prep_quality,肠道准备质量,categorical,,,"Excellent,Good,Adequate,Inadequate,Poor",,,Y,肠道清洁度,质控核心
Bowel_Preparation,bbps_score,BBPS评分,integer,,0-9,,,N,Boston评分,标准化评估
Bowel_Preparation,bbps_right,BBPS右半结肠,integer,,0-3,,,N,右侧BBPS,分段评分
Bowel_Preparation,bbps_transverse,BBPS横结肠,integer,,0-3,,,N,横结肠BBPS,分段评分
Bowel_Preparation,bbps_left,BBPS左半结肠,integer,,0-3,,,N,左侧BBPS,分段评分
Bowel_Preparation,prep_agent,肠道准备药物,categorical,,,"PEG,Sodium_Picosulfate,Magnesium_Citrate,Other",,,N,泻药种类,准备方案

Terminal_Ileum,ileum_intubated,回肠插入,categorical,,,"Yes,No,Attempted",,,N,是否进入回肠,回肠检查
Terminal_Ileum,ileum_depth,回肠深度,decimal,cm,0-50,,,N,回肠插入深度,检查范围
Terminal_Ileum,ileum_findings,回肠发现,categorical,,,"Normal,Ileitis,Ulcer,Mass,Other,NA",,,N,回肠病变,IBD/小肠疾病

Colon_Anatomy,rectum,直肠,categorical,,,"Normal,Abnormal,Not_Visualized",,,Y,直肠,解剖部位
Colon_Anatomy,sigmoid,乙状结肠,categorical,,,"Normal,Abnormal,Not_Visualized",,,Y,乙状结肠,解剖部位
Colon_Anatomy,descending,降结肠,categorical,,,"Normal,Abnormal,Not_Visualized",,,Y,降结肠,解剖部位
Colon_Anatomy,splenic_flexure,脾曲,categorical,,,"Normal,Abnormal,Not_Visualized",,,Y,脾曲,解剖部位
Colon_Anatomy,transverse,横结肠,categorical,,,"Normal,Abnormal,Not_Visualized",,,Y,横结肠,解剖部位
Colon_Anatomy,hepatic_flexure,肝曲,categorical,,,"Normal,Abnormal,Not_Visualized",,,Y,肝曲,解剖部位
Colon_Anatomy,ascending,升结肠,categorical,,,"Normal,Abnormal,Not_Visualized",,,Y,升结肠,解剖部位
Colon_Anatomy,cecum,盲肠,categorical,,,"Normal,Abnormal,Not_Visualized",,,Y,盲肠,解剖部位

Polyp_Detection,polyps_found,发现息肉,categorical,,,"Yes,No",,,Y,是否有息肉,筛查关键
Polyp_Detection,total_polyps,息肉总数,integer,,0-100,,,N,息肉总数量,腺瘤检出率
Polyp_Detection,adenoma_detected,腺瘤检出,categorical,,,"Yes,No,Unknown",,,N,是否检出腺瘤,ADR指标
Polyp_Detection,adenoma_number,腺瘤数量,integer,,0-100,,,N,腺瘤个数,高危腺瘤

Polyp_Characteristics,polyp_1_location,息肉1部位,categorical,,,"Cecum,Ascending,Hepatic_Flexure,Transverse,Splenic_Flexure,Descending,Sigmoid,Rectum,Multiple,NA",,,N,息肉位置,定位
Polyp_Characteristics,polyp_1_size,息肉1大小,decimal,mm,0-100,,,N,息肉最大径,≥10mm进展期
Polyp_Characteristics,polyp_1_morphology,息肉1形态,categorical,,,"Pedunculated,Sessile,Flat,Depressed,NA",,,N,Paris分型,切除方式
Polyp_Characteristics,polyp_1_paris,息肉1Paris分型,categorical,,,"Ip,Isp,Is,IIa,IIb,IIc,III,NA",,,N,Paris详细分型,表面形态
Polyp_Characteristics,polyp_1_histology,息肉1病理,categorical,,,"Tubular_Adenoma,Tubulovillous_Adenoma,Villous_Adenoma,Serrated,Hyperplastic,SSA_P,TSA,Inflammatory,Hamartomatous,Carcinoma,Pending,NA",,,N,组织学类型,癌变风险
Polyp_Characteristics,polyp_1_dysplasia,息肉1异型增生,categorical,,,"Low_Grade,High_Grade,None,Pending,NA",,,N,异型增生程度,癌前病变
Polyp_Characteristics,polyp_1_removed,息肉1切除,categorical,,,"Yes,No,Partial,NA",,,N,是否切除,治疗完成

Polyp_Characteristics,polyp_2_location,息肉2部位,categorical,,,"Cecum,Ascending,Hepatic_Flexure,Transverse,Splenic_Flexure,Descending,Sigmoid,Rectum,NA",,,N,息肉2位置,多发息肉
Polyp_Characteristics,polyp_2_size,息肉2大小,decimal,mm,0-100,,,N,息肉2大小,评估
Polyp_Characteristics,polyp_2_morphology,息肉2形态,categorical,,,"Pedunculated,Sessile,Flat,Depressed,NA",,,N,息肉2形态,切除策略
Polyp_Characteristics,polyp_2_histology,息肉2病理,categorical,,,"Tubular_Adenoma,Tubulovillous_Adenoma,Villous_Adenoma,Serrated,Hyperplastic,SSA_P,Pending,NA",,,N,息肉2病理,风险评估
Polyp_Characteristics,polyp_2_removed,息肉2切除,categorical,,,"Yes,No,Partial,NA",,,N,是否切除2,治疗

Advanced_Adenoma,advanced_adenoma,进展期腺瘤,categorical,,,"Yes,No,Unknown",,,N,进展期腺瘤,高危病变
Advanced_Adenoma,aa_criteria,进展期标准,categorical,,,"Size_10mm_plus,Villous_Component,High_Grade_Dysplasia,Multiple,NA",,,N,进展期腺瘤定义,≥10mm/绒毛/HGD
Advanced_Adenoma,serrated_polyposis,锯齿状息肉病,categorical,,,"Yes,No,Suspected",,,N,锯齿状息肉综合征,WHO标准

Colonic_Findings,colitis,结肠炎,categorical,,,"Yes,No",,,N,结肠炎,炎症性肠病
Colitis,colitis_type,结肠炎类型,categorical,,,"Ulcerative_Colitis,Crohns,Infectious,Ischemic,Radiation,Microscopic,Indeterminate,NA",,,N,结肠炎分型,病因诊断
Colitis,colitis_extent,结肠炎范围,categorical,,,"Proctitis,Left_Sided,Extensive,Pancolitis,Segmental,NA",,,N,炎症范围,IBD分型
Colitis,mayo_score,Mayo内镜评分,categorical,,,"0,1,2,3,NA",,,N,Mayo评分,UC活动度
Colitis,ses_cd,SES-CD评分,integer,,0-60,,,N,简化内镜评分,CD活动度
Colitis,ulceration,溃疡,categorical,,,"Yes,No,NA",,,N,溃疡形成,严重程度
Colitis,pseudopolyps,假息肉,categorical,,,"Yes,No,NA",,,N,炎性息肉,慢性炎症
Colonic_Findings,diverticulosis,憩室病,categorical,,,"Yes,No",,,N,结肠憩室,常见发现
Diverticulosis,diverticulosis_severity,憩室程度,categorical,,,"Mild,Moderate,Severe,NA",,,N,憩室数量,憩室炎风险
Diverticulosis,diverticulosis_location,憩室部位,categorical,,,"Sigmoid,Descending,Left_Sided,Pan_Colonic,Right_Sided,NA",,,N,憩室分布,亚洲右侧多
Diverticulosis,diverticulitis,憩室炎,categorical,,,"Acute,Chronic,No,NA",,,N,憩室炎症,并发症
Colonic_Findings,hemorrhoids,痔疮,categorical,,,"Internal,External,Mixed,None",,,N,痔核,出血原因
Colonic_Findings,anal_fissure,肛裂,categorical,,,"Yes,No",,,N,肛管裂伤,疼痛出血
Colonic_Findings,melanosis_coli,结肠黑变病,categorical,,,"Yes,No",,,N,黑变病,蒽醌类泻药

Mass_Lesion,mass_found,占位性病变,categorical,,,"Yes,No",,,N,肿块/肿瘤,恶性可能
Mass_Lesion,mass_location,肿块部位,categorical,,,"Cecum,Ascending,Hepatic_Flexure,Transverse,Splenic_Flexure,Descending,Sigmoid,Rectum,Multiple,NA",,,N,肿瘤位置,手术计划
Mass_Lesion,mass_size,肿块大小,decimal,cm,0-30,,,N,肿块最大径,T分期
Mass_Lesion,mass_morphology,肿块形态,categorical,,,"Polypoid,Ulcerative,Infiltrative,Annular_Stenotic,Flat,NA",,,N,肿瘤形态,Borrmann样
Mass_Lesion,mass_obstruction,梗阻,categorical,,,"Complete,Partial,None,NA",,,N,肠腔梗阻,急症
Mass_Lesion,scope_passage,内镜通过,categorical,,,"Yes,No,NA",,,N,镜身能否通过,狭窄程度
Mass_Lesion,distance_from_av,距肛门距离,decimal,cm,0-200,,,N,病变距肛缘,直肠癌分期

Bleeding,bleeding_source,出血来源,categorical,,,"Identified,Not_Identified,No_Active_Bleeding",,,N,出血源定位,下消化道出血
Bleeding,bleeding_location,出血部位,categorical,,,"Cecum,Ascending,Transverse,Descending,Sigmoid,Rectum,Anus,Diffuse,Unknown",,,N,出血位置,病变定位
Bleeding,bleeding_type,出血类型,categorical,,,"Arterial,Venous,Oozing,Diverticular,Polyp,Tumor,Hemorrhoidal,Ischemia,Other,NA",,,N,出血病因,治疗策略
Bleeding,stigmata_bleeding,出血征象,categorical,,,"Active_Spurting,Oozing,Visible_Vessel,Adherent_Clot,Flat_Spot,None",,,N,出血Forrest分级,再出血风险

Other_Findings,vascular_ectasia,血管扩张,categorical,,,"Yes,No",,,N,血管发育不良,GAVE/出血
Other_Findings,lipoma,脂肪瘤,categorical,,,"Yes,No",,,N,脂肪瘤,黏膜下病变
Other_Findings,external_compression,外压征,categorical,,,"Yes,No",,,N,肠腔外压,腹腔肿物
Other_Findings,anastomosis,吻合口,categorical,,,"Normal,Stenosis,Leak,Ulcer,Recurrence,NA",,,N,术后吻合口,术后随访
Other_Findings,stoma,造口,categorical,,,"Normal,Stenosis,Prolapse,Retraction,Hernia,NA",,,N,造口情况,造口评估

Biopsy,biopsy_taken,活检,categorical,,,"Yes,No",,,Y,是否取活检,病理诊断
Biopsy,biopsy_number,活检数量,integer,,0-50,,,N,活检标本数,充分性
Biopsy,biopsy_sites,活检部位,string,,,,,N,活检位置描述,病变来源
Biopsy,biopsy_indication,活检指征,categorical,,,"Suspicious_Malignancy,Colitis_Diagnosis,Polyp,Stricture,Ulcer,Surveillance,Other,NA",,,N,活检原因,临床目的
Biopsy,random_biopsy,随机活检,categorical,,,"Yes,No",,,N,IBD随机活检,异型增生监测

Polypectomy,polypectomy_performed,息肉切除术,categorical,,,"Yes,No",,,N,是否息肉切除,治疗性操作
Polypectomy,polypectomy_technique,切除技术,categorical,,,"Cold_Snare,Hot_Snare,Cold_Forceps,Hot_Forceps,EMR,ESD,Hybrid,NA",,,N,切除方法,操作技术
Polypectomy,complete_resection,完整切除,categorical,,,"Yes,No,Piecemeal,Uncertain,NA",,,N,是否整块切除,复发风险
Polypectomy,tattooing,标记,categorical,,,"Yes,No",,,N,墨汁标记,外科定位
Polypectomy,retrieval,标本回收,categorical,,,"Yes,No,Partial,NA",,,N,标本是否回收,病理送检

Hemostasis,hemostasis_performed,止血治疗,categorical,,,"Yes,No",,,N,内镜止血,治疗性操作
Hemostasis,hemostasis_method,止血方法,categorical,,,"Epinephrine_Injection,Clip,APC,Coagulation,Band_Ligation,Combination,NA",,,N,止血技术,治疗方式
Hemostasis,hemostasis_success,止血成功,categorical,,,"Yes,No,NA",,,N,即刻止血效果,治疗效果

Other_Intervention,stricture_dilation,狭窄扩张,categorical,,,"Yes,No",,,N,扩张术,梗阻治疗
Other_Intervention,dilation_method,扩张方法,categorical,,,"Balloon,Through_Scope,Bougie,NA",,,N,扩张技术,治疗方式
Other_Intervention,stent_placement,支架置入,categorical,,,"Yes,No",,,N,肠道支架,姑息治疗
Other_Intervention,foreign_body_removal,异物取出,categorical,,,"Yes,No",,,N,异物取出术,紧急处理
Other_Intervention,decompression,减压,categorical,,,"Yes,No",,,N,肠腔减压,急性假性梗阻

Complications,intraprocedural_complication,术中并发症,categorical,,,"Perforation,Bleeding,Post_Polypectomy_Syndrome,Cardiovascular,Respiratory,Splenic_Injury,None,Other",,,N,检查中并发症,安全性
Complications,postprocedural_complication,术后并发症,categorical,,,"Delayed_Bleeding,Perforation,Post_Polypectomy_Syndrome,Infection,Pain,None,Other",,,N,检查后并发症,随访
Complications,severity,并发症严重度,categorical,,,"Mild,Moderate,Severe,NA",,,N,并发症分级,ASGE标准

Withdrawal_Time,withdrawal_time,退镜时间,integer,minutes,0-60,,,N,退镜观察时间,质控核心≥6分钟
Withdrawal_Time,adequate_inspection,充分观察,categorical,,,"Yes,No",,,N,退镜时充分观察,质量指标

Photo_Documentation,photo_cecum,盲肠照片,categorical,,,"Yes,No",,,N,盲肠标志照片,到盲证据
Photo_Documentation,photo_polyp,息肉照片,categorical,,,"Yes,No,NA",,,N,息肉图像记录,病变记录
Photo_Documentation,photo_biopsy,活检部位照片,categorical,,,"Yes,No,NA",,,N,活检位置照片,定位记录
Photo_Documentation,total_images,图像总数,integer,,0-200,,,N,总照片数,记录完整性

Pathology_Result,pathology_available,病理报告,categorical,,,"Available,Pending,Not_Done",,,N,病理结果状态,最终诊断
Pathology_Result,adenoma_pathology,腺瘤病理,categorical,,,"Tubular,Tubulovillous,Villous,Serrated,NA",,,N,腺瘤组织学,分型
Pathology_Result,carcinoma_in_situ,原位癌,categorical,,,"Yes,No,NA",,,N,原位癌/HGD,恶性病变
Pathology_Result,invasive_carcinoma,浸润癌,categorical,,,"Yes,No,NA",,,N,浸润性癌,恶性肿瘤
Pathology_Result,differentiation,分化程度,categorical,,,"Well,Moderate,Poor,Undifferentiated,NA",,,N,肿瘤分化,预后因素
Pathology_Result,ibd_pathology,IBD病理,categorical,,,"Active_Colitis,Chronic_Colitis,Granuloma,Dysplasia,Normal,NA",,,N,炎症性肠病病理,诊断确认

Diagnosis,primary_diagnosis,主要诊断,categorical,,,"Normal,Polyps_Adenomatous,Polyps_Hyperplastic,Colon_Cancer,Diverticulosis,Colitis_IBD,Colitis_Other,Hemorrhoids,Angiodysplasia,Other",,,Y,主要内镜诊断,疾病分类
Diagnosis,secondary_diagnoses,次要诊断,string,,,,,N,其他诊断,合并疾病

Surveillance,surveillance_interval,监测间隔,categorical,,,"No_Surveillance,1_Year,3_Years,5_Years,10_Years,Other",,,N,复查间隔,USMSTF/ESGE指南
Surveillance,surveillance_indication,监测指征,categorical,,,"Advanced_Adenoma,Multiple_Adenomas,Serrated_Polyps,IBD_Dysplasia,CRC_Family_History,Incomplete_Resection,Other,NA",,,N,监测原因,风险分层
Surveillance,high_risk_category,高危类别,categorical,,,"Yes,No",,,N,高危监测人群,密切随访

Recommendations,repeat_colonoscopy,重复肠镜,categorical,,,"Not_Needed,Recommended,Urgent",,,N,再次肠镜必要性,随访计划
Recommendations,referral,转诊建议,categorical,,,"Surgery,Oncology,Gastroenterology,IBD_Specialist,None,Other",,,N,专科转诊,多学科协作
Recommendations,genetic_counseling,遗传咨询,categorical,,,"Recommended,Not_Indicated",,,N,遗传咨询建议,家族性息肉病
Recommendations,medical_management,药物治疗,categorical,,,"IBD_Therapy,Anticoagulation_Adjustment,Iron_Supplementation,None,Other",,,N,内科治疗,用药建议

Quality_Metrics,adr,腺瘤检出率计算,categorical,,,"Yes,No,NA",,,N,纳入ADR计算,质控指标
Quality_Metrics,quality_indicator_met,质量指标达标,categorical,,,"Yes,No",,,N,质控标准符合,ASGE/ESGE标准
Quality_Metrics,boston_6plus,BBPS≥6分,categorical,,,"Yes,No",,,N,准备质量达标,最低质量标准
