字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行骨代谢检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行骨代谢检查的临床指征。<br>**建议值**: `骨质疏松筛查`, `继发性骨病`, `内分泌性骨病`, `代谢性骨病`, `骨折风险评估`",骨质疏松筛查
boneDensity.lumbarSpine.t_score,骨密度.腰椎.T值,Number,"腰椎L1-L4 T值。<br>**分级**: >-1.0(正常), -1.0至-2.5(骨量减少), <-2.5(骨质疏松)",-2.1
boneDensity.lumbarSpine.z_score,骨密度.腰椎.Z值,Number,"腰椎L1-L4 Z值。<br>**异常**: <-2.0",-1.5
boneDensity.lumbarSpine.bmd,骨密度.腰椎.BMD,Number,"腰椎骨密度值。<br>单位: g/cm²",0.858
boneDensity.femur.neck.t_score,骨密度.股骨.股骨颈T值,Number,"股骨颈T值。<br>**分级**: >-1.0(正常), -1.0至-2.5(骨量减少), <-2.5(骨质疏松)",-2.3
boneDensity.femur.neck.z_score,骨密度.股骨.股骨颈Z值,Number,"股骨颈Z值。<br>**异常**: <-2.0",-1.8
boneDensity.femur.neck.bmd,骨密度.股骨.股骨颈BMD,Number,"股骨颈骨密度值。<br>单位: g/cm²",0.735
boneDensity.femur.total.t_score,骨密度.股骨.全髋T值,Number,"全髋T值",-2.0
boneDensity.femur.total.z_score,骨密度.股骨.全髋Z值,Number,"全髋Z值",-1.6
boneDensity.femur.total.bmd,骨密度.股骨.全髋BMD,Number,"全髋骨密度值。<br>单位: g/cm²",0.782
boneDensity.radius.distal.t_score,骨密度.桡骨.远端T值,Number,"桡骨远端T值",-1.8
boneDensity.radius.distal.z_score,骨密度.桡骨.远端Z值,Number,"桡骨远端Z值",-1.2
boneDensity.radius.distal.bmd,骨密度.桡骨.远端BMD,Number,"桡骨远端骨密度值。<br>单位: g/cm²",0.425
trabecularBoneScore,骨小梁评分 (TBS),Number,"腰椎骨小梁评分。<br>**分级**: >1.350(正常), 1.200-1.350(部分降解), <1.200(降解)",1.285
boneTurnoverMarkers.formation.p1np,骨转换标志物.骨形成.P1NP,Number,"I型前胶原氨基端前肽。<br>单位: μg/L<br>**参考范围**: 绝经前女性15-59，绝经后女性16-96",85.2
boneTurnoverMarkers.formation.osteocalcin,骨转换标志物.骨形成.骨钙素,Number,"骨钙素。<br>单位: μg/L<br>**参考范围**: 绝经前女性11-43，绝经后女性15-46",38.5
boneTurnoverMarkers.formation.bap,骨转换标志物.骨形成.骨特异性碱性磷酸酶,Number,"骨特异性碱性磷酸酶。<br>单位: μg/L<br>**参考范围**: 成人3.7-20.9",28.6
boneTurnoverMarkers.resorption.ctx,骨转换标志物.骨吸收.CTX,Number,"I型胶原羧基端肽。<br>单位: ng/mL<br>**参考范围**: 绝经前女性0.025-0.573，绝经后女性0.104-1.008",0.845
boneTurnoverMarkers.resorption.ntx,骨转换标志物.骨吸收.NTX,Number,"I型胶原氨基端肽。<br>单位: nmol BCE/mmol Cr<br>**参考范围**: 成人5.4-24.2",32.8
boneTurnoverMarkers.resorption.trapP,骨转换标志物.骨吸收.抗酒石酸酸性磷酸酶,Number,"TRAP 5b。<br>单位: U/L<br>**参考范围**: 成人1.2-4.9",6.2
boneTurnoverMarkers.resorption.hydroxyproline,骨转换标志物.骨吸收.羟脯氨酸,Number,"24小时尿羟脯氨酸。<br>单位: mg/24h",45.8
calciumMetabolism.serumCalcium.total,钙代谢.血钙.总钙,Number,"血清总钙。<br>单位: mmol/L<br>**参考范围**: 2.11-2.52",2.38
calciumMetabolism.serumCalcium.ionized,钙代谢.血钙.离子钙,Number,"血清离子钙。<br>单位: mmol/L<br>**参考范围**: 1.15-1.29",1.22
calciumMetabolism.serumCalcium.albuminCorrected,钙代谢.血钙.白蛋白校正钙,Number,"白蛋白校正血钙。<br>单位: mmol/L<br>**校正公式**: 总钙+0.02×(40-白蛋白)",2.42
calciumMetabolism.urineCalcium.24hour,钙代谢.尿钙.24小时尿钙,Number,"24小时尿钙。<br>单位: mmol/24h<br>**参考范围**: 2.5-7.5",5.8
calciumMetabolism.urineCalcium.creatinineRatio,钙代谢.尿钙.钙肌酐比,Number,"尿钙肌酐比。<br>单位: mmol/mmol<br>**参考范围**: <1.0",0.65
calciumMetabolism.calciumAbsorption,钙代谢.钙吸收率,Number,"钙吸收率（如果测定）。<br>单位: %",28.5
phosphateMetabolism.serumPhosphate,磷代谢.血磷,Number,"血清磷。<br>单位: mmol/L<br>**参考范围**: 0.85-1.51",1.15
phosphateMetabolism.urinePhosphate.24hour,磷代谢.尿磷.24小时尿磷,Number,"24小时尿磷。<br>单位: mmol/24h<br>**参考范围**: 12.9-42.0",25.8
phosphateMetabolism.urinePhosphate.creatinineRatio,磷代谢.尿磷.磷肌酐比,Number,"尿磷肌酐比。<br>单位: mmol/mmol",2.85
phosphateMetabolism.tmp_gfr,磷代谢.肾磷阈,Number,"肾磷阈/GFR。<br>单位: mmol/L<br>**参考范围**: 0.8-1.35",1.05
magnesiumMetabolism.serumMagnesium,镁代谢.血镁,Number,"血清镁。<br>单位: mmol/L<br>**参考范围**: 0.75-1.02",0.88
magnesiumMetabolism.urineMagnesium,镁代谢.尿镁,Number,"24小时尿镁。<br>单位: mmol/24h<br>**参考范围**: 3.0-5.0",4.2
vitaminDMetabolism.25ohVitaminD,维生素D代谢.25羟维生素D,Number,"25(OH)维生素D。<br>单位: nmol/L<br>**分级**: <30(缺乏), 30-75(不足), >75(充足)",45.8
vitaminDMetabolism.1_25ohVitaminD,维生素D代谢.1_25双羟维生素D,Number,"1,25(OH)₂维生素D。<br>单位: pmol/L<br>**参考范围**: 48-190",125.6
vitaminDMetabolism.24_25ohVitaminD,维生素D代谢.24_25双羟维生素D,Number,"24,25(OH)₂维生素D。<br>单位: nmol/L",8.5
vitaminDMetabolism.vitaminDBindingProtein,维生素D代谢.维生素D结合蛋白,Number,"VDBP。<br>单位: mg/L<br>**参考范围**: 200-500",350
vitaminDMetabolism.freeVitaminD,维生素D代谢.游离维生素D,Number,"游离25(OH)维生素D。<br>单位: pmol/L",15.2
parathyroidHormone.intact,甲状旁腺激素.完整PTH,Number,"完整PTH。<br>单位: pmol/L<br>**参考范围**: 1.6-6.9",8.5
parathyroidHormone.midRegion,甲状旁腺激素.中段PTH,Number,"中段PTH（如果检测）。<br>单位: pmol/L",6.8
parathyroidHormone.pthRelatedProtein,甲状旁腺激素.PTHrP,Number,"PTH相关蛋白。<br>单位: pmol/L<br>**参考范围**: <2.5",1.8
calcitonin,降钙素,Number,"血清降钙素。<br>单位: pg/mL<br>**参考范围**: 男性<11.5，女性<4.6",3.2
