字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行肿瘤标志物检测的日期,2025-10-01
patientAge,患者年龄,Number,"患者年龄(岁)。<br>**重要性**: 多数肿瘤标志物随年龄增加而升高,需年龄分层解读",58
patientSex,患者性别,String,"患者性别。<br>**建议值**: `男`, `女`<br>**重要性**: AFP/CEA在男性较高,CA125在女性较高",男
smokingStatus,吸烟状况,String,"吸烟状况。<br>**建议值**: `从不吸烟`, `已戒烟`, `现在吸烟`<br>**重要性**: CEA在吸烟者可升高20-50%,需校正解读",现在吸烟
smokingPackYears,吸烟包年数,Number,"吸烟包年数(每天包数×吸烟年数)。<br>单位: 包年<br>**CEA影响**: >20包年可使CEA升高至5-10 ng/mL",30
clinicalIndication,检测指征,String,"肿瘤标志物检测的临床指征。<br>**建议值**: `健康体检筛查`, `症状性筛查`, `高危人群筛查`, `已知肿瘤监测`, `治疗后随访`, `复发监测`",健康体检筛查
panelType,检测组合类型,String,"肿瘤标志物组合类型。<br>**建议值**: `肝癌筛查组合(AFP+CEA)`, `消化道肿瘤组合(CEA+CA199+CA724)`, `肺癌筛查组合(CEA+NSE+CYFRA211)`, `妇科肿瘤组合(CA125+CA153+CEA)`, `前列腺筛查(tPSA+fPSA)`, `全面肿瘤筛查组合`, `单项检测`",消化道肿瘤组合(CEA+CA199+CA724)

afp.value,AFP.数值,Number,"甲胎蛋白(Alpha-fetoprotein)数值。<br>单位: ng/mL 或 μg/L<br>**正常参考值**: 成人 <7-20 ng/mL (因实验室而异)<br>**临床意义**: 原发性肝癌最重要标志物",8.5
afp.referenceRange,AFP.参考范围,String,"实验室提供的AFP参考范围。<br>**注意**: 不同实验室/检测方法参考值差异大",0-20 ng/mL
afp.interpretation,AFP.结果判读,String,"AFP结果判读。<br>**建议值**: `正常(<20)`, `轻度升高(20-200)`, `中度升高(200-400)`, `显著升高(>400，高度提示HCC)`, `极度升高(>1000，强烈提示HCC)`<br>**诊断标准**: AFP >400 ng/mL持续1个月 或 >200 ng/mL持续2个月,排除妊娠和慢性肝病活动期,可诊断原发性肝癌",正常(<20)
afp.clinicalSignificance,AFP.临床意义,String,"AFP升高的临床意义。<br>**恶性肿瘤**: 原发性肝癌(HCC，70-80%敏感性)、生殖细胞肿瘤(睾丸/卵巢)、胃癌(部分)<br>**良性疾病**: 急慢性肝炎、肝硬化、妊娠(孕早期可达500 ng/mL)、畸胎瘤",原发性肝癌筛查标志物(敏感性70-80%)
afp.falsePositiveCauses,AFP.假阳性原因,String,"AFP假阳性升高的常见原因。<br>**建议值**: `急性肝炎`, `慢性肝炎活动期`, `肝硬化`, `妊娠`, `生殖细胞肿瘤`, `胃肠道肿瘤(罕见)`",慢性肝炎活动期
afp.recommendation,AFP.建议,String,"基于AFP结果的临床建议。<br>**AFP <20**: 定期体检<br>**AFP 20-200**: 复查+肝脏超声<br>**AFP 200-400**: 肝脏增强CT/MRI+排除肝炎<br>**AFP >400**: 强烈建议肝脏增强CT/MRI+肝病科就诊",建议6-12个月复查

cea.value,CEA.数值,Number,"癌胚抗原(Carcinoembryonic Antigen)数值。<br>单位: ng/mL<br>**正常参考值**: 非吸烟者 <3.0 ng/mL, 吸烟者 <5.0 ng/mL<br>**临床意义**: 广谱肿瘤标志物,尤其消化道肿瘤",4.2
cea.referenceRange,CEA.参考范围,String,实验室提供的CEA参考范围,非吸烟者 <3.0 ng/mL
cea.smokingAdjusted,CEA.吸烟校正后数值,Number,"吸烟校正后的CEA数值。<br>**校正方法**: 吸烟者CEA可生理性升高20-50%,需结合吸烟史解读",4.2
cea.interpretation,CEA.结果判读,String,"CEA结果判读。<br>**建议值**: `正常(<3.0非吸烟/<5.0吸烟)`, `轻度升高(5-10)`, `中度升高(10-20)`, `显著升高(>20，需排查恶性肿瘤)`, `极度升高(>100，高度提示晚期肿瘤)`<br>**关键阈值**: CEA >10 ng/mL时良性疾病罕见",轻度升高(5-10)
cea.clinicalSignificance,CEA.临床意义,String,"CEA升高的临床意义。<br>**恶性肿瘤**: 结直肠癌(60-70%敏感性)、胰腺癌、胃癌、肺癌、乳腺癌<br>**良性疾病**: 吸烟、消化性溃疡、炎症性肠病、胰腺炎、肝硬化、胆汁淤积、甲状腺功能减退",结直肠癌/胰腺癌/胃癌筛查标志物
