Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,screening_date,筛查日期,date,,,,,Y,宫颈癌筛查日期,检查时间点
Basic_Info,age,年龄,integer,years,18-100,,,Y,患者年龄,筛查年龄21-65
Basic_Info,screening_type,筛查方式,categorical,,,"Cytology_Only,HPV_Only,Co_Testing,HPV_Primary",,,Y,筛查策略,指南推荐

Screening_History,first_screening,首次筛查,categorical,,,"Yes,No,Unknown",,,N,是否首次筛查,筛查史
Screening_History,last_screening_date,上次筛查日期,date,,,,,N,前次筛查时间,间隔评估
Screening_History,screening_interval,筛查间隔,integer,months,0-240,,,N,距上次筛查月数,依从性
Screening_History,prior_abnormal_screening,既往异常筛查,categorical,,,"Yes,No,Unknown",,,N,既往筛查异常,高危人群
Screening_History,previous_treatment,既往治疗,categorical,,,"LEEP,Cone_Biopsy,Cryotherapy,Laser,Hysterectomy,None,Other",,,N,宫颈治疗史,复发风险

Risk_Factors,sexual_debut_age,初次性生活年龄,integer,years,10-50,,,N,性生活起始年龄,<16高危
Risk_Factors,lifetime_partners,终生性伴侣数,categorical,,,"1,2to4,5to9,10_or_More,Unknown",,,N,性伴侣数量,≥6高危
Risk_Factors,parity,产次,integer,,0-20,,,N,生产次数,多产高危
Risk_Factors,smoking,吸烟,categorical,,,"Current,Former,Never",,,N,吸烟状态,危险因素
Risk_Factors,immunosuppression,免疫抑制,categorical,,,"HIV,Transplant,Immunosuppressive_Drugs,None,Other",,,N,免疫抑制状态,HIV高危
Risk_Factors,oral_contraceptive,口服避孕药,categorical,,,"Current,Former,Never",,,N,避孕药使用,>5年风险
Risk_Factors,sti_history,性传播疾病史,categorical,,,"Chlamydia,Gonorrhea,Syphilis,HSV,Multiple,None",,,N,STI病史,HPV协同

Cytology,pap_smear_performed,宫颈细胞学,categorical,,,"Yes,No",,,N,是否做Pap涂片,细胞学检查
Cytology,pap_collection_method,标本采集,categorical,,,"Conventional,Liquid_Based,NA",,,N,细胞学方法,LBC推荐
Cytology,specimen_adequacy,标本充分性,categorical,,,"Satisfactory,Unsatisfactory,NA",,,N,标本质量,TBS系统
Cytology,unsatisfactory_reason,不满意原因,categorical,,,"Scant_Cellularity,Obscuring_Blood,Obscuring_Inflammation,No_Endocervical_Cells,Other,NA",,,N,不满意原因,重新取材

TBS_Result,tbs_result,TBS结果,categorical,,,"NILM,ASC_US,LSIL,ASC_H,HSIL,AGC,AIS,SCC,Adenocarcinoma,Other",,,N,Bethesda分类,细胞学诊断
TBS_Result,nilm,正常/炎症,categorical,,,"Yes,No,NA",,,N,NILM,阴性
TBS_Result,organisms,微生物,categorical,,,"Trichomonas,Candida,Bacterial_Vaginosis,Actinomyces,HSV,None,NA",,,N,病原体,感染
TBS_Result,asc_us,不典型鳞状上皮细胞,categorical,,,"Yes,No,NA",,,N,ASC-US,意义不明
TBS_Result,lsil,低级别鳞状上皮内病变,categorical,,,"Yes,No,NA",,,N,LSIL,CIN1
TBS_Result,asc_h,不典型鳞状上皮细胞不除外HSIL,categorical,,,"Yes,No,NA",,,N,ASC-H,高危
TBS_Result,hsil,高级别鳞状上皮内病变,categorical,,,"Yes,No,NA",,,N,HSIL,CIN2/3
TBS_Result,agc,不典型腺细胞,categorical,,,"AGC_NOS,AGC_Favor_Neoplastic,NA",,,N,AGC,腺细胞异常
TBS_Result,ais,原位腺癌,categorical,,,"Yes,No,NA",,,N,AIS,腺癌前病变
TBS_Result,malignancy,恶性,categorical,,,"Squamous_Cell_Carcinoma,Adenocarcinoma,Other,No,NA",,,N,恶性细胞,宫颈癌

HPV_Testing,hpv_test_performed,HPV检测,categorical,,,"Yes,No",,,N,是否HPV检测,分子检测
HPV_Testing,hpv_test_method,HPV检测方法,categorical,,,"HC2,PCR,Genotyping,In_Situ_Hybridization,NA",,,N,HPV方法,技术平台
HPV_Testing,hpv_result,HPV总体结果,categorical,,,"Positive,Negative,Invalid,NA",,,N,HPV定性,阳性/阴性
HPV_Testing,hrh_pv,高危型HPV,categorical,,,"Positive,Negative,NA",,,N,hrHPV,致癌型别
HPV_Testing,hpv16,HPV 16,categorical,,,"Positive,Negative,NA",,,N,HPV16,最高危
HPV_Testing,hpv18,HPV 18,categorical,,,"Positive,Negative,NA",,,N,HPV18,次高危
HPV_Testing,hpv16_18,HPV 16/18,categorical,,,"HPV16,HPV18,Both,Negative,NA",,,N,16/18分型,立即转诊
HPV_Testing,other_hr_hpv,其他高危型,categorical,,,"Positive,Negative,NA",,,N,其他hrHPV(31/33/35/39/45/51/52/56/58/59/66/68),12种hrHPV
HPV_Testing,hpv_genotype_details,HPV基因分型,string,,,,,N,详细分型,具体型别

Co_Testing,co_test_result,联合检测结果,categorical,,,"Negative_Both,HPV_Positive_Cytology_Negative,Cytology_Abnormal_HPV_Any,Both_Positive,NA",,,N,细胞学+HPV,协同筛查
Co_Testing,risk_stratification,风险分层,categorical,,,"Low_Risk,Intermediate_Risk,High_Risk,Immediate_Colposcopy,NA",,,N,综合风险,管理策略

Colposcopy,colposcopy_performed,阴道镜检查,categorical,,,"Yes,No,Recommended",,,N,是否阴道镜,进一步评估
Colposcopy,colposcopy_date,阴道镜日期,date,,,,,N,阴道镜时间,检查时间
Colposcopy,colposcopy_indication,阴道镜指征,categorical,,,"HSIL,ASC_H,AGC,Persistent_ASC_US,LSIL_High_Risk,HPV16_18_Positive,Visible_Lesion,Other,NA",,,N,阴道镜原因,转诊指征
Colposcopy,colposcopy_adequacy,阴道镜充分性,categorical,,,"Adequate,Inadequate,NA",,,N,检查充分性,质量评估
