字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
encounterDate,就诊日期,Date,本次就诊日期,2025-01-15
encounterType,就诊类型,String,"**建议值**: `门诊`, `急诊`, `住院`, `ICU`",急诊

classification.type,分类.肺炎类型,String,"**按获得场所**:<br>**CAP**: 社区获得性肺炎(院外或入院48h内发病)<br>**HAP**: 医院获得性肺炎(入院≥48h后发病)<br>**VAP**: 呼吸机相关性肺炎(机械通气≥48h后发病)<br>**HCAP**: 医疗保健相关性肺炎(90天内住院≥2天/住养老院/家庭输液/血透)<br>**建议值**: `CAP`, `HAP`, `VAP`, `HCAP`",CAP
classification.severity,分类.严重程度,String,"**建议值**: `轻症`, `中度`, `重症`, `危重症(需ICU)`",中度

symptoms.cough,症状.咳嗽,String,"**建议值**: `无`, `干咳`, `咳痰(白痰)`, `咳脓痰(黄绿痰)`, `咳铁锈色痰(肺炎链球菌)`, `咳血痰`,咳脓痰
symptoms.sputum,症状.痰液性状,String,"**病原提示**: 铁锈色痰(肺炎链球菌),砖红色胶冻样痰(克雷伯菌),果酱样痰(阿米巴),粉红色泡沫痰(肺水肿)。<br>**示例**: `无痰`, `白色粘痰`, `黄色脓痰`, `铁锈色痰`, `砖红色胶冻样痰`, `血痰`,黄色脓痰
symptoms.fever,症状.发热,String,"**建议值**: `无发热`, `低热(37.3-38℃)`, `中度发热(38.1-39℃)`, `高热(39.1-41℃)`, `超高热(>41℃)`,高热
symptoms.chills,症状.寒战,String,"**典型细菌性肺炎**: 寒战高热常见。<br>**建议值**: `无`, `畏寒`, `寒战`,寒战
symptoms.dyspnea,症状.呼吸困难,String,"**建议值**: `无`, `活动后气促`, `静息呼吸困难`, `端坐呼吸`,活动后气促
symptoms.pleuriticPain,症状.胸痛,String,"**胸膜炎性胸痛**: 尖锐刺痛,深吸气/咳嗽加重。<br>**建议值**: `无`, `胸膜炎性胸痛`, `胸部不适`,胸膜炎性胸痛

