fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行药物依从性评估的临床适应症,糖尿病药物依从性评估
diagnosisImpression,诊断印象,String,基于评估结果的诊断印象,药物依从性中等水平
recommendation,建议,String,基于评估结果的建议,加强用药教育和依从性管理

# 基本信息
ageAtAssessment,评估时年龄,Number,患者评估时的年龄（岁）,64
gender,性别,String,患者性别,男/女
educationLevel,教育程度,String,患者的教育程度,小学/初中/高中/专科/本科/研究生
primaryDiagnosis,主要诊断,String,患者主要诊断,2型糖尿病
diabetesType,糖尿病类型,String,患者的糖尿病类型,1型糖尿病/2型糖尿病/妊娠糖尿病/其他特殊类型
diabetesDuration,糖尿病病程,Number,患者糖尿病诊断时间（年）,15.2
comorbidities,合并症,String,患者主要合并症,高血压/血脂异常/冠心病/肾病

# 当前用药方案
totalMedicationNumber,总药物数量,Number,患者当前使用的药物总数,6
diabetesMedicationNumber,糖尿病药物数量,Number,糖尿病相关药物数量,3
oralMedicationNumber,口服药物数量,Number,口服降糖药物数量,2
insulinRegimen,胰岛素方案,String,胰岛素使用方案,基础胰岛素/预混胰岛素/胰岛素强化/无胰岛素
injectionFrequency,注射频率,Number,每日胰岛素注射次数,2
medicationComplexity,用药复杂性,String,用药方案复杂性,简单/中等/复杂
dosageFrequencyVariation,给药频率变化,String,给药频率变化情况,固定/变化较小/变化较大

# 药物依从性测量
overallAdherenceScore,总体依从性评分,Number,总体药物依从性评分（0-100分），100分为完全依从,75
oralMedicationAdherence,口服药依从性,Number,口服降糖药依从性评分（0-100分）,80
insulinAdherence,胰岛素依从性,Number,胰岛素使用依从性评分（0-100分）,70
timingAdherence,用药时间依从性,Number,按时用药依从性评分（0-100分）,78
dosageAdherence,剂量依从性,Number,剂量准确性依从性评分（0-100分）,85
frequencyAdherence,频率依从性,Number,用药频率依从性评分（0-100分）,72

# 遗漏用药情况
missedDosesLastWeek,上周遗漏次数,Number,上周遗漏用药次数,3
missedDosesLastMonth,上月遗漏次数,Number,上月遗漏用药次数,8
mostMissedMedication,最常遗漏药物,String,最常遗漏的药物类型,口服降糖药/胰岛素/降压药/降脂药
missedDosePattern,遗漏模式,String,遗漏用药的模式,随机遗漏/周末遗漏/工作日遗漏/特定时间遗漏
consecutiveMissedDoses,连续遗漏情况,Number,最长连续遗漏天数,2
makeUpMissedDoses,补服遗漏药物,String,是否补服遗漏的药物,总是/有时/从不

# 依从性影响因素
forgetfulness,健忘因素,Number,健忘对依从性影响程度评分（1-5分），5分影响最大,3.5
sideEffects,副作用因素,Number,药物副作用对依从性影响程度评分（1-5分）,2.8
costConcerns,费用担忧,Number,药物费用对依从性影响程度评分（1-5分）,3.2
complexRegimen,方案复杂性,Number,用药方案复杂性对依从性影响程度评分（1-5分）,2.5
efficacyDoubt,疗效怀疑,Number,对药物疗效怀疑对依从性影响评分（1-5分）,2.2
socialStigma,社会病耻感,Number,社会病耻感对依从性影响评分（1-5分）,1.8

# 用药知识评估
medicationKnowledgeScore,用药知识评分,Number,药物相关知识掌握程度评分（0-100分）,68
dosageUnderstanding,剂量理解,Number,对药物剂量理解程度评分（1-5分）,3.8
timingUnderstanding,时间理解,Number,对用药时间理解程度评分（1-5分）,3.6
sideEffectAwareness,副作用认知,Number,对药物副作用认知程度评分（1-5分）,3.2
drugInteractionAwareness,药物相互作用认知,Number,对药物相互作用认知程度评分（1-5分）,2.4
contraindicationAwareness,禁忌症认知,Number,对药物禁忌症认知程度评分（1-5分）,2.8

# 用药技能评估
