Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,白血病确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,0-100,,,Y,确诊时年龄,儿童vs成人预后
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,某些亚型性别差异
Basic_Info,ethnicity,民族,categorical,,,"Han,Minority,Other",,,N,种族背景,遗传易感差异
Basic_Info,down_syndrome,唐氏综合征,categorical,,,"Yes,No",,,N,21-三体,ALL/AML高危
Basic_Info,fanconi_anemia,Fanconi贫血,categorical,,,"Yes,No",,,N,范可尼贫血,骨髓衰竭综合征
Basic_Info,previous_malignancy,既往恶性肿瘤,categorical,,,"Yes,No",,,N,既往癌症史,治疗相关白血病
Basic_Info,prior_chemotherapy,既往化疗,categorical,,,"Yes,No",,,N,化疗暴露史,治疗相关MDS/AML
Basic_Info,prior_radiotherapy,既往放疗,categorical,,,"Yes,No",,,N,放疗暴露史,继发白血病风险
Basic_Info,benzene_exposure,苯暴露,categorical,,,"Yes,No",,,N,职业苯接触,AML危险因素
Basic_Info,family_history_leukemia,白血病家族史,categorical,,,"Yes,No",,,N,一级亲属白血病,遗传易感
Leukemia_Type,major_category,主要类别,categorical,,,"Acute_Lymphoblastic,Acute_Myeloid,Chronic_Lymphocytic,Chronic_Myeloid,Other",,,Y,白血病大类,急性vs慢性淋系vs髓系
Leukemia_Type,who_classification,WHO分类,categorical,,,"AML_NOS,AML_Recurrent_Genetic,AML_MDS_Related,AML_Therapy_Related,ALL_B,ALL_T,CML,CLL_SLL,Other",,,Y,WHO 2016分型,标准病理分型
Presentation,presenting_symptoms,首发症状,categorical,,,"Fever,Bleeding,Fatigue,Bone_Pain,Lymphadenopathy,Incidental,Multiple",,,Y,主要症状,贫血/感染/出血
Presentation,fever,发热,categorical,,,"Yes,No",,,N,感染发热,粒细胞缺乏
Presentation,bleeding,出血,categorical,,,"Petechiae,Purpura,Mucosal,Major,None",,,N,出血表现,血小板减少
Presentation,fatigue,乏力,categorical,,,"Mild,Moderate,Severe,None",,,N,疲劳程度,贫血症状
Presentation,bone_pain,骨痛,categorical,,,"Yes,No",,,N,骨骼疼痛,骨髓浸润
Presentation,lymphadenopathy,淋巴结肿大,categorical,,,"Yes,No",,,N,淋巴结,ALL/CLL
Presentation,hepatomegaly,肝肿大,categorical,,,"Yes,No",,,N,肝脏增大,髓外浸润
Presentation,splenomegaly,脾肿大,categorical,,,"Yes,No",,,N,脾脏增大,CML特征
Presentation,gum_hypertrophy,牙龈增生,categorical,,,"Yes,No",,,N,牙龈肥厚,单核细胞白血病
Presentation,skin_infiltration,皮肤浸润,categorical,,,"Yes,No",,,N,白血病皮肤,髓外病变
Presentation,testicular_mass,睾丸肿块,categorical,,,"Yes,No,Not_Applicable",,,N,睾丸白血病,ALL庇护所
Presentation,cns_symptoms,中枢神经系统症状,categorical,,,"Yes,No",,,N,神经症状,CNS浸润
Laboratory_CBC,wbc,白细胞计数,decimal,×10⁹/L,0.1-500,6690-2,,Y,WBC,白血病负荷
Laboratory_CBC,wbc_category,白细胞分类,categorical,,,"<4,4-100,>100",,,N,WBC水平,高白细胞vs低增生
Laboratory_CBC,hemoglobin,血红蛋白,decimal,g/L,20-180,718-7,,Y,Hb,贫血程度
Laboratory_CBC,platelets,血小板,decimal,×10⁹/L,1-1000,777-3,,Y,血小板计数,出血风险
Laboratory_CBC,anc,中性粒细胞绝对值,decimal,×10⁹/L,0-50,751-8,,N,ANC,感染风险
Laboratory_CBC,blast_percentage_pb,外周血原始细胞,decimal,%,0-100,,,Y,血涂片原始细胞,白血病诊断
Laboratory_CBC,circulating_blasts,循环原始细胞,categorical,,,"Yes,No",,,Y,外周血幼稚细胞,急性白血病
Laboratory_BM,bone_marrow_blasts,骨髓原始细胞,decimal,%,0-100,,,Y,骨髓涂片原始细胞,诊断标准≥20%
Laboratory_BM,bone_marrow_cellularity,骨髓细胞度,categorical,,,"Hypercellular,Normocellular,Hypocellular",,,N,骨髓增生程度,增生活跃vs低增生
Laboratory_BM,dysplasia,病态造血,categorical,,,"Yes,No",,,N,多系病态造血,MDS相关AML
Laboratory_BM,dysplasia_lineages,病态造血系列数,integer,系,0-3,,,N,受累造血系,≥2系MDS相关
Laboratory_Chemistry,ldh,LDH,decimal,U/L,100-5000,2532-0,,N,乳酸脱氢酶,肿瘤负荷
Laboratory_Chemistry,uric_acid,尿酸,decimal,μmol/L,100-1200,3084-1,,N,血尿酸,肿瘤溶解风险
Laboratory_Chemistry,creatinine,肌酐,decimal,μmol/L,30-800,2160-0,,N,血肌酐,肾功能
Laboratory_Chemistry,potassium,血钾,decimal,mmol/L,2-8,2823-3,,N,血钾,肿瘤溶解综合征
Laboratory_Chemistry,phosphorus,血磷,decimal,mmol/L,0.5-4,2777-1,,N,血磷,肿瘤溶解综合征
Laboratory_Chemistry,calcium,血钙,decimal,mmol/L,1.5-3.5,17861-6,,N,校正钙,肿瘤溶解综合征
Laboratory_Coagulation,pt,凝血酶原时间,decimal,秒,8-20,5902-2,,N,PT,凝血功能
Laboratory_Coagulation,aptt,活化部分凝血活酶时间,decimal,秒,20-50,3173-2,,N,APTT,凝血功能
Laboratory_Coagulation,fibrinogen,纤维蛋白原,decimal,g/L,1-8,3255-7,,N,Fib,DIC评估
Laboratory_Coagulation,d_dimer,D-二聚体,decimal,mg/L,0-20,48065-7,,N,D-Dimer,DIC/血栓
Laboratory_Coagulation,dic,弥散性血管内凝血,categorical,,,"Yes,No",,,N,DIC,APL急症
AML_Subtype,aml_fab_classification,AML FAB分型,categorical,,,"M0,M1,M2,M3,M4,M5,M6,M7,Not_Applicable",,,N,法美英协作组,传统形态学分型
AML_Subtype,aml_who_subtype,AML WHO亚型,categorical,,,"AML_t8_21,AML_inv16,APL_t15_17,AML_t9_11,AML_NOS,AML_MDS_Related,Therapy_Related,Not_Applicable",,,N,WHO分型,基因/来源分型
AML_Subtype,aml_maturation,AML分化程度,categorical,,,"M0_Minimal,M1_Without,M2_With,Not_Applicable",,,N,FAB分化,未分化/部分分化/分化
AML_Subtype,monocytic_component,单核细胞成分,categorical,,,"M4_Myelomonocytic,M5_Monocytic,None",,,N,单核细胞分化,M4/M5
AML_Subtype,erythroid_component,红系成分,categorical,,,"M6_Erythroleukemia,None",,,N,红白血病,M6
AML_Subtype,megakaryocytic_component,巨核细胞成分,categorical,,,"M7_Megakaryoblastic,None",,,N,巨核细胞白血病,M7
AML_Genetics,aml_risk_group,AML遗传学风险,categorical,,,"Favorable,Intermediate,Adverse",,,Y,ELN 2017分层,治疗决策核心
