字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行妊娠期糖尿病检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行妊娠期糖尿病检查的临床指征。<br>**建议值**: `常规筛查`, `高危筛查`, `症状评估`, `血糖监测`, `妊娠并发症评估`",高危筛查
gestationalAge.weeks,妊娠周数.周,Number,"妊娠周数。<br>单位: 周",28
gestationalAge.days,妊娠周数.天,Number,"妊娠天数。<br>单位: 天",3
gestationalAge.trimester,妊娠周数.妊娠期,String,"妊娠期。<br>**建议值**: `早期(≤13周)`, `中期(14-27周)`, `晚期(≥28周)`",晚期
gdmDiagnosis.iadjspsoCriteria,GDM诊断.IADPSG标准,String,"IADPSG诊断标准。<br>**建议值**: `阴性`, `阳性`",阳性
gdmDiagnosis.whoCriteria,GDM诊断.WHO标准,String,"WHO诊断标准。<br>**建议值**: `阴性`, `阳性`",阳性
gdmDiagnosis.severityClassification,GDM诊断.严重程度分级,String,"GDM严重程度。<br>**建议值**: `A1(饮食控制)`, `A2(需要胰岛素)`",A1
gdmDiagnosis.onsetTiming,GDM诊断.发病时间,String,"GDM发病时间。<br>**建议值**: `早发(<20周)`, `典型(24-28周)`, `晚发(>28周)`",典型
oralGlucoseToleranceTest.screeningMethod,口服葡萄糖耐量试验.筛查方法,String,"筛查方法。<br>**建议值**: `一步法(75g OGTT)`, `两步法(50g GCT+100g OGTT)`",一步法
oralGlucoseToleranceTest.fastingPreparation,口服葡萄糖耐量试验.禁食准备,String,"禁食准备情况",禁食8-14小时
oralGlucoseToleranceTest.fastingGlucose,口服葡萄糖耐量试验.空腹血糖,Number,"OGTT空腹血糖。<br>单位: mmol/L<br>**IADPSG阈值**: ≥5.1",5.3
oralGlucoseToleranceTest.glucose1hour,口服葡萄糖耐量试验.1小时血糖,Number,"OGTT 1小时血糖。<br>单位: mmol/L<br>**IADPSG阈值**: ≥10.0",10.8
