fieldKey,fieldName,fieldType,fieldDescription,exampleValue
lungRadsCategory,Lung-RADS分级,String,"Lung-RADS分级(ACR v2022)。<br>**建议值**: `0类(需补充检查)`, `1类(阴性/无结节)`, `2类(良性表现)`, `3类(可能良性)`, `4A类(可疑恶性)`, `4B类(非常可疑恶性)`, `4X类(极高度可疑恶性+其他发现)`<br>**关键阈值**: ≥4A建议临床干预",3类(可能良性)
lungRadsCategory.malignancyRisk,Lung-RADS分级.恶性风险,String,"各Lung-RADS分级对应的恶性风险。<br>**风险范围**:<br>- 1类: 0% (无结节)<br>- 2类: <1% (良性钙化/脂肪密度等)<br>- 3类: 1-2%<br>- 4A类: 5-15%<br>- 4B类: >15%<br>- 4X类: >15% + 其他可疑发现",1-2%恶性风险
lungRadsCategory.recommendation,Lung-RADS分级.管理建议,String,"各Lung-RADS分级的管理建议(ACR v2022)。<br>**标准建议**:<br>- 1类/2类: 年度LDCT筛查<br>- 3类: 6个月LDCT随访<br>- 4A类: 3个月LDCT随访<br>- 4B类: 3个月PET-CT或1-3个月LDCT或活检<br>- 4X类: 3个月PET-CT或活检 + 相应临床处理",6个月LDCT随访
screeningContext,筛查背景,String,"肺结节检出背景。<br>**建议值**: `LDCT筛查(肺癌高危人群)`, `偶发发现(其他原因CT检查)`, `肺癌术后随访`, `其他肿瘤随访`<br>**临床意义**: 筛查人群vs偶发人群风险分层不同",偶发发现(其他原因CT检查)
patientRiskLevel,患者风险等级,String,"患者肺癌风险等级。<br>**建议值**: `低危(<5%)`, `高危(≥5%)`, `极高危(≥20年包年+当前吸烟或戒烟<15年)`<br>**判断依据**: USPSTF 2021标准 - 50-80岁 + 20包年吸烟史 + 当前吸烟或15年内戒烟者为高危",低危(<5%)
nodule.count,结节.总数量,Number,"检测到的肺结节总数量。<br>**临床意义**: 多发结节(≥4个)管理策略不同,通常追踪最大/最可疑的1-2个结节",1
nodule.primary.location,结节主要部位,String,"主要结节所在肺叶。<br>**建议值**: `右上叶(RUL)`, `右中叶(RML)`, `右下叶(RLL)`, `左上叶(LUL)`, `左下叶(LLL)`, `舌叶`<br>**临床意义**: 上叶结节恶性风险较下叶高",右上叶(RUL)
nodule.primary.segment,结节肺段位置,String,"结节所在肺段。<br>**示例**: 右上叶前段(S3), 左上叶尖后段(S1+2)等<br>**临床意义**: 精确定位利于随访对比和手术规划",右上叶前段(S3)
nodule.primary.type,结节类型,String,"结节密度类型(Fleischner Society分类)。<br>**建议值**: `实性结节(Solid)`, `部分实性结节/混合磨玻璃结节(Part-solid/Mixed-GGO)`, `纯磨玻璃结节(Pure Ground-Glass/Non-solid)`, `囊性结节(Cystic)`<br>**临床意义**: 亚实性结节(GGO/Part-solid)恶性风险更高,随访时间更长(5年)",实性结节(Solid)
nodule.primary.diameter,结节平均直径,Number,"结节平均直径(长径+短径)/2,单位mm。<br>**测量标准**: Fleischner Society 2017 - 使用肺窗测量<br>**关键阈值**: <6mm(低危不需常规随访), 6-8mm(需随访), ≥8mm(密切随访/干预)<br>**注意事项**: 亚实性结节测量总直径,记录实性成分直径",7
nodule.primary.diameterLong,结节长径,Number,"结节最长径,单位mm。<br>**测量方法**: 轴位最大层面测量,取最长径<br>**临床意义**: 结节大小是Lung-RADS分级的主要依据",8
