Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,肾癌确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,18-100,,,Y,确诊时年龄,60-70岁高峰
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,男性发病率2倍
Basic_Info,smoking_status,吸烟状态,categorical,,,"Never,Former,Current",,,N,吸烟史,危险因素
Basic_Info,hypertension,高血压病史,categorical,,,"Yes,No",,,N,高血压,危险因素
Basic_Info,obesity,肥胖,categorical,,,"Yes,No",,,N,体重指数>30,危险因素
Basic_Info,chronic_kidney_disease,慢性肾病,categorical,,,"Yes,No",,,N,CKD病史,高危人群
Basic_Info,dialysis_history,透析史,categorical,,,"Yes,No",,,N,长期透析,获得性囊肿
Basic_Info,von_hippel_lindau,VHL综合征,categorical,,,"Yes,No,Unknown",,,N,VHL病,遗传性RCC
Basic_Info,hereditary_syndrome,遗传性综合征,categorical,,,"VHL,Hereditary_Papillary,BHD,Hereditary_Leiomyomatosis,Tuberous_Sclerosis,None",,,N,遗传性肾癌,家族性
Basic_Info,family_history_rcc,肾癌家族史,categorical,,,"Yes,No",,,N,一级亲属RCC,遗传易感
Presentation,presentation_type,发现方式,categorical,,,"Incidental,Symptomatic,Screening",,,Y,诊断情境,偶发占50-60%
Presentation,hematuria,血尿,categorical,,,"Yes,No",,,N,肉眼或镜下血尿,经典三联征
Presentation,flank_pain,腰痛,categorical,,,"Yes,No",,,N,侧腹痛,经典三联征
Presentation,palpable_mass,可触及肿块,categorical,,,"Yes,No",,,N,腹部肿块,经典三联征晚期
Presentation,classic_triad,经典三联征,categorical,,,"Yes,No",,,N,血尿+腰痛+肿块,仅10-15%晚期
Presentation,weight_loss,体重下降,categorical,,,"Yes,No",,,N,非特异性症状,全身表现
Presentation,fever,发热,categorical,,,"Yes,No",,,N,肿瘤热,副肿瘤综合征
Presentation,night_sweats,盗汗,categorical,,,"Yes,No",,,N,夜间出汗,全身症状
Presentation,varicocele,精索静脉曲张,categorical,,,"Left,Right,Bilateral,None",,,N,男性静脉曲张,左侧提示肾静脉受累
Presentation,lower_extremity_edema,下肢水肿,categorical,,,"Yes,No",,,N,双下肢肿胀,IVC受累
Laboratory,hemoglobin,血红蛋白,decimal,g/L,50-200,718-7,,N,血红蛋白水平,贫血或红细胞增多
Laboratory,anemia,贫血,categorical,,,"Yes,No",,,N,Hb低于正常,慢性病贫血
Laboratory,polycythemia,红细胞增多,categorical,,,"Yes,No",,,N,红细胞增多症,EPO分泌
Laboratory,esr,红细胞沉降率,decimal,mm/h,0-100,4537-7,,N,血沉,炎症指标
Laboratory,creatinine,肌酐,decimal,μmol/L,30-800,2160-0,,N,血肌酐,肾功能
Laboratory,egfr,eGFR,decimal,mL/min/1.73m²,5-150,98979-8,,N,估算肾小球滤过率,保肾手术考量
Laboratory,calcium,血钙,decimal,mmol/L,1.5-3.5,17861-6,,N,校正钙,高钙血症
Laboratory,hypercalcemia,高钙血症,categorical,,,"Yes,No",,,N,钙>2.6 mmol/L,PTHrP分泌
Laboratory,alkaline_phosphatase,碱性磷酸酶,decimal,U/L,0-500,6768-6,,N,ALP,骨转移/肝转移
Laboratory,alt,ALT,decimal,U/L,0-300,1742-6,,N,丙氨酸转氨酶,肝功能
Laboratory,ast,AST,decimal,U/L,0-300,1920-8,,N,天冬氨酸转氨酶,肝功能
Laboratory,ldh,LDH,decimal,U/L,100-1000,2532-0,,N,乳酸脱氢酶,预后标志物
Laboratory,elevated_ldh,LDH升高,categorical,,,"Yes,No",,,N,LDH超过正常上限,IMDC/MSKCC危险因素
Laboratory,platelets,血小板,decimal,×10⁹/L,50-800,777-3,,N,血小板计数,血栓症
Imaging_Primary,tumor_laterality,肿瘤侧别,categorical,,,"Left,Right,Bilateral",,,Y,病变侧别,5%双侧
Imaging_Primary,tumor_location,肾脏部位,categorical,,,"Upper_Pole,Middle,Lower_Pole,Multifocal",,,Y,肾内位置,手术规划
Imaging_Primary,tumor_size,肿瘤最大径,decimal,cm,0.5-30,,,Y,最大直径,T分期关键
Imaging_Primary,tumor_size_category,肿瘤大小分类,categorical,,,"≤4cm,4-7cm,7-10cm,>10cm",,,N,大小分层,T1/T2分界
Imaging_Primary,renal_vein_thrombus,肾静脉瘤栓,categorical,,,"Yes,No",,,N,静脉内瘤栓,T3a
Imaging_Primary,ivc_thrombus,下腔静脉瘤栓,categorical,,,"Yes,No",,,N,IVC瘤栓,T3b/T3c
Imaging_Primary,ivc_thrombus_level,IVC瘤栓水平,categorical,,,"Below_Hepatic,Hepatic_to_Diaphragm,Above_Diaphragm,Into_Atrium,None",,,N,瘤栓延伸,外科复杂性
Imaging_Primary,perinephric_fat_invasion,肾周脂肪侵犯,categorical,,,"Yes,No",,,N,肾筋膜内侵犯,T3a
