字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
assessmentDate,评估日期,Date,哮喘评估日期,2025-01-15
assessmentType,评估类型,String,"评估类型。<br>**建议值**: `初诊评估`, `控制水平评估`, `急性发作评估`, `治疗调整评估`, `运动诱发哮喘评估`",控制水平评估

diagnosisInfo.diagnosisDate,诊断信息.诊断日期,Date,哮喘诊断日期,2018-06-15
diagnosisInfo.phenotype,诊断信息.表型,String,"**建议值**: `过敏性哮喘`, `非过敏性哮喘`, `晚发型哮喘`, `固定气流受限哮喘`, `肥胖相关哮喘`",过敏性哮喘
diagnosisInfo.severity,诊断信息.严重程度分级,String,"**初始评估严重程度**:<br>**间歇**: 日间症状<2次/周,夜间<2次/月,FEV1≥80%<br>**轻度持续**: 日间>2次/周但<1次/天,夜间3-4次/月,FEV1≥80%<br>**中度持续**: 日间每天,夜间>1次/周,FEV1 60-80%<br>**重度持续**: 日间持续,夜间频繁,FEV1<60%",中度持续
diagnosisInfo.onsetAge,诊断信息.发病年龄,Number,"发病年龄。<br>单位: 岁<br>**<12岁**: 儿童期发病<br>**≥40岁**: 晚发型哮喘",8
diagnosisInfo.familyHistory,诊断信息.家族史,String,"哮喘或过敏性疾病家族史。<br>**建议值**: `无`, `父母一方`, `父母双方`, `兄弟姐妹`, `其他亲属`",父母一方

controlLevel.act.score,控制水平.ACT评分.总分,Number,"哮喘控制测试(Asthma Control Test)总分(5-25分)。<br>**≥20**: 控制良好<br>**16-19**: 部分控制<br>**≤15**: 控制不佳",18
controlLevel.act.q1Activities,控制水平.ACT评分.Q1活动受限,Number,过去4周哮喘妨碍工作/学习/家务的频率(1-5分),3
controlLevel.act.q2Breathlessness,控制水平.ACT评分.Q2气短频率,Number,过去4周气短的频率(1-5分),4
controlLevel.act.q3NightSymptoms,控制水平.ACT评分.Q3夜间症状,Number,过去4周夜间症状/憋醒的频率(1-5分),4
controlLevel.act.q4RescueUse,控制水平.ACT评分.Q4急救药使用,Number,过去4周使用急救药物的频率(1-5分),3
controlLevel.act.q5SelfRating,控制水平.ACT评分.Q5自我评价,Number,如何评价过去4周哮喘控制(1-5分),4

controlLevel.gina.assessment,控制水平.GINA控制评估,String,"GINA 2023哮喘控制评估。<br>**控制良好**: 过去4周内所有项目均为否<br>**部分控制**: 1-2项为是<br>**控制不佳**: 3-4项为是<br>**评估项目**:<br>1. 日间症状>2次/周<br>2. 夜间憋醒<br>3. 因哮喘需用急救药>2次/周<br>4. 活动受限",部分控制
controlLevel.gina.daySymptoms,控制水平.GINA评估.日间症状,String,"过去4周日间症状>2次/周。<br>**建议值**: `是`, `否`",是
controlLevel.gina.nightSymptoms,控制水平.GINA评估.夜间憋醒,String,"过去4周夜间憋醒。<br>**建议值**: `是`, `否`",否
controlLevel.gina.rescueUse,控制水平.GINA评估.急救药使用,String,"过去4周因哮喘需用急救药>2次/周(不包括运动前预防)。<br>**建议值**: `是`, `否`",是
controlLevel.gina.activityLimitation,控制水平.GINA评估.活动受限,String,"过去4周活动受限。<br>**建议值**: `是`, `否`",否

controlLevel.treatmentStep,控制水平.当前治疗阶梯,String,"GINA 2023治疗阶梯(1-5级)。<br>**阶梯1**: 按需低剂量ICS-福莫特罗<br>**阶梯2**: 低剂量ICS-福莫特罗维持+按需,或低剂量ICS每日<br>**阶梯3**: 低剂量ICS-LABA维持+按需ICS-福莫特罗<br>**阶梯4**: 中/高剂量ICS-LABA+按需ICS-福莫特罗<br>**阶梯5**: 阶梯4+附加治疗(生物制剂/OCS)",阶梯3

symptoms.wheeze,症状.喘息,String,"**建议值**: `无`, `偶尔`, `频繁(≥2次/周)`, `持续性`, `仅运动时`, `仅夜间`",频繁(≥2次/周)
symptoms.cough,症状.咳嗽,String,"**建议值**: `无`, `偶尔`, `频繁`, `持续性`, `夜间或凌晨加重`, `运动后`",夜间或凌晨加重
symptoms.chestTightness,症状.胸闷,String,"**建议值**: `无`, `偶尔`, `频繁`, `持续性`",偶尔
symptoms.dyspnea,症状.呼吸困难,String,"**建议值**: `无`, `轻度活动时`, `日常活动时`, `休息时`",轻度活动时
symptoms.variability,症状.变异性特征,String,"哮喘典型的症状变异性。<br>**建议值**: `昼夜变异明显`, `季节性变异`, `随感染/过敏原/运动/冷空气/情绪变化`, `无明显规律`",昼夜变异明显;随过敏原变化

triggers.allergens,触发因素.过敏原,String,"**示例**: `尘螨`, `花粉`, `动物皮屑(猫/狗)`, `霉菌`, `蟑螂`",尘螨;猫毛
triggers.irritants,触发因素.刺激物,String,"**示例**: `烟雾(吸烟/二手烟)`, `强烈气味(香水/清洁剂)`, `空气污染`, `油烟`",烟雾
triggers.infections,触发因素.呼吸道感染,String,"**建议值**: `病毒感染(常见诱因)`, `细菌感染`, `支原体感染`, `无明显相关`",病毒感染
triggers.exercise,触发因素.运动,String,"**建议值**: `是(运动诱发支气管收缩)`, `否`",是
triggers.weather,触发因素.气候变化,String,"**建议值**: `冷空气`, `季节变化`, `湿度变化`, `无明显相关`",冷空气
triggers.emotions,触发因素.情绪,String,"**建议值**: `大笑`, `哭泣`, `紧张焦虑`, `无明显相关`",大笑
triggers.medications,触发因素.药物,String,"**示例**: `阿司匹林`, `NSAIDs(非甾体抗炎药)`, `β受体阻滞剂`",无
triggers.gerd,触发因素.胃食管反流,String,"**建议值**: `是(夜间哮喘加重)`, `否`",是
triggers.occupational,触发因素.职业暴露,String,"职业性哮喘。<br>**示例**: `面粉(面包师)`, `异氰酸酯(喷漆工)`, `动物蛋白(实验室)`, `无职业暴露`",无职业暴露

spirometry.date,肺功能.检查日期,Date,肺功能检查日期,2025-01-15
spirometry.prebronchodilator.fev1,肺功能.支扩前.FEV1,Number,"第1秒用力呼气容积(支扩前)。<br>单位: L",2.10
spirometry.prebronchodilator.fvc,肺功能.支扩前.FVC,Number,"用力肺活量(支扩前)。<br>单位: L",2.85
spirometry.prebronchodilator.fev1FvcRatio,肺功能.支扩前.FEV1/FVC,Number,"FEV1/FVC比值(支扩前)。<br>**<0.75-0.80**: 气流受限",0.74

spirometry.postbronchodilator.fev1,肺功能.支扩后.FEV1,Number,"支气管扩张剂后FEV1。<br>单位: L",2.50
spirometry.postbronchodilator.fvc,肺功能.支扩后.FVC,Number,"支气管扩张剂后FVC。<br>单位: L",3.10
spirometry.postbronchodilator.fev1FvcRatio,肺功能.支扩后.FEV1/FVC,Number,支气管扩张剂后比值,0.81
spirometry.postbronchodilator.fev1Predicted,肺功能.支扩后.FEV1预计值%,Number,"支扩后FEV1占预计值百分比。<br>单位: %",85

spirometry.bronchodilatorResponse,肺功能.支气管扩张试验阳性,String,"支扩试验反应性。<br>**阳性标准**: FEV1增加≥12%且≥200mL。<br>**建议值**: `阳性(支持哮喘诊断)`, `阴性`",阳性
spirometry.bronchodilatorFev1Change,肺功能.支扩后FEV1改善量,Number,"FEV1改善量。<br>单位: mL",400
spirometry.bronchodilatorFev1ChangePercent,肺功能.支扩后FEV1改善率,Number,"FEV1改善率。<br>单位: %",19

peakFlow.personalBest,峰流速.个人最佳值,Number,"个人最佳PEF。<br>单位: L/min",450
peakFlow.currentMorning,峰流速.今晨PEF,Number,"今晨峰流速。<br>单位: L/min",380
peakFlow.currentEvening,峰流速.今晚PEF,Number,"今晚峰流速。<br>单位: L/min",410
peakFlow.diurnalVariability,峰流速.昼夜变异率,Number,"昼夜变异率 = (当日最高-当日最低)/平均值×100%。<br>单位: %<br>**>10%**: 提示哮喘未控制<br>**>20%**: 明显变异",15
peakFlow.monitoring,峰流速.监测状态,String,"**建议值**: `家庭自测(每日2次)`, `仅门诊测量`, `未监测`",家庭自测

fenoTest.value,FeNO检测.数值,Number,"呼出气一氧化氮浓度。<br>单位: ppb<br>**<25**: 正常/低嗜酸性粒细胞炎症<br>**25-50**: 中度升高<br>**>50**: 高嗜酸性粒细胞炎症,ICS反应好",45
fenoTest.date,FeNO检测.检测日期,Date,FeNO检测日期,2025-01-15
fenoTest.interpretation,FeNO检测.临床意义,String,"**建议值**: `支持过敏性哮喘诊断`, `预测ICS反应性好`, `提示气道炎症未控制`, `正常范围`",提示气道炎症未控制

allergyTesting.skinPrickTest,过敏原检测.皮肤点刺试验,String,"SPT阳性过敏原。<br>**示例**: `尘螨(+++,风团直径8mm)`, `猫毛(++)`, `艾蒿花粉(+)`",尘螨(+++);猫毛(++)
allergyTesting.specificIgE,过敏原检测.血清特异性IgE,String,"sIgE检测结果。<br>**示例**: `尘螨Der p1: 50.2 kU/L(5级)`, `猫毛: 15.3 kU/L(4级)`",尘螨Der p1: 50.2 kU/L
allergyTesting.totalIgE,过敏原检测.总IgE,Number,"血清总IgE。<br>单位: IU/mL<br>**>100**: 升高(成人)<br>**明显升高**: 提示过敏性哮喘",420
