字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
encounterDate,就诊日期,Date,本次就诊日期,2025-01-15
encounterType,就诊类型,String,"**建议值**: `门诊`, `急诊`, `住院`, `ICU`",门诊

etiology.primary,病因.主要病因,String,"**中国**: 乙肝(60%),丙肝(20%),酒精(10%),其他(10%)<br>**西方**: 酒精(40%),NASH(30%),丙肝(20%),其他(10%)<br>**建议值**: `乙型肝炎`, `丙型肝炎`, `酒精性`, `非酒精性脂肪性肝炎(NASH)`, `自身免疫性肝炎`, `原发性胆汁性胆管炎(PBC)`, `原发性硬化性胆管炎(PSC)`, `血色病`, `Wilson病`, `隐源性`, `混合病因`",乙型肝炎
etiology.duration,病因.病程,Number,"肝硬化病程。<br>单位: 年",8

clinicalStage.compensation,临床分期.代偿期,String,"**代偿期**: 无并发症,Child-Pugh A级,MELD<10。<br>**失代偿期**: 出现腹水/静脉曲张出血/肝性脑病/黄疸,Child-Pugh B-C级。<br>**建议值**: `代偿期`, `失代偿期`",失代偿期
clinicalStage.decompensationEvent,临床分期.失代偿事件,String,"**首次失代偿**: 中位生存期2年。<br>**示例**: `未失代偿`, `腹水`, `静脉曲张出血`, `肝性脑病`, `黄疸`, `多个事件`",腹水

symptoms.ascites,症状.腹水,String,"**腹水**: 最常见失代偿表现(60%)。<br>**建议值**: `无`, `少量`, `中量`, `大量(张力性腹水)`, `难治性腹水`,中量
symptoms.jaundice,症状.黄疸,String,"**建议值**: `无`, `轻度`, `中度`, `重度`,轻度
symptoms.gi,症状.消化道症状,String,"**示例**: `无`, `食欲减退`, `恶心呕吐`, `腹胀`, `腹泻`,食欲减退;腹胀
symptoms.hematemesis,症状.呕血黑便,String,"**食管胃底静脉曲张破裂出血**: 年发生率10-15%,首次出血死亡率15-20%。<br>**建议值**: `无`, `既往出血史`, `本次出血(呕血/黑便)`,无
