字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,EC20250320001
diagnosisDate,确诊日期,Date,食管癌确诊日期,2025-03-20
age,年龄,Number,确诊时年龄(岁),60
gender,性别,String,患者性别,男

# 临床表现
symptoms.dysphagia,症状.吞咽困难,Boolean,"**进行性吞咽困难**: 食管癌最常见症状(90%)<br>**固体→液体**: 逐渐加重<br>**梗阻位置**: 症状出现时肿瘤已浸润2/3周径",true
symptoms.dysphagia.grade,症状.吞咽困难.分级,String,"**0级**: 无吞咽困难<br>**I级**: 咽固体食物困难<br>**II级**: 半流质困难<br>**III级**: 流质困难<br>**IV级**: 完全梗阻",II级
symptoms.odynophagia,症状.吞咽疼痛,Boolean,"**疼痛性吞咽**: 30-40%患者<br>**提示**: 深部浸润、食管炎",false
symptoms.chestPain,症状.胸痛,Boolean,"**胸骨后疼痛**: 肿瘤浸润深层<br>**放射痛**: 肩背部<br>**提示**: 局部晚期",true
symptoms.weightLoss,症状.体重下降,Boolean,"**显著体重下降**: >5kg/3月<br>**70-80%患者**: 营养不良",true
symptoms.weightLoss.amount,症状.体重下降.数值,Number,3个月内体重下降(kg),10
symptoms.regurgitation,症状.反流,Boolean,"**食物反流**: 梗阻近端食物潴留<br>**误吸**: 吸入性肺炎风险",true
symptoms.hoarseness,症状.声音嘶哑,Boolean,"**喉返神经侵犯**: 左侧常见<br>**提示**: 不可切除(T4b)",false
symptoms.cough,症状.咳嗽,Boolean,"**气管受侵**: 持续性咳嗽<br>**气管食管瘘**: 进食呛咳,严重并发症",false
symptoms.hematemesis,症状.呕血,Boolean,"**肿瘤出血**: 罕见<br>**大出血**: 侵犯大血管,危及生命",false

# 肿瘤部位
tumor.location,肿瘤.部位,String,"**中段食管**: 50-60%(最常见,鳞癌)<br>**下段食管**: 30-40%(腺癌多见)<br>**上段食管**: 5-10%<br>**胃食管交界(GEJ)**: 10-15%",中段食管
tumor.location.distance,肿瘤.距门齿距离,Number,"**上段**: 15-24cm<br>**中段**: 24-32cm<br>**下段**: 32-40cm<br>**GEJ**: >40cm",28
