时间,值
2025-04-08 16:50:00,8.4
2025-04-08 17:05:00,6.8
2025-04-08 17:20:00,5.9
2025-04-08 17:35:00,5.5
2025-04-08 17:50:00,4.9
2025-04-08 18:05:00,5.1
2025-04-08 18:20:00,5.7
2025-04-08 18:35:00,6.1
2025-04-08 18:50:00,6.5
2025-04-08 19:05:00,7.5
2025-04-08 19:20:00,8.4
2025-04-08 19:35:00,8.7
2025-04-08 19:50:00,7.3
2025-04-08 20:05:00,6.4
2025-04-08 20:20:00,7.9
2025-04-08 20:35:00,9.7
2025-04-08 20:50:00,10.7
2025-04-08 21:05:00,10.8
2025-04-08 21:20:00,10.1
2025-04-08 21:35:00,9.4
2025-04-08 21:50:00,9.3
2025-04-08 22:05:00,9.1
2025-04-08 22:20:00,8.5
2025-04-08 22:35:00,7.9
2025-04-08 22:50:00,7.8
2025-04-08 23:05:00,8.2
2025-04-08 23:20:00,7.8
2025-04-08 23:35:00,7.3
2025-04-08 23:50:00,7.1
2025-04-09 00:05:00,7.2
2025-04-09 00:20:00,7.4
2025-04-09 00:35:00,7.4
2025-04-09 00:50:00,6.8
2025-04-09 01:05:00,6.3
2025-04-09 01:20:00,6.2
2025-04-09 01:35:00,5.9
2025-04-09 01:50:00,5.6
2025-04-09 02:05:00,5.3
2025-04-09 02:20:00,5.2
2025-04-09 02:35:00,4.9
2025-04-09 02:50:00,4.3
2025-04-09 03:05:00,3.9
2025-04-09 03:20:00,3.8
2025-04-09 03:35:00,3.9
2025-04-09 03:50:00,4.0
2025-04-09 04:05:00,4.1
2025-04-09 04:20:00,4.2
2025-04-09 04:35:00,4.0
2025-04-09 04:50:00,3.6
2025-04-09 05:05:00,4.1
2025-04-09 05:20:00,4.3
2025-04-09 05:35:00,3.8
2025-04-09 05:50:00,4.3
2025-04-09 06:05:00,5.2
2025-04-09 06:20:00,5.1
2025-04-09 06:35:00,4.6
2025-04-09 06:50:00,5.0
2025-04-09 07:05:00,7.4
2025-04-09 07:20:00,10.8
2025-04-09 07:35:00,11.3
2025-04-09 07:50:00,10.5
2025-04-09 08:05:00,8.6
2025-04-09 08:20:00,7.5
2025-04-09 08:35:00,6.3
2025-04-09 08:50:00,4.5
2025-04-09 09:05:00,5.7
2025-04-09 09:20:00,7.5
2025-04-09 09:35:00,9.0
2025-04-09 09:50:00,10.0
2025-04-09 10:05:00,10.6
2025-04-09 10:20:00,9.9
2025-04-09 10:35:00,8.9
2025-04-09 10:50:00,7.4
2025-04-09 11:05:00,6.4
2025-04-09 11:20:00,5.8
2025-04-09 11:35:00,4.9
2025-04-09 11:50:00,4.3
2025-04-09 12:05:00,5.6
2025-04-09 12:20:00,6.6
2025-04-09 12:35:00,7.1
2025-04-09 12:50:00,7.4
2025-04-09 13:05:00,7.5
2025-04-09 13:20:00,8.1
2025-04-09 13:35:00,9.4
2025-04-09 13:50:00,9.3
2025-04-09 14:05:00,8.7
2025-04-09 14:20:00,8.6
2025-04-09 14:35:00,8.6
2025-04-09 14:50:00,8.2
2025-04-09 15:05:00,8.3
2025-04-09 15:20:00,9.0
2025-04-09 15:35:00,9.0
2025-04-09 15:50:00,8.8
2025-04-09 16:05:00,8.1
2025-04-09 16:20:00,8.1
2025-04-09 16:35:00,7.8
2025-04-09 16:50:00,7.4
2025-04-09 17:05:00,7.1
2025-04-09 17:20:00,7.1
2025-04-09 17:35:00,7.1
2025-04-09 17:50:00,7.1
2025-04-09 18:05:00,7.5
2025-04-09 18:20:00,7.9
2025-04-09 18:35:00,8.4
2025-04-09 18:50:00,9.1
2025-04-09 19:05:00,10.1
2025-04-09 19:20:00,10.6
2025-04-09 19:35:00,10.2
2025-04-09 19:50:00,9.4
2025-04-09 20:05:00,9.0
2025-04-09 20:20:00,9.4
2025-04-09 20:35:00,10.8
2025-04-09 20:50:00,12.4
2025-04-09 21:05:00,12.2
2025-04-09 21:20:00,11.6
2025-04-09 21:35:00,10.5
2025-04-09 21:50:00,9.8
2025-04-09 22:05:00,9.3
2025-04-09 22:20:00,8.7
2025-04-09 22:35:00,8.1
2025-04-09 22:50:00,7.7
2025-04-09 23:05:00,7.1
2025-04-09 23:20:00,6.6
2025-04-09 23:35:00,6.3
2025-04-09 23:50:00,5.9
2025-04-10 00:05:00,5.6
2025-04-10 00:20:00,5.3
2025-04-10 00:35:00,5.2
2025-04-10 00:50:00,5.0
2025-04-10 01:05:00,4.7
2025-04-10 01:20:00,4.3
2025-04-10 01:35:00,3.9
2025-04-10 01:50:00,3.9
2025-04-10 02:05:00,3.8
2025-04-10 02:20:00,3.7
2025-04-10 02:35:00,3.8
2025-04-10 02:50:00,3.9
2025-04-10 03:05:00,3.6
2025-04-10 03:20:00,3.3
2025-04-10 03:35:00,3.3
2025-04-10 03:50:00,3.7
2025-04-10 04:05:00,3.7
2025-04-10 04:20:00,3.9
2025-04-10 04:35:00,3.4
2025-04-10 04:50:00,3.5
2025-04-10 05:05:00,4.1
2025-04-10 05:20:00,4.1
2025-04-10 05:35:00,4.2
2025-04-10 05:50:00,4.6
2025-04-10 06:05:00,4.4
2025-04-10 06:20:00,5.8
2025-04-10 06:35:00,5.6
2025-04-10 06:50:00,5.3
2025-04-10 07:05:00,7.3
2025-04-10 07:20:00,9.2
2025-04-10 07:35:00,9.9
2025-04-10 07:50:00,10.2
2025-04-10 08:05:00,10.7
2025-04-10 08:20:00,11.2
2025-04-10 08:35:00,12.0
2025-04-10 08:50:00,12.3
2025-04-10 09:05:00,10.6
2025-04-10 09:20:00,9.5
2025-04-10 09:35:00,8.0
2025-04-10 09:50:00,5.8
2025-04-10 10:05:00,4.8
2025-04-10 10:20:00,3.9
2025-04-10 10:35:00,4.0
2025-04-10 10:50:00,5.3
2025-04-10 11:05:00,6.2
2025-04-10 11:20:00,6.9
2025-04-10 11:35:00,7.9
2025-04-10 11:50:00,9.3
2025-04-10 12:05:00,9.8
2025-04-10 12:20:00,9.8
2025-04-10 12:35:00,9.1
2025-04-10 12:50:00,8.2
2025-04-10 13:05:00,7.6
2025-04-10 13:20:00,8.6
2025-04-10 13:35:00,9.0
2025-04-10 13:50:00,9.0
2025-04-10 14:05:00,9.0
2025-04-10 14:20:00,9.5
2025-04-10 14:35:00,10.8
2025-04-10 14:50:00,9.9
2025-04-10 15:05:00,9.3
2025-04-10 15:20:00,8.7
2025-04-10 15:35:00,8.3
2025-04-10 15:50:00,7.9
2025-04-10 16:05:00,6.7
2025-04-10 16:20:00,6.2
2025-04-10 16:35:00,6.3
2025-04-10 16:50:00,6.6
2025-04-10 17:05:00,5.9
2025-04-10 17:20:00,5.5
2025-04-10 17:35:00,6.2
2025-04-10 17:50:00,7.3
2025-04-10 18:05:00,8.2
2025-04-10 18:20:00,9.8
2025-04-10 18:35:00,10.9
2025-04-10 18:50:00,10.2
2025-04-10 19:05:00,8.6
2025-04-10 19:20:00,7.2
2025-04-10 19:35:00,6.4
2025-04-10 19:50:00,6.4
2025-04-10 20:05:00,6.6
2025-04-10 20:20:00,6.4
2025-04-10 20:35:00,6.3
2025-04-10 20:50:00,5.8
2025-04-10 21:05:00,5.6
2025-04-10 21:20:00,5.6
2025-04-10 21:35:00,5.8
2025-04-10 21:50:00,6.2
2025-04-10 22:05:00,6.4
2025-04-10 22:20:00,6.5
2025-04-10 22:35:00,6.4
2025-04-10 22:50:00,6.2
2025-04-10 23:05:00,6.1
2025-04-10 23:20:00,5.9
2025-04-10 23:35:00,5.3
2025-04-10 23:50:00,5.0
2025-04-11 00:05:00,5.2
2025-04-11 00:20:00,5.3
2025-04-11 00:35:00,4.9
2025-04-11 00:50:00,4.4
2025-04-11 01:05:00,4.3
2025-04-11 01:20:00,4.2
2025-04-11 01:35:00,4.1
2025-04-11 01:50:00,4.0
2025-04-11 02:05:00,3.7
2025-04-11 02:20:00,3.4
2025-04-11 02:35:00,3.1
2025-04-11 02:50:00,2.8
2025-04-11 03:05:00,2.9
2025-04-11 03:20:00,3.1
2025-04-11 03:35:00,3.1
2025-04-11 03:50:00,3.3
2025-04-11 04:05:00,3.3
2025-04-11 04:20:00,3.8
2025-04-11 04:35:00,3.3
2025-04-11 04:50:00,3.1
2025-04-11 05:05:00,3.2
2025-04-11 05:20:00,3.3
2025-04-11 05:35:00,3.6
2025-04-11 05:50:00,4.1
2025-04-11 06:05:00,4.2
2025-04-11 06:20:00,5.1
2025-04-11 06:35:00,6.3
2025-04-11 06:50:00,6.8
2025-04-11 07:05:00,7.8
2025-04-11 07:20:00,9.4
2025-04-11 07:35:00,11.2
2025-04-11 07:50:00,11.9
2025-04-11 08:05:00,12.6
2025-04-11 08:20:00,12.7
2025-04-11 08:35:00,12.9
2025-04-11 08:50:00,12.0
2025-04-11 09:05:00,10.4
2025-04-11 09:20:00,8.7
2025-04-11 09:35:00,7.2
2025-04-11 09:50:00,6.1
2025-04-11 10:05:00,5.4
2025-04-11 10:20:00,5.1
2025-04-11 10:35:00,4.5
2025-04-11 10:50:00,3.7
2025-04-11 11:05:00,3.7
2025-04-11 11:20:00,4.2
2025-04-11 11:35:00,4.9
2025-04-11 11:50:00,5.2
2025-04-11 12:05:00,5.1
2025-04-11 12:20:00,4.8
2025-04-11 12:35:00,4.7
2025-04-11 12:50:00,5.7
2025-04-11 13:05:00,5.8
2025-04-11 13:20:00,5.6
2025-04-11 13:35:00,5.5
2025-04-11 13:50:00,5.7
2025-04-11 14:05:00,6.2
2025-04-11 14:20:00,6.4
2025-04-11 14:35:00,7.0
2025-04-11 14:50:00,7.4
2025-04-11 15:05:00,7.4
2025-04-11 15:20:00,7.6
2025-04-11 15:35:00,7.8
2025-04-11 15:50:00,8.1
2025-04-11 16:05:00,8.7
2025-04-11 16:20:00,9.0
2025-04-11 16:35:00,8.7
2025-04-11 16:50:00,8.4
2025-04-11 17:05:00,8.2
2025-04-11 17:20:00,8.1
2025-04-11 17:35:00,7.9
2025-04-11 17:50:00,8.0
2025-04-11 18:05:00,7.7
2025-04-11 18:20:00,7.3
2025-04-11 18:35:00,7.2
2025-04-11 18:50:00,7.5
2025-04-11 19:05:00,7.8
2025-04-11 19:20:00,7.9
2025-04-11 19:35:00,7.2
2025-04-11 19:50:00,6.0
2025-04-11 20:05:00,5.1
2025-04-11 20:20:00,4.8
2025-04-11 20:35:00,5.8
2025-04-11 20:50:00,6.8
2025-04-11 21:05:00,7.3
2025-04-11 21:20:00,7.6
2025-04-11 21:35:00,7.1
2025-04-11 21:50:00,6.1
2025-04-11 22:05:00,5.1
2025-04-11 22:20:00,4.4
2025-04-11 22:35:00,4.2
2025-04-11 22:50:00,4.2
2025-04-11 23:05:00,4.2
2025-04-11 23:20:00,4.2
2025-04-11 23:35:00,4.1
2025-04-11 23:50:00,3.8
2025-04-12 00:05:00,3.7
2025-04-12 00:20:00,3.6
2025-04-12 00:35:00,3.3
2025-04-12 00:50:00,3.3
2025-04-12 01:05:00,3.4
2025-04-12 01:20:00,3.7
2025-04-12 01:35:00,4.4
2025-04-12 01:50:00,5.0
2025-04-12 02:05:00,5.5
2025-04-12 02:20:00,5.9
2025-04-12 02:35:00,5.7
2025-04-12 02:50:00,4.9
2025-04-12 03:05:00,4.6
2025-04-12 03:20:00,4.1
2025-04-12 03:35:00,3.4
2025-04-12 03:50:00,3.2
2025-04-12 04:05:00,3.1
2025-04-12 04:20:00,3.3
2025-04-12 04:35:00,3.4
2025-04-12 04:50:00,3.3
2025-04-12 05:05:00,3.3
2025-04-12 05:20:00,3.2
2025-04-12 05:35:00,3.3
2025-04-12 05:50:00,3.7
2025-04-12 06:05:00,3.9
2025-04-12 06:20:00,3.8
2025-04-12 06:35:00,4.4
2025-04-12 06:50:00,6.3
2025-04-12 07:05:00,6.3
2025-04-12 07:20:00,6.6
2025-04-12 07:35:00,7.3
2025-04-12 07:50:00,8.1
2025-04-12 08:05:00,8.2
2025-04-12 08:20:00,7.7
2025-04-12 08:35:00,6.3
2025-04-12 08:50:00,5.6
2025-04-12 09:05:00,5.5
2025-04-12 09:20:00,5.4
2025-04-12 09:35:00,5.3
2025-04-12 09:50:00,5.7
2025-04-12 10:05:00,5.9
2025-04-12 10:20:00,5.7
2025-04-12 10:35:00,5.3
2025-04-12 10:50:00,5.1
2025-04-12 11:05:00,5.4
2025-04-12 11:20:00,4.7
2025-04-12 11:35:00,5.1
2025-04-12 11:50:00,6.3
2025-04-12 12:05:00,7.3
2025-04-12 12:20:00,8.7
2025-04-12 12:35:00,10.4
2025-04-12 12:50:00,11.3
2025-04-12 13:05:00,11.3
2025-04-12 13:20:00,10.7
2025-04-12 13:35:00,10.6
2025-04-12 13:50:00,10.3
2025-04-12 14:05:00,9.2
2025-04-12 14:20:00,8.1
2025-04-12 14:35:00,8.0
2025-04-12 14:50:00,8.1
2025-04-12 15:05:00,8.0
2025-04-12 15:20:00,7.1
2025-04-12 15:35:00,5.2
2025-04-12 15:50:00,5.4
2025-04-12 16:05:00,5.2
