ICD-10代码,速记码,拼音码,中文名称,英文名称,分类,描述,严重程度
K21.9,GERD,WSFLLXJBY,胃食管反流病,GERD,消化系统疾病,胃食管反流病,中等
K25.9,PU-GASTRIC,WKY,胃溃疡,Gastric ulcer,消化系统疾病,胃溃疡,中等
K26.9,PU-DUODENAL,SEZCKYKYWC,十二指肠溃疡,Duodenal ulcer,消化系统疾病,十二指肠溃疡,中等
K29.70,GASTRITIS,WY,胃炎,Gastritis,消化系统疾病,胃炎未特指,轻度
K29.00,GASTRITIS-ACUTE,JXWY,急性胃炎,Acute gastritis,消化系统疾病,急性胃炎,中等
K29.50,GASTRITIS-CHRONIC,MXWY,慢性胃炎,Chronic atrophic gastritis,消化系统疾病,慢性萎缩性胃炎,中等
K92.2,GI-BLEED,XHDCX,消化道出血,GI hemorrhage,消化系统疾病,胃肠出血,严重
K92.0,HEMATEMESIS,TUX,吐血,Hematemesis,消化系统疾病,呕血,严重
K92.1,MELENA,HXBWTZ,黑便,Melena,消化系统疾病,黑便未特指,严重
K70.30,ALD-CIRRHOSIS,JJXGGYHB,酒精性肝硬化,Alcoholic cirrhosis,消化系统疾病-肝病,酒精性肝硬化,严重
K74.60,CIRRHOSIS,GGHYWTZ,肝硬化,Cirrhosis,消化系统疾病-肝病,肝硬化未特指,严重
K72.00,ACUTE-LIVER-FAIL,JXGSJ,急性肝衰竭,Acute liver failure,消化系统疾病-肝病,急性肝功能衰竭,危重
K76.7,HEPATORENAL-SYND,GSZZHZ,肝肾综合征,Hepatorenal syndrome,消化系统疾病-肝病,肝肾综合征,危重
K51.90,UC,KYXJCY,溃疡性结肠炎,Ulcerative colitis,炎症性肠病,溃疡性结肠炎,严重
K50.90,CROHN,KLEB,克罗恩病,Crohn disease,炎症性肠病,克罗恩病,严重
K57.90,DIVERTICULITIS,JCXSYWTZ,结肠憩室炎,Diverticulitis,消化系统疾病,憩室炎未特指,中等
K85.90,PANCREATITIS-ACUTE,JXYXY,急性胰腺炎,Acute pancreatitis,消化系统疾病,急性胰腺炎,严重
K86.1,PANCREATITIS-CHRONIC,MXYXY,慢性胰腺炎,Chronic pancreatitis,消化系统疾病,慢性胰腺炎,严重
K80.20,CHOLELITHIASIS,DNJSZWDNDY,胆囊结石,Cholelithiasis,消化系统疾病,胆囊结石无胆囊炎,中等
K81.9,CHOLECYSTITIS,DNDY,胆囊炎,Cholecystitis,消化系统疾病,胆囊炎,中等
K83.0,CHOLANGITIS,DGDY,胆管炎,Cholangitis,消化系统疾病,胆管炎,严重
K65.9,PERITONITIS,FMYWTZ,腹膜炎,Peritonitis,消化系统疾病,腹膜炎未特指,严重
K40.90,HERNIA-INGUINAL,GWSQ,腹股沟疝,Inguinal hernia,腹壁疾病,腹股沟疝未嵌顿,中等
K42.9,HERNIA-UMBILICAL,QS,脐疝,Umbilical hernia,腹壁疾病,脐疝未嵌顿,轻度
K56.60,SBO,XBXCGZ,小肠梗阻,Small bowel obstruction,消化系统急症,部分性小肠梗阻,严重
K56.41,ILEUS,FJXCGZ,麻痹性肠梗阻,Paralytic ileus,消化系统急症,麻痹性肠梗阻,严重
K55.0,MESENTERIC-ISCH,JXCXMXQX,急性肠系膜缺血,Acute mesenteric ischemia,消化系统急症,肠系膜血管缺血,危重
G40.909,EPILEPSY,DX,癫痫,Epilepsy,神经系统疾病,癫痫未特指,严重
G40.A09,STATUS-EPILEPSY,DXCZZT,癫痫持续状态,Status epilepticus,神经系统疾病,癫痫持续状态,危重
G20,PARKINSON,PJSB,帕金森病,Parkinson disease,神经系统疾病,帕金森病,严重
G30.9,ALZHEIMER,ADCDB,阿尔茨海默病,Alzheimer disease,神经系统疾病,阿尔茨海默病未特指,严重
G31.84,MCI,QDRZSGZ,轻度认知损害,Mild cognitive impairment,神经系统疾病,轻度认知功能障碍,中等
