参数编号,参数分类,参数名称,中文名称,数据类型,单位,正常范围,临床意义,数据源,系统字段名,触发阈值,分析用途
1,基础信息,patient_id,患者ID,VARCHAR,无,唯一标识,患者身份识别,demographics,patient_id,无,数据关联
2,基础信息,name,患者姓名,VARCHAR,无,无,患者身份识别,demographics,name,无,数据关联
3,基础信息,age,年龄,INTEGER,岁,18-45,孕产妇年龄,demographics,age,≥35高龄,年龄相关分析
4,基础信息,gestational_weeks,孕周,INTEGER,周,1-42,妊娠时间,demographics,gestational_weeks,分孕期评估,孕期分层分析
5,基础信息,assessment_date,评估日期,DATE,无,无,评估时间记录,demographics,assessment_date,无,时间序列分析
6,基础信息,assessment_type,评估类型,CATEGORY,无,initial/followup/final,评估阶段,demographics,assessment_type,无,评估阶段分析
7,人口统计学,ethnicity,种族,CATEGORY,无,han/minority/mixed,种族差异分析,demographics,ethnicity,han族GDM风险高,种族差异研究
8,人口统计学,education,教育程度,CATEGORY,无,primary/secondary/tertiary,社会经济地位,demographics,education,低教育影响认知,教育与健康研究
9,人口统计学,occupation,职业,VARCHAR,无,无,职业暴露评估,demographics,occupation,久坐职业风险高,职业健康研究
10,体格测量,height,身高,DECIMAL,cm,140-180,体格发育评估,physical,height,无,BMI计算
11,体格测量,pre_pregnancy_weight,孕前体重,DECIMAL,kg,35-120,孕前营养状态,physical,pre_pregnancy_weight,肥胖高风险,体重管理分析
12,体格测量,current_weight,当前体重,DECIMAL,kg,40-150,当前营养状态,physical,current_weight,增重过快风险,妊娠体重管理
13,体格测量,waist_circumference,腰围,DECIMAL,cm,60-120,中心性肥胖,physical,waist_circumference,≥80cm风险增加,代谢综合征评估
14,病史信息,previous_gdm,既往GDM史,BOOLEAN,是/否,无/有,最强预测因子,medical_history,previous_gdm,有史复发率高,GDM复发研究
15,病史信息,family_diabetes,家族糖尿病史,CATEGORY,无,none/first_degree/second_degree/both_parents,遗传易感性,medical_history,family_diabetes,一级亲属风险高,遗传风险评估
16,病史信息,steroid_use,激素使用史,BOOLEAN,是/否,无/有,药物性糖尿病,medical_history,steroid_use,使用史风险高,药物性糖尿病研究
17,病史信息,pcos,多囊卵巢综合征,BOOLEAN,是/否,无/有,内分泌代谢异常,medical_history,pcos,PCOS风险增加,PCOS与GDM研究
18,病史信息,thyroid_disease,甲状腺疾病,BOOLEAN,是/否,无/有,内分泌异常,medical_history,thyroid_disease,甲状腺病影响糖代谢,甲状腺与糖代谢
19,病史信息,antipsychotic_use,抗精神病药使用,BOOLEAN,是/否,无/有,药物性代谢异常,medical_history,antipsychotic_use,使用史风险增加,精神药物代谢影响
20,病史信息,previous_macrosomia,既往巨大儿史,BOOLEAN,是/否,无/有,既往不良妊娠结局,medical_history,previous_macrosomia,巨大儿史风险高,不良妊娠结局研究
21,病史信息,previous_stillbirth,既往死胎史,BOOLEAN,是/否,无/有,既往不良妊娠结局,medical_history,previous_stillbirth,死胎史风险高,不良妊娠结局研究
22,妊娠信息,gravidity,妊娠次数,INTEGER,次,1-10,妊娠史,pregnancy,gravidity,多次妊娠风险,妊娠次数与风险
23,妊娠信息,parity,分娩次数,INTEGER,次,0-8,分娩史,pregnancy,parity,多产次风险,分娩次数分析
24,妊娠信息,multiple_pregnancy,多胎妊娠,BOOLEAN,是/否,无/有,特殊妊娠类型,pregnancy,multiple_pregnancy,多胎风险增加,多胎妊娠研究
25,妊娠信息,assisted_reproduction,辅助生殖,BOOLEAN,是/否,无/有,辅助生殖技术,pregnancy,assisted_reproduction,ART风险增加,辅助生殖与GDM
26,实验室检查,fasting_glucose,空腹血糖,DECIMAL,mmol/L,3.9-5.6,空腹糖代谢,laboratory,fasting_glucose,≥5.1mmol/L GDM,血糖诊断研究
27,实验室检查,random_glucose,随机血糖,DECIMAL,mmol/L,<7.8,随机糖代谢,laboratory,random_glucose,≥11.1mmol/L糖尿病,随机血糖筛查
28,实验室检查,hba1c,糖化血红蛋白,DECIMAL,%,4.0-5.7,3个月血糖控制,laboratory,hba1c,≥6.5%糖尿病,血糖控制研究
29,实验室检查,crp,C反应蛋白,DECIMAL,mg/L,<3.0,炎症反应,laboratory,crp,≥3.0炎症风险,炎症与GDM研究
30,实验室检查,wbc_count,白细胞计数,DECIMAL,×10⁹/L,4.0-12.0,感染免疫,laboratory,wbc_count,>12.0感染风险,感染免疫研究
31,实验室检查,triglycerides,甘油三酯,DECIMAL,mmol/L,<2.3,脂肪代谢,laboratory,triglycerides,≥2.3高甘油三酯,脂代谢异常研究
32,实验室检查,hdl_cholesterol,高密度脂蛋白胆固醇,DECIMAL,mmol/L,>1.0,保护性脂蛋白,laboratory,hdl_cholesterol,<1.0代谢异常,HDL-C研究
33,实验室检查,uric_acid,尿酸,DECIMAL,μmol/L,155-420,高尿酸血症,laboratory,uric_acid,>420高尿酸,高尿酸与代谢
34,实验室检查,systolic_bp,收缩压,INTEGER,mmHg,<140,心血管风险,laboratory,systolic_bp,≥140高血压,高血压研究
35,实验室检查,diastolic_bp,舒张压,INTEGER,mmHg,<90,心血管风险,laboratory,diastolic_bp,≥90高血压,血压控制研究
