timestamp,glucose_value
2025-07-28 00:00:00,8.0
2025-07-28 00:15:00,7.1
2025-07-28 00:30:00,8.3
2025-07-28 00:45:00,9.6
2025-07-28 01:00:00,6.9
2025-07-28 01:15:00,6.9
2025-07-28 01:30:00,9.7
2025-07-28 01:45:00,8.4
2025-07-28 02:00:00,6.6
2025-07-28 02:15:00,8.1
2025-07-28 02:30:00,6.6
2025-07-28 02:45:00,6.6
2025-07-28 03:00:00,7.7
2025-07-28 03:15:00,4.4
2025-07-28 03:30:00,4.7
2025-07-28 03:45:00,6.4
2025-07-28 04:00:00,5.8
2025-07-28 04:15:00,7.8
2025-07-28 04:30:00,5.9
2025-07-28 04:45:00,5.2
2025-07-28 05:00:00,9.5
2025-07-28 05:15:00,7.0
2025-07-28 05:30:00,7.4
2025-07-28 05:45:00,5.2
2025-07-28 06:00:00,8.9
2025-07-28 06:15:00,9.9
2025-07-28 06:30:00,8.0
2025-07-28 06:45:00,10.3
2025-07-28 07:00:00,8.8
2025-07-28 07:15:00,9.3
2025-07-28 07:30:00,8.8
2025-07-28 07:45:00,12.5
2025-07-28 08:00:00,9.7
2025-07-28 08:15:00,8.1
2025-07-28 08:30:00,11.0
2025-07-28 08:45:00,7.9
2025-07-28 09:00:00,7.6
2025-07-28 09:15:00,4.4
2025-07-28 09:30:00,5.3
2025-07-28 09:45:00,7.6
2025-07-28 10:00:00,8.4
2025-07-28 10:15:00,7.5
2025-07-28 10:30:00,7.1
2025-07-28 10:45:00,6.8
2025-07-28 11:00:00,5.1
2025-07-28 11:15:00,6.2
2025-07-28 11:30:00,6.6
2025-07-28 11:45:00,8.9
2025-07-28 12:00:00,11.9
2025-07-28 12:15:00,8.7
2025-07-28 12:30:00,11.8
2025-07-28 12:45:00,10.8
2025-07-28 13:00:00,10.3
2025-07-28 13:15:00,12.3
2025-07-28 13:30:00,12.9
2025-07-28 13:45:00,12.7
2025-07-28 14:00:00,10.1
2025-07-28 14:15:00,10.9
2025-07-28 14:30:00,11.8
2025-07-28 14:45:00,12.8
2025-07-28 15:00:00,6.6
2025-07-28 15:15:00,7.0
2025-07-28 15:30:00,5.6
2025-07-28 15:45:00,5.5
2025-07-28 16:00:00,8.5
2025-07-28 16:15:00,9.3
2025-07-28 16:30:00,7.2
2025-07-28 16:45:00,8.8
2025-07-28 17:00:00,7.8
2025-07-28 17:15:00,6.3
2025-07-28 17:30:00,7.8
2025-07-28 17:45:00,9.6
2025-07-28 18:00:00,8.9
2025-07-28 18:15:00,11.3
2025-07-28 18:30:00,5.0
2025-07-28 18:45:00,10.1
2025-07-28 19:00:00,9.0
2025-07-28 19:15:00,8.5
2025-07-28 19:30:00,9.0
2025-07-28 19:45:00,5.9
2025-07-28 20:00:00,8.6
2025-07-28 20:15:00,9.4
2025-07-28 20:30:00,11.1
2025-07-28 20:45:00,8.1
2025-07-28 21:00:00,6.1
2025-07-28 21:15:00,6.5
2025-07-28 21:30:00,8.7
2025-07-28 21:45:00,7.8
2025-07-28 22:00:00,6.5
2025-07-28 22:15:00,8.1
2025-07-28 22:30:00,7.4
2025-07-28 22:45:00,8.7
2025-07-28 23:00:00,6.2
2025-07-28 23:15:00,6.8
2025-07-28 23:30:00,6.7
2025-07-28 23:45:00,5.1
2025-07-29 00:00:00,7.7
2025-07-29 00:15:00,7.7
