表名,字段名,数据类型,必填,中文说明,交互设计,验证规则,选项值,关联关系,备注,题目编号,
# ==================== 系统基础信息 ====================,,,,,,,,,,,
system_basic_info,system_id,VARCHAR_50,是,系统唯一标识,自动生成,系统生成,,,系统基础信息表，记录医院医生等基本信息,,
system_basic_info,hospital_code,VARCHAR_20,是,医院代码,下拉选择,必选,医院代码字典,,,,
system_basic_info,hospital_name,VARCHAR_100,是,医院名称,联动自动填充,联动填充,,,,,
system_basic_info,department_code,VARCHAR_20,是,科室代码,下拉选择,必选,科室代码字典,,,,
system_basic_info,department_name,VARCHAR_100,是,科室名称,联动自动填充,联动填充,,,,,
system_basic_info,doctor_id,VARCHAR_20,是,医生ID,登录用户自动填充,系统填充,,,,,
system_basic_info,doctor_name,VARCHAR_50,是,医生姓名,登录用户自动填充,系统填充,,,,,
system_basic_info,create_time,TIMESTAMP,是,创建时间,系统自动生成,系统生成,,,,,
system_basic_info,update_time,TIMESTAMP,是,更新时间,系统自动更新,系统更新,,,,,
,,,,,,,,,,,
# ==================== 患者一般信息 ====================,,,,,,,,,,,
patient_basic_info,patient_id,VARCHAR_32,是,患者唯一ID,UUID自动生成,系统生成,,,患者基本信息表，记录患者个人资料,,
patient_basic_info,id_card_number,VARCHAR_18,是,身份证号,输入框,18位身份证校验,,,,P1,
patient_basic_info,name,VARCHAR_50,是,姓名,输入框,2到10个字符,,,,P2,
patient_basic_info,gender,TINYINT,是,性别,单选按钮,从身份证自动提取,1男;2女,,,P3,
patient_basic_info,birth_date,DATE,是,出生年月日,日期选择器,从身份证自动提取,,,,P4,
patient_basic_info,age,INT,是,年龄,数字显示,根据出生日期自动计算,,,,P5,
patient_basic_info,registration_time,TIMESTAMP,是,录入时间,时间显示,系统当前时间,,,,P6,
patient_basic_info,source_type,TINYINT,是,来源,单选按钮,必选,1门诊;2住院,,,P7,
patient_basic_info,hospitalization_number,VARCHAR_20,否,住院号,输入框,选择住院时必填,,source_type,当来源为住院时必填,P7A,
patient_basic_info,contact_phone,VARCHAR_20,是,联系方式,输入框,手机号格式验证,,,,P8,
patient_basic_info,address_province,VARCHAR_20,是,省份,级联选择器,三级联动,省份字典,,,P9,
patient_basic_info,address_city,VARCHAR_20,是,城市,级联选择器,三级联动,城市字典,,,P9A,
patient_basic_info,address_district,VARCHAR_20,是,区县,级联选择器,三级联动,区县字典,,,P9B,
patient_basic_info,address_detail,VARCHAR_200,是,详细地址,文本框,详细地址填写,,,,P9C,
patient_basic_info,occupation,TINYINT,是,职业类型,下拉选择,9种职业分类,1专业人士;2服务业;3自由职业;4工人;5公司职员;6事业单位;7学生;8家庭主妇;9其他,,,P10,
patient_basic_info,marital_status,TINYINT,是,婚姻状况,单选按钮,5种状态选择,1已婚;2未婚;3离异;4丧偶;5不详,,,P11,
patient_basic_info,family_members_count,TINYINT,是,常驻家庭成员数量,数字输入,1到10人范围,,,,P12,
patient_basic_info,education_level,TINYINT,是,最高文化程度,下拉选择,5个等级,1小学及以下;2初中;3高中技校中专;4大专大学;5硕士及以上,,,P13,
patient_basic_info,annual_income,TINYINT,是,家庭每年收入,下拉选择,4个收入区间,1小于3万元;2_3到9.9万元;3_10到30万元;4大于30万元,,,P14,
patient_basic_info,insurance_types,JSON,是,保险类型,多选框,JSON存储多选结果,城镇职工医疗保险;城镇居民医疗保险;新型农村合作医疗保险;城乡居民医疗保险;公费医疗;医疗救助;商业医疗保险单位购买;商业医疗保险个人购买;其他医疗保险;没有保险,,,P15,
,,,,,,,,,,,
# ==================== 糖尿病史 ====================,,,,,,,,,,,
diabetes_history,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,糖尿病史表，记录糖尿病相关病史,
diabetes_history,has_diabetes,BOOLEAN,是,是否有糖尿病,是否选择,必选,是否,,,D1,
diabetes_history,diagnosis_year,YEAR,否,诊断年份,年份选择器,糖尿病为是时必填,,has_diabetes,当糖尿病为是时必填,D1A,
diabetes_history,diabetes_type,TINYINT,否,糖尿病类型,下拉选择,糖尿病为是时必选,1不清楚;2_1型糖尿病;3_2型糖尿病;4妊娠期糖尿病;5单基因糖尿病;6胰腺外分泌疾病;7内分泌疾病引起;8医源性糖尿病;9其它继发性,has_diabetes,当糖尿病为是时必填,D1B,
diabetes_history,current_medication,BOOLEAN,否,目前是否用药,是否选择,糖尿病为是时必选,是否,has_diabetes,当糖尿病为是时必填,D1C,
diabetes_history,medication_list,JSON,否,用药清单,动态药物选择组件,用药为是时必填,,,当用药为是时详细记录,D1D,
,,,,,,,,,,,
# ==================== 糖尿病并发症 ====================,,,,,,,,,,,
diabetes_complications,patient_id,VARCHAR_32,是,患者ID,外键关联,外键约束,,,外键关联patient_basic_info,糖尿病并发症表,
diabetes_complications,diabetic_nephropathy,BOOLEAN,是,糖尿病肾病,是否选择,必选,是否,,,D2A,
diabetes_complications,nephropathy_diagnosis_year,YEAR,否,糖尿病肾病诊断年份,年份选择器,糖尿病肾病为是时必填,,diabetic_nephropathy,D2A1,,
diabetes_complications,nephropathy_medication,BOOLEAN,否,糖尿病肾病是否用药,是否选择,糖尿病肾病为是时必选,是否,diabetic_nephropathy,D2A2,,
diabetes_complications,nephropathy_medication_details,JSON,否,糖尿病肾病用药详情,动态药物选择组件,肾病用药为是时必填,,,nephropathy_medication,关联medication_list表,D2A2A
diabetes_complications,diabetic_retinopathy,BOOLEAN,是,糖尿病视网膜病变,是否选择,必选,是否,,,D2B,
diabetes_complications,retinopathy_diagnosis_year,YEAR,否,糖尿病视网膜病变诊断年份,年份选择器,糖尿病视网膜病变为是时必填,,diabetic_retinopathy,D2B1,,
diabetes_complications,retinopathy_medication,BOOLEAN,否,糖尿病视网膜病变是否用药,是否选择,糖尿病视网膜病变为是时必选,是否,diabetic_retinopathy,D2B2,,
diabetes_complications,retinopathy_medication_details,JSON,否,糖尿病视网膜病变用药详情,动态药物选择组件,视网膜病变用药为是时必填,,,retinopathy_medication,关联medication_list表,D2B2A
diabetes_complications,diabetic_neuropathy,BOOLEAN,是,糖尿病周围神经病变,是否选择,必选,是否,,,D2C,
diabetes_complications,neuropathy_diagnosis_year,YEAR,否,糖尿病周围神经病变诊断年份,年份选择器,糖尿病周围神经病变为是时必填,,diabetic_neuropathy,D2C1,,
diabetes_complications,neuropathy_medication,BOOLEAN,否,糖尿病周围神经病变是否用药,是否选择,糖尿病周围神经病变为是时必选,是否,diabetic_neuropathy,D2C2,,
diabetes_complications,neuropathy_medication_details,JSON,否,糖尿病周围神经病变用药详情,动态药物选择组件,神经病变用药为是时必填,,,neuropathy_medication,关联medication_list表,D2C2A
diabetes_complications,diabetic_foot,BOOLEAN,是,糖尿病足,是否选择,必选,是否,,,D2D,
diabetes_complications,foot_diagnosis_year,YEAR,否,糖尿病足诊断年份,年份选择器,糖尿病足为是时必填,,diabetic_foot,D2D1,,
diabetes_complications,foot_severity,TINYINT,否,糖尿病足程度,单选按钮,糖尿病足为是时必选,1单足;2双足,diabetic_foot,D2D2,,
diabetes_complications,foot_amputation,BOOLEAN,否,是否截肢,是否选择,糖尿病足为是时必选,是否,diabetic_foot,D2D3,,
,,,,,,,,,,,
