ID,分类,名称,简称,单位,次选单位,转换因子,值类型,参考值下限,参考值上限
2,糖尿病,餐后 2h 血糖,GLU2,mmol/L,,,数值,,
3,糖尿病,空腹胰岛素,INS0,pmol/L,μU/mL,6.965,数值,27.9,83.6
4,糖尿病,餐后2小时胰岛素,INS2,pmol/L,μU/mL,6.965,数值,27.9,83.6
5,糖尿病,空腹C肽,CP0,nmol/L,ng/dL,0.333,数值,0.3,1.3
6,糖尿病,餐后二小时C肽,CP2,nmol/L,ng/dL,0.333,数值,0.3,1.3
7,肾功能,尿微量蛋白,u-mALB,μg/min,,,数值,,
8,糖尿病,糖化血红蛋白,HbA1C,%,,,数值,4,6
12,血脂,总胆固醇,TCHOL,mmol/L,,,数值,,
13,血脂,甘油三酯,TG,mmol/L,,,数值,,
14,血脂,低密度脂蛋白胆固醇,LDL-CH,mmol/L,,,数值,,
15,血脂,高密度脂蛋白胆固醇,HDL-CH,mmol/L,,,数值,,
16,肝功能,血清丙氨酸氨基转移酶,"ALT, GPT",U/L,,,数值,,
17,肝功能,血清天门冬氨酸氨基转移酶,"AST, GOT",U/L,,,数值,,
18,肾功能,尿液肌酐,U-CREA,mmol/L,,,数值,,
19,肾功能,血清尿酸,UA,umol/L,,,数值,,
20,糖尿病,胰岛细胞抗体,ICA,/,,,枚举,,
21,糖尿病,血清抗谷氨酸脱羧酶抗体,GAD-Ab,/,,,枚举,,
22,肾功能,尿微量白蛋白/尿肌酐,U-mALB/U-CREA,mg/g,,,数值,,
23,甲状腺疾病,血清促甲状腺素,TSH,mIU/L,,,数值,,
24,甲状腺疾病,血清甲状腺素,T4,nmol/L,,,数值,,
25,甲状腺疾病,血清三碘甲状原氨酸,T3,nmol/L,,,数值,,
26,甲状腺疾病,血清游离甲状腺素测定,FT4,pmol/L,,,数值,,
27,甲状腺疾病,血清游离三碘甲状原氨酸,FT3,pmol/L,,,数值,,
28,甲状腺疾病,抗甲状腺球蛋白抗体,TG-Ab,KIU/L,,,数值,,
29,甲状腺疾病,抗甲状腺过氧化物酶抗体,TPO-Ab,KIU/L,,,数值,,
30,常规,血红蛋白,Hb,g/L,,,数值,,
31,常规,血小板计数,PLT,10^9/L,,,数值,,
32,常规,红细胞计数,RBC,10^12/L,,,数值,,
33,常规,白细胞计数,WBC,10^9/L,,,数值,,
34,肝功能,血清谷氨酰基转移酶,GGT,U/L,,,数值,,
35,肾功能,尿素(尿素氮),UREA,mmol/L,mg/dL,0.714,数值,3.6,14.2
36,肾功能,血清肌酐,CREA,μmol/L,mg/dL,88.402,数值,44,133
37,糖尿病,胰岛素自身抗体,IAA,/,,,枚举,,
38,糖尿病,空腹血糖,GLU(0h),mmol/L,,,数值,,
39,糖尿病,餐后半小时血糖,GLU(0.5h),mmol/L,,,数值,,
40,糖尿病,餐后一小时血糖,GLU(1h),mmol/L,,,数值,,
41,糖尿病,餐后二小时血糖,GLU(2h),mmol/L,,,数值,,
42,糖尿病,餐后三小时血糖,GLU(3h),mmol/L,,,数值,,
43,糖尿病,血清果糖胺(糖化白蛋白)测定,FRA,mmol/L,,,数值,,
47,心血管风险,血清肌酸激酶,CK,U/L,,,数值,,
48,心血管风险,血清肌酸激酶同工酶活性,CK-MB,U/L,,,数值,,
49,心血管风险,乳酸脱氢酶,LDH,ng/mL,,,数值,,
50,心血管风险,脑钠肽,BNP,ng/L,,,数值,,
51,心血管风险,肌钙蛋白T,TnT,μg/L,,,数值,,
52,心血管风险,肌钙蛋白I,TnI,μg/L,,,数值,,
54,糖尿病,空腹静脉血糖,GLU,mmol/L,,,数值,3.9,6.1
55,糖尿病,餐后2小时静脉血糖,PBG,mmol/L,,,数值,,7.8
56,糖尿病,葡萄糖,GLU,mg/dL,,,数值,,
57,糖尿病,酮体,KET,mg/dL,,,数值,,
58,常规,白细胞（高倍视野）,WBC-M,/HPF,,,数值,0,5.4
59,肾功能,肾小球滤过率（MDRD）,eGFR,ml/min/1.73㎡,,,数值,90,120
100001,肝功能,r-谷氨酶,"r-GT, GGT",U/L,,,数值,,
100002,肝功能,总胆红素,TBil,μmol/L,mg/dL,17.1,数值,3.4,20
100003,常规,血清白蛋白,ALB,g/L,g/dL,10,数值,40,55
100004,肾功能,肾小球滤过率（MDRD）,eGFR,ml/min/1.73 m^2,,,数值,60,
100005,心血管风险,C反应蛋白,CRP,mg/L,,,数值,0,3
100006,血脂,载脂蛋白B,ApoB,g/L,,,数值,0.6,1.1
100007,血脂,载脂蛋白A1,ApoA1,g/L,,,数值,1,1.6
100008,血脂,脂蛋白(a),Lp(a),mg/dL,,,数值,0,30
100009,高血压,醛固酮/肾素比,ARR,ng/dL per ng/mL/h,,,数值,0,30
100010,肝功能,铁蛋白,Ferritin,ng/mL,,,数值,30,400
100011,心血管风险,纤维蛋白原,Fibrinogen,g/L,,,数值,2,4
100012,肾功能,尿酸/肌酐比,UA/CREA,mg/mg,,,数值,0.2,0.7
200001,体格检查,身高,BH,m,cm,0.01,数值,,
200002,体格检查,体重,BW,kg,,,数值,,
200003,体格检查,体重指数,BMI,kg/m^2,,,数值,18.5,23.9
200004,体格检查,腰围,WC,cm,,,数值,,
200005,血压监测,收缩压,SBP,mmHg,,,数值,90,120
200006,血压监测,舒张压,DBP,mmHg,,,数值,60,80
200007,体格检查,腰臀比,WHR,/,,,数值,,
200008,血压监测,心率,HR,bpm,,,数值,60,100
200009,体格检查,臀围,HC,cm,,,数值,,
200010,体格检查,颈围,NC,cm,,,数值,,
200011,血压监测,脉压差,PP,mmHg,,,数值,30,50
