参数编号,参数分类,参数名称,中文名称,数据类型,单位,正常范围,临床意义,数据源,系统字段名,触发阈值,分析用途
1,基础人口学,patient_id,患者ID,VARCHAR,无,唯一标识,患者身份识别,demographics,patient_id,无,数据关联
2,基础人口学,age,年龄,INTEGER,岁,0-120,年龄分层治疗,demographics,age,分层阈值: 30/50/70,年龄相关分析
3,基础人口学,gender,性别,CATEGORY,无,男/女,性别差异分析,demographics,gender,无,性别分层分析
4,基础人口学,diabetes_type,糖尿病类型,CATEGORY,无,1型/2型,治疗方案选择,demographics,diabetes_type,无,疾病分型研究
5,基础人口学,diabetes_duration,糖尿病病程,INTEGER,年,≥0,并发症风险评估,demographics,duration_years,≥10年高风险,病程相关分析
6,体格检查,height_cm,身高,DECIMAL,cm,100-250,体格发育评估,physical,height_cm,无,BMI计算
7,体格检查,weight_kg,体重,DECIMAL,kg,20-200,营养状态评估,physical,weight_kg,变化>5%,体重管理分析
8,体格检查,bmi,体质量指数,DECIMAL,kg/m²,18.5-24.9,肥胖程度评估,physical,bmi,≥25超重≥30肥胖,肥胖相关研究
9,体格检查,waist_circumference,腰围,DECIMAL,cm,男<90女<85,中心性肥胖,physical,waist_cm,男≥90女≥80,代谢综合征
10,体格检查,hip_circumference,臀围,DECIMAL,cm,50-200,脂肪分布,physical,hip_cm,无,体脂分布研究
11,体格检查,waist_hip_ratio,腰臀比,DECIMAL,比值,男<0.9女<0.85,脂肪分布类型,physical,whr,男≥0.9女≥0.85,心血管风险
12,体格检查,body_fat_percentage,体脂率,DECIMAL,%,男10-25女20-35,身体成分,physical,body_fat,≥30%肥胖,身体成分分析
13,体格检查,muscle_mass,肌肉量,DECIMAL,kg,20-80,肌少症评估,physical,muscle_mass,年龄相关下降,肌少症研究
14,体格检查,bone_density,骨密度,DECIMAL,g/cm²,T值>-1,骨质疏松,physical,bone_density,T值<-2.5,骨质疏松症
15,体格检查,visceral_fat_level,内脏脂肪等级,INTEGER,级,1-30,内脏肥胖,physical,visceral_fat,≥10高风险,代谢风险评估
16,血压心血管,systolic_bp,收缩压,INTEGER,mmHg,<130,心血管风险,cardiovascular,systolic_bp,≥140高血压,高血压研究
17,血压心血管,diastolic_bp,舒张压,INTEGER,mmHg,<80,心血管风险,cardiovascular,diastolic_bp,≥90高血压,血压控制研究
18,血压心血管,pulse_pressure,脉压差,INTEGER,mmHg,30-50,动脉硬化指标,cardiovascular,pulse_pressure,>60增加风险,血管硬化研究
19,血压心血管,heart_rate,心率,INTEGER,次/分,60-100,心律评估,cardiovascular,heart_rate,>100心动过速,心律失常研究
20,血压心血管,mean_arterial_pressure,平均动脉压,DECIMAL,mmHg,70-105,组织灌注,cardiovascular,map,<65灌注不足,循环评估
21,血压心血管,arterial_stiffness,动脉硬化度,DECIMAL,m/s,<10,血管弹性,cardiovascular,pwv,>10m/s硬化,动脉硬化研究
22,血压心血管,ankle_brachial_index,踝臂指数,DECIMAL,比值,0.9-1.3,外周血管病,cardiovascular,abi,<0.9血管病,外周血管研究
23,血压心血管,carotid_intima_thickness,颈动脉内膜厚度,DECIMAL,mm,<0.9,动脉粥样硬化,cardiovascular,cimt,>1.0mm异常,动脉硬化研究
24,血压心血管,ejection_fraction,射血分数,DECIMAL,%,≥50,心功能,cardiovascular,ef,<40%心衰,心功能评估
25,血压心血管,nt_pro_bnp,NT-proBNP,DECIMAL,pg/mL,<125,心力衰竭标志物,cardiovascular,nt_pro_bnp,>400心衰,心衰诊断
26,血压心血管,troponin_i,肌钙蛋白I,DECIMAL,ng/mL,<0.04,心肌损伤,cardiovascular,troponin_i,>0.04损伤,心肌梗死诊断
27,血糖代谢,hba1c,糖化血红蛋白,DECIMAL,%,4.0-6.0,3个月血糖控制,glucose,hba1c,≥7%控制差,血糖控制研究
28,血糖代谢,fasting_glucose,空腹血糖,DECIMAL,mmol/L,3.9-6.1,空腹糖代谢,glucose,fbg,≥7.0mmol/L糖尿病,糖尿病诊断
29,血糖代谢,postprandial_glucose,餐后血糖,DECIMAL,mmol/L,<7.8,餐后糖代谢,glucose,ppg,≥11.1mmol/L糖尿病,餐后血糖研究
30,血糖代谢,glucose_auc,血糖曲线下面积,DECIMAL,mmol·h/L,OGTT计算,糖耐量评估,glucose,glucose_auc,增加提示糖耐量异常,糖耐量研究
31,血糖代谢,fasting_insulin,空腹胰岛素,DECIMAL,mIU/L,2.6-24.9,胰岛素分泌,glucose,fasting_insulin,>25胰岛素抵抗,胰岛素抵抗研究
32,血糖代谢,c_peptide,C肽,DECIMAL,ng/mL,1.1-4.4,β细胞功能,glucose,c_peptide,<0.2β细胞衰竭,β细胞功能研究
33,血糖代谢,proinsulin,胰岛素原,DECIMAL,pmol/L,1.1-11.0,β细胞应激,glucose,proinsulin,>11应激增加,β细胞应激研究
34,血糖代谢,homa_ir,胰岛素抵抗指数,DECIMAL,无,<2.5,胰岛素抵抗,glucose,homa_ir,≥2.5胰岛素抵抗,胰岛素抵抗研究
35,血糖代谢,homa_beta,β细胞功能指数,DECIMAL,%,>50,β细胞功能,glucose,homa_beta,<50%功能下降,β细胞功能研究
36,血糖代谢,quicki,胰岛素敏感性指数,DECIMAL,无,>0.33,胰岛素敏感性,glucose,quicki,<0.33敏感性下降,胰岛素敏感性研究
37,血糖代谢,matsuda_index,Matsuda指数,DECIMAL,无,>2.5,胰岛素敏感性,glucose,matsuda_index,<2.5敏感性下降,OGTT敏感性研究
38,血糖代谢,insulinogenic_index,胰岛素原分泌指数,DECIMAL,无,>0.4,早期胰岛素分泌,glucose,insulinogenic_index,<0.4分泌不足,早期分泌功能
39,血糖代谢,glucose_infusion_rate,葡萄糖输注率,DECIMAL,mg/kg/min,5-15,胰岛素敏感性,glucose,gir,<5敏感性差,钳夹试验研究
40,血糖代谢,glycated_albumin,糖化白蛋白,DECIMAL,%,11-16,2-3周血糖,glucose,ga,>20%控制差,短期血糖控制
41,血糖代谢,anhydroglucitol_1_5,1,5-脱水葡萄糖醇,DECIMAL,μg/mL,14.0-28.0,餐后血糖波动,glucose,1_5_ag,<14血糖波动大,血糖波动研究
42,血糖代谢,fructosamine,果糖胺,DECIMAL,μmol/L,205-285,2-3周血糖,glucose,fructosamine,>285控制差,短期血糖监测
43,血糖代谢,ketone_bodies,酮体,DECIMAL,mmol/L,<0.6,酮症评估,glucose,ketones,>0.6酮症,酮症酸中毒研究
44,血糖代谢,lactate,乳酸,DECIMAL,mmol/L,0.5-2.2,乳酸代谢,glucose,lactate,>4.0乳酸酸中毒,乳酸酸中毒研究
45,血糖代谢,free_fatty_acids,游离脂肪酸,DECIMAL,mmol/L,0.1-0.6,脂肪酸代谢,glucose,ffa,>0.8代谢异常,脂肪酸代谢研究
46,血脂代谢,total_cholesterol,总胆固醇,DECIMAL,mmol/L,<5.18,血脂水平,lipids,tc,≥6.2高胆固醇血症,血脂异常研究
