"表名","字段名","数据类型","必填","中文说明","交互设计","验证规则","选项值","关联关系","备注"
"mmse_scale","patient_id","VARCHAR_32","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表"
"mmse_scale","assessment_date","DATE","是","评估日期","日期选择器","必填","","",""
"mmse_scale","assessor_name","VARCHAR_50","是","评估人姓名","输入框","必填","","",""
"mmse_scale","education_level","TINYINT","是","文化程度","下拉选择","必选","1:文盲;2:小学;3:初中;4:高中及以上","","用于校正分数"
"mmse_scale","orientation_time_year","INT","是","时间定向-年份","数字输入","必填,4位年份","","","答对得1分"
"mmse_scale","orientation_time_season","TINYINT","是","时间定向-季节","单选按钮","必选","1:春;2:夏;3:秋;4:冬","","答对得1分"
"mmse_scale","orientation_time_month","INT","是","时间定向-月份","数字输入","必填,1-12","","","答对得1分"
"mmse_scale","orientation_time_date","INT","是","时间定向-日期","数字输入","必填,1-31","","","答对得1分"
"mmse_scale","orientation_time_day","TINYINT","是","时间定向-星期","单选按钮","必选","1:周一;2:周二;3:周三;4:周四;5:周五;6:周六;7:周日","","答对得1分"
"mmse_scale","orientation_place_country","VARCHAR_50","是","地点定向-国家","输入框","必填","","","答对得1分"
"mmse_scale","orientation_place_province","VARCHAR_50","是","地点定向-省份","输入框","必填","","","答对得1分"
"mmse_scale","orientation_place_city","VARCHAR_50","是","地点定向-城市","输入框","必填","","","答对得1分"
"mmse_scale","orientation_place_hospital","VARCHAR_100","是","地点定向-医院/地点","输入框","必填","","","答对得1分"
"mmse_scale","orientation_place_floor","VARCHAR_50","是","地点定向-楼层","输入框","必填","","","答对得1分"
"mmse_scale","registration_item1","VARCHAR_20","是","记忆力-物品1","系统朗读,记录员确认","必填","皮球","","说出三个物品"
"mmse_scale","registration_item2","VARCHAR_20","是","记忆力-物品2","系统朗读,记录员确认","必填","国旗","",""
"mmse_scale","registration_item3","VARCHAR_20","是","记忆力-物品3","系统朗读,记录员确认","必填","树木","",""
"mmse_scale","registration_score","TINYINT","是","记忆力-得分","数字显示","0-3","","","根据首次复述正确的个数计分,每个1分"
"mmse_scale","attention_serial7_1","INT","否","注意力和计算-100减7","数字输入","","","",""
"mmse_scale","attention_serial7_2","INT","否","注意力和计算-93减7","数字输入","","","",""
"mmse_scale","attention_serial7_3","INT","否","注意力和计算-86减7","数字输入","","","",""
"mmse_scale","attention_serial7_4","INT","否","注意力和计算-79减7","数字输入","","","",""
"mmse_scale","attention_serial7_5","INT","否","注意力和计算-72减7","数字输入","","","",""
"mmse_scale","attention_spell_world_backwards","VARCHAR_10","否","注意力和计算-倒背'世界'","输入框","","","","二者选一,与减7法比较取高分"
"mmse_scale","attention_score","TINYINT","是","注意力和计算-得分","数字显示","0-5","","","每正确一次得1分,总分5分"
"mmse_scale","recall_item1_recalled","BOOLEAN","是","延迟回忆-物品1","复选框","必选","皮球","","回忆即时记忆中的物品,每个1分"
"mmse_scale","recall_item2_recalled","BOOLEAN","是","延迟回忆-物品2","复选框","必选","国旗","",""
"mmse_scale","recall_item3_recalled","BOOLEAN","是","延迟回忆-物品3","复选框","必选","树木","",""
"mmse_scale","recall_score","TINYINT","是","延迟回忆-得分","数字显示","0-3","","",""
"mmse_scale","language_name_pencil","BOOLEAN","是","语言-命名(铅笔)","是否选择","必选","1:正确;0:错误","","出示铅笔,让其命名,答对1分"
"mmse_scale","language_name_watch","BOOLEAN","是","语言-命名(手表)","是否选择","必选","1:正确;0:错误","","出示手表,让其命名,答对1分"
"mmse_scale","language_repeat_phrase","BOOLEAN","是","语言-复述","是否选择","必选","1:正确;0:错误","","复述“四十四只石狮子”或“没有如果、并且或者但是”,答对1分"
"mmse_scale","language_follow_command1","BOOLEAN","是","语言-三步指令(拿纸)","是否选择","必选","1:完成;0:未完成","","“用右手拿这张纸”,完成得1分"
"mmse_scale","language_follow_command2","BOOLEAN","是","语言-三步指令(对折)","是否选择","必选","1:完成;0:未完成","","“再把它对折”,完成得1分"
"mmse_scale","language_follow_command3","BOOLEAN","是","语言-三步指令(放地上)","是否选择","必选","1:完成;0:未完成","","“然后放在地上”,完成得1分"
"mmse_scale","language_read_obey","BOOLEAN","是","语言-阅读和执行","是否选择","必选","1:完成;0:未完成","","阅读并执行“请闭上您的眼睛”,完成得1分"
"mmse_scale","language_write_sentence","TEXT","是","语言-写一个句子","文本域","必填","","","写一个完整的句子,有主谓宾,1分"
"mmse_scale","language_copy_design","VARCHAR_255","是","语言-模仿画图","文件上传","必填","","","模仿画两个交叉的五边形,画对得1分"
"mmse_scale","mmse_total_score","TINYINT","是","MMSE总分","自动计算","0-30","","","所有项目得分的总和"
