# 中文版低血糖恐惧调查-忧虑量表 (CHFS II-WS) 数据库表设计
# 基于PDF标准文档: CHIIFW.pdf
# 创建日期: 2025-08-07
# 版本: v2.0 (优化版)

# 表结构说明：
# 1. 频率编码统一：0:从不; 1:偶尔; 2:有时; 3:经常; 4:总是
# 2. 问卷说明: 评估糖尿病患者在过去六个月中对低血糖所存在的顾虑。
# 3. 计分方式: 各题分数直接相加，总分范围 0-52 分
# 4. 分级标准: 0-17分(低度); 18-34分(中度); 35-52分(高度)
# 5. 时间范围: 评估过去 6 个月内的低血糒恐惧情况

"table_name","field_name","data_type","required","field_label","control_type","validation","options","dependency","description"

# 问卷指导语
"chfs_ii_ws","instruction_text","TEXT","否","问卷说明","静态文本","显示给用户","以下条目是描述糖尿病病人对于低血糖的顾虑，请仔细阅读每个条目，请您选出每个条目中能正确描述您在过去六个月中对低血糖所存在的顾虑的那个选项。","","问卷填写指导语"
"chfs_ii_ws","time_frame_note","TEXT","否","时间范围说明","静态文本","显示给用户","请基于过去 6 个月的情况进行评估","","时间范围提示"

# 基本信息字段
"chfs_ii_ws","patient_id","VARCHAR(32)","是","患者唯一ID","外键关联","外键约束","","patient_basic_info","关联患者基本信息表"
"chfs_ii_ws","assessment_date","DATE","是","评估日期","日期选择器","必填","","","问卷填写日期"
"chfs_ii_ws","assessor_name","VARCHAR(50)","否","评估者姓名","文本输入框","选填","","","执行评估的医务人员姓名"

# 低血糖恐惧-忧虑量表 (13项) - 优化字段命名
"chfs_ii_ws","worry_unconscious_hypoglycemia","TINYINT","是","1.当我要低血糖的时候自己没意识到","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_fainting_public","TINYINT","是","2.在公共场合晕倒","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_embarrassing_social","TINYINT","是","3.在社交场合,使自己或朋友感到尴尬","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_alone_hypoglycemia","TINYINT","是","4.一个人的时候发生低血糖","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_appearing_foolish","TINYINT","是","5.显得愚蠢和醉态","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_losing_control","TINYINT","是","6.失去控制","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_no_help_available","TINYINT","是","7.在发生低血糖的时候周围没人帮忙","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_mistakes_accidents","TINYINT","是","8.出现过失或意外","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_negative_comments","TINYINT","是","9.受到别人不好的议论或评论","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_impaired_judgment","TINYINT","是","10.低血糖影响我的正确判断","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_injuring_others","TINYINT","是","11.意外弄伤自己和他人","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_permanent_damage","TINYINT","是","12.对自己的躯体或健康造成永久性的伤害","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."
"chfs_ii_ws","worry_sleep_hypoglycemia","TINYINT","是","13.在睡眠中发生低血糖","单选按钮","必选,范围0-4","0:从不;1:偶尔;2:有时;3:经常;4:总是","","因为我的血糖下降,我担心..."

# 计分字段
"chfs_ii_ws","total_score","TINYINT","是","量表总分","计算字段","自动计算,范围0-52","0-52分","worry_unconscious_hypoglycemia,worry_fainting_public,worry_embarrassing_social,worry_alone_hypoglycemia,worry_appearing_foolish,worry_losing_control,worry_no_help_available,worry_mistakes_accidents,worry_negative_comments,worry_impaired_judgment,worry_injuring_others,worry_permanent_damage,worry_sleep_hypoglycemia","13个题目分数总和"
"chfs_ii_ws","fear_level","VARCHAR(10)","是","恐惧程度分级","计算字段","根据总分自动判断","低度;中度;高度","total_score","基于总分的恐惧程度分级(0-17:低度;18-34:中度;35-52:高度)"
"chfs_ii_ws","assessment_completed","BOOLEAN","是","评估完成状态","复选框","默认false","true:完成;false:未完成","","标记评估是否完成"
"chfs_ii_ws","assessment_notes","TEXT","否","评估备注","文本域","选填","","","评估者的备注和观察"

# 数据统计说明:
# 问卷指导信息: 2项 (指导语, 时间范围说明)
# 基本信息: 3项 (患者ID, 评估日期, 评估者姓名)
# 量表问题: 13项 (低血糖恐惧忧虑评估)
# 计分字段: 4项 (总分, 恐惧程度, 完成状态, 备注)
# 总计: 22个数据收集项目
#
# 量表特点:
# - 评估时间范围: 过去 6 个月
# - 计分方式: 各题直接相加 (0-52分)
# - 分级标准: 0-17分(低度恐惧); 18-34分(中度恐惧); 35-52分(高度恐惧)
# - 应用人群: 糖尿病患者(特别是使用胰岛素的患者)
# - 信效性: 已验证的中文版量表，具有良好的内容效度和结构效度
#
# 使用指导:
# 1. 评估前向患者解释问卷目的和填写方法
# 2. 确保患者理解 "6 个月" 的时间范围
# 3. 所有 13 个题目必须全部填写完整
# 4. 评估结果应结合临床情况综合解释
#
# 备注: 此优化设计完全基于 "中文版低血糖恐惧调查-忧虑量表 (CHFS II-WS)" PDF文档。
# 创建状态: 已优化 (v2.0) - 增加指导语、计分机制、数据验证和语义化字段命名
# 最后更新: 2025-08-07
